pair,r,t1act,mean_pnl_usd_day,median_pnl_usd_day,n_days,n_trades,winning_days,losing_days,t1dist,t2pct,sl
r_x_t1act,15.0,4.0,-262.55,-35.75,30,2159,5,25,,,
r_x_t1act,20.0,4.0,-239.45,-8.75,30,1535,7,23,,,
r_x_t1act,25.0,4.0,-151.85,-5.0,30,1121,7,23,,,
r_x_t1act,30.0,4.0,-106.6,-43.25,30,872,6,24,,,
r_x_t1act,35.0,4.0,-57.1,-17.25,30,666,6,24,,,
r_x_t1act,40.0,4.0,-75.93333333333334,-52.25,30,545,4,26,,,
r_x_t1act,50.0,4.0,-77.75,-26.75,30,372,4,26,,,
r_x_t1act,15.0,6.0,-277.26666666666665,-42.0,30,2159,6,24,,,
r_x_t1act,20.0,6.0,-244.55,0.0,30,1535,8,22,,,
r_x_t1act,25.0,6.0,-149.96666666666667,-0.25,30,1121,7,23,,,
r_x_t1act,30.0,6.0,-109.51666666666667,-58.0,30,872,5,25,,,
r_x_t1act,35.0,6.0,-69.83333333333333,-36.75,30,666,6,24,,,
r_x_t1act,40.0,6.0,-60.6,-23.0,30,545,6,24,,,
r_x_t1act,50.0,6.0,-70.51666666666667,-35.75,30,372,5,25,,,
r_x_t1act,15.0,8.0,-261.81666666666666,-13.25,30,2159,6,24,,,
r_x_t1act,20.0,8.0,-248.31666666666666,-27.5,30,1535,7,23,,,
r_x_t1act,25.0,8.0,-154.18333333333334,-1.25,30,1121,6,24,,,
r_x_t1act,30.0,8.0,-121.51666666666667,-58.0,30,872,4,26,,,
r_x_t1act,35.0,8.0,-67.08333333333333,-13.25,30,666,6,24,,,
r_x_t1act,40.0,8.0,-54.71666666666667,-18.75,30,545,7,23,,,
r_x_t1act,50.0,8.0,-67.81666666666666,-31.25,30,372,6,24,,,
r_x_t1act,15.0,10.0,-266.56666666666666,-45.0,30,2159,7,23,,,
r_x_t1act,20.0,10.0,-262.93333333333334,0.0,30,1535,8,22,,,
r_x_t1act,25.0,10.0,-155.78333333333333,-18.5,30,1121,7,23,,,
r_x_t1act,30.0,10.0,-128.58333333333334,-58.0,30,872,5,25,,,
r_x_t1act,35.0,10.0,-64.41666666666667,-6.25,30,666,7,23,,,
r_x_t1act,40.0,10.0,-60.3,0.0,30,545,8,22,,,
r_x_t1act,50.0,10.0,-59.916666666666664,-1.75,30,372,7,23,,,
r_x_t1act,15.0,14.0,-284.6333333333333,-1.25,30,2159,7,23,,,
r_x_t1act,20.0,14.0,-255.93333333333334,0.0,30,1535,9,21,,,
r_x_t1act,25.0,14.0,-153.36666666666667,-30.25,30,1121,6,24,,,
r_x_t1act,30.0,14.0,-126.83333333333333,-6.25,30,872,7,23,,,
r_x_t1act,35.0,14.0,-80.33333333333333,0.0,30,666,8,22,,,
r_x_t1act,40.0,14.0,-72.2,-12.75,30,545,7,23,,,
r_x_t1act,50.0,14.0,-69.35,-11.25,30,372,6,24,,,
r_x_t1act,15.0,20.0,-322.6666666666667,-42.25,30,2159,5,25,,,
r_x_t1act,20.0,20.0,-284.03333333333336,-1.0,30,1535,7,23,,,
r_x_t1act,25.0,20.0,-172.53333333333333,-6.0,30,1121,7,23,,,
r_x_t1act,30.0,20.0,-134.26666666666668,-47.5,30,872,6,24,,,
r_x_t1act,35.0,20.0,-82.18333333333334,0.0,30,666,8,22,,,
r_x_t1act,40.0,20.0,-71.81666666666666,0.0,30,545,9,21,,,
r_x_t1act,50.0,20.0,-43.63333333333333,0.0,30,372,8,22,,,
r_x_t1act,15.0,30.0,-303.6666666666667,-95.25,30,2159,5,25,,,
r_x_t1act,20.0,30.0,-257.15,0.0,30,1535,7,23,,,
r_x_t1act,25.0,30.0,-146.45,0.0,30,1121,8,22,,,
r_x_t1act,30.0,30.0,-125.08333333333333,-0.75,30,872,7,23,,,
r_x_t1act,35.0,30.0,-57.333333333333336,0.0,30,666,10,20,,,
r_x_t1act,40.0,30.0,-28.916666666666668,0.0,30,545,10,20,,,
r_x_t1act,50.0,30.0,-40.81666666666667,0.0,30,372,9,21,,,
r_x_t1dist,15.0,,-254.45,-45.75,30,2159,7,23,2.0,,
r_x_t1dist,20.0,,-263.28333333333336,0.0,30,1535,8,22,2.0,,
r_x_t1dist,25.0,,-163.66666666666666,-25.25,30,1121,6,24,2.0,,
r_x_t1dist,30.0,,-135.55,-47.75,30,872,5,25,2.0,,
r_x_t1dist,35.0,,-76.45,-13.0,30,666,6,24,2.0,,
r_x_t1dist,40.0,,-73.71666666666667,0.0,30,545,8,22,2.0,,
r_x_t1dist,50.0,,-70.13333333333334,-11.0,30,372,7,23,2.0,,
r_x_t1dist,15.0,,-261.5833333333333,-17.75,30,2159,7,23,3.0,,
r_x_t1dist,20.0,,-271.03333333333336,0.0,30,1535,8,22,3.0,,
r_x_t1dist,25.0,,-163.11666666666667,-34.5,30,1121,6,24,3.0,,
r_x_t1dist,30.0,,-137.75,-59.0,30,872,5,25,3.0,,
r_x_t1dist,35.0,,-80.26666666666667,-25.5,30,666,6,24,3.0,,
r_x_t1dist,40.0,,-75.33333333333333,0.0,30,545,9,21,3.0,,
r_x_t1dist,50.0,,-69.76666666666667,-15.5,30,372,7,23,3.0,,
r_x_t1dist,15.0,,-266.56666666666666,-45.0,30,2159,7,23,5.0,,
r_x_t1dist,20.0,,-262.93333333333334,0.0,30,1535,8,22,5.0,,
r_x_t1dist,25.0,,-155.78333333333333,-18.5,30,1121,7,23,5.0,,
r_x_t1dist,30.0,,-128.58333333333334,-58.0,30,872,5,25,5.0,,
r_x_t1dist,35.0,,-64.41666666666667,-6.25,30,666,7,23,5.0,,
r_x_t1dist,40.0,,-60.3,0.0,30,545,8,22,5.0,,
r_x_t1dist,50.0,,-59.916666666666664,-1.75,30,372,7,23,5.0,,
r_x_t1dist,15.0,,-279.76666666666665,-62.5,30,2159,6,24,7.0,,
r_x_t1dist,20.0,,-272.73333333333335,-28.75,30,1535,7,23,7.0,,
r_x_t1dist,25.0,,-161.36666666666667,-32.25,30,1121,7,23,7.0,,
r_x_t1dist,30.0,,-141.15,-68.0,30,872,5,25,7.0,,
r_x_t1dist,35.0,,-73.53333333333333,-8.25,30,666,7,23,7.0,,
r_x_t1dist,40.0,,-68.88333333333334,-27.5,30,545,5,25,7.0,,
r_x_t1dist,50.0,,-70.8,-2.25,30,372,6,24,7.0,,
r_x_t1dist,15.0,,-303.18333333333334,-92.0,30,2159,6,24,10.0,,
r_x_t1dist,20.0,,-291.23333333333335,-4.0,30,1535,7,23,10.0,,
r_x_t1dist,25.0,,-181.78333333333333,-11.0,30,1121,7,23,10.0,,
r_x_t1dist,30.0,,-156.85,-63.0,30,872,4,26,10.0,,
r_x_t1dist,35.0,,-84.38333333333334,-20.5,30,666,7,23,10.0,,
r_x_t1dist,40.0,,-79.36666666666666,-30.75,30,545,6,24,10.0,,
r_x_t1dist,50.0,,-76.48333333333333,-3.5,30,372,7,23,10.0,,
r_x_t1dist,15.0,,-292.65,-35.5,30,2159,4,26,15.0,,
r_x_t1dist,20.0,,-265.4,-31.0,30,1535,7,23,15.0,,
r_x_t1dist,25.0,,-163.25,-60.75,30,1121,6,24,15.0,,
r_x_t1dist,30.0,,-126.73333333333333,-35.5,30,872,7,23,15.0,,
r_x_t1dist,35.0,,-47.93333333333333,0.0,30,666,10,20,15.0,,
r_x_t1dist,40.0,,-32.083333333333336,0.0,30,545,11,19,15.0,,
r_x_t1dist,50.0,,-69.1,-3.25,30,372,6,24,15.0,,
r_x_t2pct,15.0,,-268.71666666666664,-45.0,30,2159,7,23,,0.05,
r_x_t2pct,20.0,,-269.1333333333333,0.0,30,1535,8,22,,0.05,
r_x_t2pct,25.0,,-159.61666666666667,-18.5,30,1121,7,23,,0.05,
r_x_t2pct,30.0,,-131.03333333333333,-58.0,30,872,5,25,,0.05,
r_x_t2pct,35.0,,-62.93333333333333,-6.25,30,666,7,23,,0.05,
r_x_t2pct,40.0,,-60.6,0.0,30,545,8,22,,0.05,
r_x_t2pct,50.0,,-59.36666666666667,-1.75,30,372,7,23,,0.05,
r_x_t2pct,15.0,,-271.25,-45.0,30,2159,7,23,,0.08,
r_x_t2pct,20.0,,-272.6,0.0,30,1535,8,22,,0.08,
r_x_t2pct,25.0,,-163.83333333333334,-18.5,30,1121,7,23,,0.08,
r_x_t2pct,30.0,,-132.8,-58.0,30,872,5,25,,0.08,
r_x_t2pct,35.0,,-64.7,-6.25,30,666,7,23,,0.08,
r_x_t2pct,40.0,,-62.5,0.0,30,545,8,22,,0.08,
r_x_t2pct,50.0,,-59.583333333333336,-1.75,30,372,7,23,,0.08,
r_x_t2pct,15.0,,-266.56666666666666,-45.0,30,2159,7,23,,0.1,
r_x_t2pct,20.0,,-262.93333333333334,0.0,30,1535,8,22,,0.1,
