p10,p25,p50,p75,p90,predicted_dir,actual_dir,actual_signed_mfe,consensus,ci_width,mean_dist
-47.175,-14.75,36.0,78.9375,109.65,LONG,SHORT,-35.0,0.64,93.6875,43.99419462150685
-26.224999999999994,-12.3125,44.5,87.25,110.07500000000002,LONG,SHORT,-63.0,0.68,99.5625,44.21435819089584
-38.224999999999994,-16.4375,37.375,90.375,105.875,LONG,SHORT,-26.0,0.6,106.8125,44.7448340810643
-54.4,-19.875,43.5,81.1875,101.10000000000001,LONG,SHORT,-34.5,0.64,101.0625,45.02245511244005
-53.8,-31.75,24.0,80.25,104.275,LONG,SHORT,-17.0,0.6,112.0,44.27782311873936
-53.8,-38.3125,9.875,66.875,98.5,LONG,LONG,13.5,0.56,105.1875,44.19900665846425
-58.35,-39.0625,11.625,65.875,91.37500000000001,LONG,LONG,51.25,0.54,104.9375,44.053871260515805
-64.12499999999999,-43.25,11.5,63.6875,96.1,LONG,LONG,117.0,0.56,106.9375,43.9328520420585
-80.775,-48.8125,1.5,33.5625,83.35000000000002,LONG,LONG,108.0,0.52,82.375,43.32440586798335
-89.725,-46.875,-3.375,32.0625,89.65,SHORT,LONG,96.0,0.52,78.9375,43.055632352120355
-88.79999999999998,-53.625,-1.125,26.6875,81.025,SHORT,LONG,78.5,0.52,80.3125,42.410085229775724
-87.07499999999999,-53.625,-7.5,30.25,55.45000000000002,SHORT,LONG,86.5,0.54,83.875,41.059678156998324
-61.64999999999999,-45.375,4.0,31.0,65.575,LONG,LONG,169.5,0.56,76.375,40.1779751815654
-62.44999999999999,-36.9375,6.0,32.125,79.0,LONG,LONG,136.5,0.58,69.0625,41.38005129024851
-61.425,-36.9375,4.0,33.0625,81.275,LONG,LONG,125.5,0.56,70.0,41.872836563271996
-75.875,-35.1875,4.0,31.75,77.175,LONG,LONG,209.75,0.56,66.9375,41.81328835623351
-54.224999999999994,-25.1875,1.5,33.875,70.42500000000001,LONG,LONG,195.75,0.54,59.0625,42.09467807664762
-65.85,-29.4375,4.0,35.25,79.0,LONG,LONG,201.5,0.58,64.6875,43.140228398798484
-54.775,-20.8125,7.125,56.125,82.20000000000002,LONG,LONG,206.0,0.62,76.9375,42.6021336684879
