atr_lookback,atr_multiplier,min_r_points,max_r_points,max_loss_pts,mfe_cut_bars,mfe_cut_usd,trail_activate_pts,trail_giveback_pct,n_trades,n_wins,n_pivots,pnl_net,pnl_gross,n_days,pos_days,pnl_per_day,win_rate,day_win_rate,rank_train,holdout_n_trades,holdout_n_wins,holdout_n_pivots,holdout_pnl_net,holdout_pnl_gross,holdout_n_days,holdout_pos_days,holdout_pnl_per_day,holdout_win_rate,holdout_day_win_rate,pnl_drop_pct,robust_flag
127,10.3096342086792,5.0,195.72312927246094,144.8705291748047,3,0.0,0.0,0.5,1148,304,1164,20284.799999999912,22466.0,231,119,87.81298701298662,0.26480836236933797,0.5151515151515151,1,258,90,261,4512.2999999999865,5002.5,57,34,79.1631578947366,0.3488372093023256,0.5964912280701754,77.7552650260293,False
129,11.745436668395996,7.7489471435546875,230.50048828125,54.523902893066406,30,0.0,0.0,0.5,936,293,952,20265.599999999744,22044.0,229,115,88.49606986899451,0.31303418803418803,0.5021834061135371,2,208,71,213,5597.799999999991,5993.0,57,30,98.2070175438595,0.34134615384615385,0.5263157894736842,72.37782251697426,False
124,11.623701095581055,8.169816017150879,249.57701110839844,48.7877311706543,0,46.01567077636719,0.0,0.5,939,287,954,19096.399999999918,20880.5,229,113,83.39039301310008,0.30564430244941426,0.49344978165938863,3,206,75,211,5325.0999999999885,5716.5,57,29,93.42280701754366,0.3640776699029126,0.5087719298245614,72.11463940847484,False
240,15.0,26.666778564453125,236.46420288085938,36.00596618652344,24,12.657748222351074,0.0,0.5,711,175,719,18984.100000000042,20335.0,226,91,84.00044247787629,0.24613220815752462,0.4026548672566372,4,164,38,165,1446.899999999997,1758.5,57,22,25.384210526315734,0.23170731707317074,0.38596491228070173,92.37835873178084,False
172,11.975329399108887,16.72346305847168,237.05596923828125,53.14875030517578,6,0.0,0.0,0.05000000074505806,926,242,938,18953.099999999915,20712.5,231,110,82.04805194805158,0.2613390928725702,0.47619047619047616,5,203,58,207,1392.2999999999984,1778.0,57,25,24.426315789473655,0.2857142857142857,0.43859649122807015,92.65397217341751,False
