file,date,from,to,instrument,guid,action,strategy,p_RPoints,p_Contracts,p_EodHourUtc,p_EodMinuteUtc,p_EntryCutoffHourUtc,p_EntryCutoffMinuteUtc,p_PivotTfSeconds,p_HardSlTfSeconds,p_TrailTpTfSeconds,p_HardStopLossPoints,p_Tier1ActivatePoints,p_Tier1TrailDistancePoints,p_Tier2ActivatePoints,p_Tier2TrailPercent,p_MaxNegativeBars,p_EnableRegimeFilter,p_BleedThresholdZ,p_RangeMeanLookbackDays,p_RideWithTrend,m_AverageBarsInTrade,m_AverageEtd,m_AverageMae,m_AverageMfe,m_AverageLosingTrade,m_AverageNumTradesPerDay,m_AverageTimeInMarket,m_AverageTrade,m_AverageWinningTrade,m_Commission,m_GrossLoss,m_GrossLossValue,m_GrossProfitValue,m_GrossProfit,m_NumWinningTrades,m_NumLosingTrades,m_NumEvenTrades,m_MaxTime2Recover,m_MaxDrawdown,m_MaxConsecWinners,m_MaxConsecLosers,m_LargestWinningTrade,m_LargestLosingTrade,m_LongestFlatPeriod,m_PercentProfitable,m_Probability,m_ProfitFactor,m_ProfitPerMonth,m_Performance,m_RatioAvgWinAvgLoss,m_RSquared,m_SharpeRatio,m_SortinoRatio,m_TotalSlippage,m_TotalNumTrades,m_TotalNetProfit,m_TotalNetProfitValue,m_UlcerIndex
@@@ZigzagRunner_v15_2026_04_27_01.xml,2026-04-27T07:51:03.9425902,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,766e4d35f5f943128561105d0308ec8c,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,2.3764,15.9129,15.1168,16.4047,-23.0025,18.933,3.9939,0.4918,29.8393,0.0,-18586.0,,,19306.0,647.0,808.0,9.0,92.9,-2144.5,9.0,11.0,362.0,-145.5,11.51,0.4419,0.3015,1.0387,196.0714,1.0387,1.2972,0.0568,0.3577,1.4554,0.0,1464.0,720.0,,0.0177
@@@ZigzagRunner_v15_2026_04_27_03.xml,2026-04-27T07:51:41.955536,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,9a4b618201d242c382902f18bf0c58ce,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,2.3764,17.8129,15.1168,16.4047,-23.5671,18.933,3.9939,-1.4082,29.7891,2781.6,-20173.4,,,18111.8,608.0,856.0,0.0,92.9,-3325.3,9.0,17.0,360.1,-147.4,11.51,0.4153,0.9162,0.8978,-561.4179,0.8978,1.264,0.7202,-0.5424,-0.6686,0.0,1464.0,-2061.6,,0.0358
@@@ZigzagRunner_v15_2026_04_27_05.xml,2026-04-27T07:51:57.3994661,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,aa3abf8e6333479c83d62e75c0762872,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,false,-0.34,20,false,2.1053,17.638,15.2875,15.3167,-24.1575,46.552,3.1617,-2.3213,28.067,6961.6,-51503.8,,,42998.7,1532.0,2132.0,0.0,94.57,-9715.2,9.0,17.0,360.1,-217.4,2.46,0.4181,0.9999,0.8349,-2275.4873,0.8349,1.1618,0.949,-0.6903,-0.8983,0.0,3664.0,-8505.1,,0.0975
@@@ZigzagRunner_v15_2026_04_27_07.xml,2026-04-27T07:52:11.3177366,2026-04-20T00:00:00,2026-04-26T00:00:00,MNQ JUN26,26d1d10b92e04255b5b01bc428274ea1,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,1.9193,13.136,11.5155,7.6584,-16.6136,38.866,1.8483,-5.4776,14.2983,305.9,-1711.2,,,829.3,58.0,103.0,0.0,3.47,-950.8,7.0,12.0,138.1,-65.4,0.18,0.3602,0.9988,0.4846,-4482.9917,0.4846,0.8606,0.9302,-1.4828,-4.9178,0.0,161.0,-881.9,,0.0088
@@@ZigzagRunner_v15_2026_04_27_09.xml,2026-04-27T07:52:40.2384589,2026-04-20T00:00:00,2026-04-26T00:00:00,MNQ JUN26,c1cfd1de0a234082b82b7a13fe8926fb,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,86400,86400,25,10,5,50,0.1,5,true,-0.34,20,false,21.7702,63.5988,35.1615,57.3292,-36.3744,38.866,21.7702,-6.2696,73.7818,305.9,-4255.8,,,3246.4,44.0,117.0,0.0,3.21,-1363.2,2.0,12.0,252.6,-100.9,0.17,0.2733,0.8967,0.7628,-5131.1167,0.7628,2.0284,0.7854,-1.4756,-4.8942,0.0,161.0,-1009.4,,0.0135
@@@ZigzagRunner_v15_2026_04_27_11.xml,2026-04-27T07:52:57.12024,2026-04-20T00:00:00,2026-04-26T00:00:00,MNQ JUN26,386e6df4506d47deae6fe2571bfc2aad,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,86400,86400,25,10,5,50,0.1,5,true,-0.34,20,true,9.6708,38.7789,34.236,32.8602,-38.4918,38.866,9.6708,-5.9186,44.7508,305.9,-3772.2,,,2819.3,63.0,98.0,0.0,4.26,-1136.8,4.0,8.0,248.1,-235.4,0.18,0.3913,0.9055,0.7474,-4843.9083,0.7474,1.1626,0.6534,-1.4785,-4.9037,0.0,161.0,-952.9,,0.0103
@@@ZigzagRunner_v15_2026_04_27_13.xml,2026-04-27T07:53:03.9172343,2026-04-20T00:00:00,2026-04-26T00:00:00,MNQ JUN26,ab89b52539354a5e8ffdcf458479e89c,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,86400,86400,25,10,5,50,0.1,5,true,-0.34,20,false,21.7702,63.5988,35.1615,57.3292,-36.3744,38.866,21.7702,-6.2696,73.7818,305.9,-4255.8,,,3246.4,44.0,117.0,0.0,3.21,-1363.2,2.0,12.0,252.6,-100.9,0.17,0.2733,0.8967,0.7628,-5131.1167,0.7628,2.0284,0.7854,-1.4756,-4.8942,0.0,161.0,-1009.4,,0.0135
@@@ZigzagRunner_v15_2026_04_27_15.xml,2026-04-27T08:13:02.9423048,2026-04-20T00:00:00,2026-04-26T00:00:00,MNQ JUN26,555f641690894cce8327a1732495cdfb,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,1.9193,11.236,11.5155,7.6584,-16.5761,38.866,1.8483,-3.5776,14.1642,0.0,-1525.0,,,949.0,67.0,92.0,2.0,3.18,-720.0,7.0,11.0,140.0,-63.5,0.18,0.4161,0.977,0.6223,-2928.0,0.6223,0.8545,0.8596,-1.4998,-4.9744,0.0,161.0,-576.0,,0.0064
@@@ZigzagRunner_v15_2026_04_27_17.xml,2026-04-27T08:13:17.9944085,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,608d19fa6f21479f8a73ac2bbb3f9ccd,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,2.3764,15.9129,15.1168,16.4047,-23.0025,18.933,3.9939,0.4918,29.8393,0.0,-18586.0,,,19306.0,647.0,808.0,9.0,92.9,-2144.5,9.0,11.0,362.0,-145.5,11.51,0.4419,0.3015,1.0387,196.0714,1.0387,1.2972,0.0568,0.3577,1.4554,0.0,1464.0,720.0,,0.0177
@@@ZigzagRunner_v15_2026_04_27_19.xml,2026-04-27T08:13:29.7084352,2026-01-01T00:00:00,2026-04-26T00:00:00,MNQ JUN26,b2881f501a3d428e8dca0897b086ed25,Backtest,ZigzagRunner_v15,30,1,20,55,20,30,60,5,1,25,10,5,50,0.1,5,true,-0.34,20,false,2.3764,17.8129,15.1168,16.4047,-23.5671,18.933,3.9939,-1.4082,29.7891,2781.6,-20173.4,,,18111.8,608.0,856.0,0.0,92.9,-3325.3,9.0,17.0,360.1,-147.4,11.51,0.4153,0.9162,0.8978,-561.4179,0.8978,1.264,0.7202,-0.5424,-0.6686,0.0,1464.0,-2061.6,,0.0358
