day,split,n_phrases,n_motifs,phrase_NOISE,phrase_FLATLINE,phrase_LOGARITHMIC_UP,phrase_LINEAR_DOWN,phrase_LINEAR_UP,phrase_LOGARITHMIC_DOWN,phrase_EXPONENTIAL_UP,phrase_EXPONENTIAL_DOWN,phrase_BACK_SKEWED_UP,phrase_BACK_SKEWED_DOWN
2025_01_01,IS,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_02,IS,4,16,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_03,IS,12,24,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_01_05,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_06,IS,5,9,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_01_07,IS,8,18,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_01_08,IS,15,20,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_09,IS,7,11,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_10,IS,7,16,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_01_12,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_13,IS,7,17,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_01_14,IS,13,21,1.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_01_15,IS,9,15,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025_01_16,IS,4,16,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_01_17,IS,7,16,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_01_19,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_20,IS,5,17,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_01_21,IS,11,17,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_22,IS,5,9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2025_01_23,IS,12,18,1.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_01_24,IS,5,15,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2025_01_26,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_27,IS,5,12,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2025_01_28,IS,14,22,0.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_01_29,IS,9,20,1.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2025_01_30,IS,8,18,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2025_01_31,IS,9,21,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_02,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_03,IS,7,20,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_02_04,IS,8,17,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_02_05,IS,4,12,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_02_06,IS,8,19,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_07,IS,7,17,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025_02_09,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_10,IS,7,14,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025_02_11,IS,9,17,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_02_12,IS,9,18,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2025_02_13,IS,10,18,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_02_14,IS,8,17,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_02_16,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_17,IS,6,13,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025_02_18,IS,6,14,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_02_19,IS,5,18,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_20,IS,7,14,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2025_02_21,IS,4,16,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2025_02_23,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_24,IS,10,16,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_02_25,IS,10,21,0.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_02_26,IS,8,17,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2025_02_27,IS,7,16,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_28,IS,9,17,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_03_02,IS,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
