**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_06,IS,2,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9671970834254632,20.98083229604833,1736174400,1736183100,145.0,2,STEEP_CONCAVE_UP
2025_01_06,IS,3,STEEP_LINEAR_DOWN,NONE,0.9890011046095089,16.430595778723287,1736183100,1736187300,70.0,2,STEEP_LINEAR_DOWN
2025_01_06,IS,0,STEEP_CONVEX_DOWN,BACK_SKEWED,0.951250223466052,17.002511041275277,1736187300,1736196300,150.0,3,STEEP_CONVEX_DOWN
2025_01_06,IS,1,STEEP_LINEAR_UP,NONE,0.9906013950847348,20.34341130952125,1736196300,1736204400,135.0,3,STEEP_LINEAR_UP
2025_01_06,IS,0,NOISE,NONE,0.6627085401271058,5.3195627869732105,1736204400,1736207995,59.9,4,NOISE
2025_01_07,IS,0,NOISE,NONE,-2.0,4.530524623821047,1736208000,1736212410,73.5,0,NOISE
2025_01_07,IS,0,GENTLE_LINEAR_UP,NONE,0.9667210645598184,6.305239360175044,1736214255,1736218035,63.0,1,GENTLE_LINEAR_UP
2025_01_07,IS,0,GENTLE_LINEAR_DOWN,NONE,0.947377145457406,9.028014105443551,1736218035,1736233560,258.8,2,GENTLE_LINEAR_DOWN
2025_01_07,IS,1,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9802716509574358,8.548023242735647,1736233560,1736238965,90.1,2,GENTLE_CONCAVE_UP
2025_01_07,IS,0,NOISE,NONE,0.814278906061215,12.66046929486282,1736238965,1736244905,99.0,3,NOISE
2025_01_07,IS,1,STEEP_CONVEX_UP,BACK_SKEWED,0.978888937874007,14.024085396514366,1736244905,1736247300,39.9,3,STEEP_CONVEX_UP
2025_01_07,IS,2,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.9809584212046404,6.995889303841521,1736247300,1736250485,53.1,3,GENTLE_CONCAVE_DOWN
2025_01_07,IS,3,GENTLE_LINEAR_DOWN,NONE,0.981504484204825,10.944806227647016,1736250485,1736252470,33.1,3,GENTLE_LINEAR_DOWN
2025_01_07,IS,0,NOISE,NONE,0.6928872833696916,12.336001283953848,1736252470,1736262300,163.8,4,NOISE
2025_01_07,IS,1,STEEP_LINEAR_DOWN,NONE,0.8792435077462535,67.57541953652336,1736262300,1736262900,10.0,4,STEEP_LINEAR_DOWN
2025_01_07,IS,0,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.906143042205032,56.96207471961683,1736262900,1736268600,95.0,5,STEEP_CONVEX_DOWN
2025_01_07,IS,1,FLATLINE,NONE,0.0,19.332779311850032,1736268600,1736268900,5.0,5,FLATLINE
2025_01_07,IS,2,STEEP_CONVEX_DOWN,BACK_SKEWED,0.8885984921805782,28.09017892572721,1736268900,1736274600,95.0,5,STEEP_CONVEX_DOWN
2025_01_07,IS,3,GENTLE_CONCAVE_DOWN,FRONT_SKEWED,0.8838352421151687,24.483723018916294,1736274600,1736277900,55.0,5,GENTLE_CONCAVE_DOWN
2025_01_07,IS,4,STEEP_LINEAR_DOWN,NONE,0.8798416559643463,22.648601847341823,1736277900,1736285745,130.8,5,STEEP_LINEAR_DOWN
2025_01_07,IS,5,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.8982750194775339,7.910263181816681,1736285745,1736292725,116.3,5,GENTLE_CONCAVE_DOWN
2025_01_07,IS,6,GENTLE_CONVEX_UP,BACK_SKEWED,0.9468633464542464,8.759041546885499,1736292725,1736294395,27.8,5,GENTLE_CONVEX_UP
2025_01_08,IS,0,NOISE,NONE,-2.0,4.962248381920209,1736294400,1736298525,68.8,0,NOISE
2025_01_08,IS,0,NOISE,NONE,0.5783358384770362,8.943255924796707,1736300515,1736305800,88.1,1,NOISE
2025_01_08,IS,1,GENTLE_CONCAVE_DOWN,FRONT_SKEWED,0.9595576224262278,6.999595796079864,1736305800,1736307900,35.0,1,GENTLE_CONCAVE_DOWN
2025_01_08,IS,0,NOISE,NONE,0.8399403978721196,3.720284424054345,1736307900,1736309700,30.0,2,NOISE
2025_01_08,IS,0,GENTLE_LINEAR_UP,NONE,0.9710560731952048,5.676472801709946,1736309700,1736311505,30.1,3,GENTLE_LINEAR_UP
2025_01_08,IS,0,NOISE,NONE,0.4872530606905503,7.922939701120518,1736311505,1736320140,143.9,4,NOISE
2025_01_08,IS,1,STEEP_LINEAR_DOWN,NONE,0.9714777014790386,12.546294800414325,1736320140,1736321315,19.6,4,STEEP_LINEAR_DOWN
2025_01_08,IS,0,GENTLE_LINEAR_UP,NONE,0.940949333089963,8.87119471646241,1736321315,1736330400,151.4,5,GENTLE_LINEAR_UP
2025_01_08,IS,0,NOISE,NONE,0.6193607879118997,7.3870668559566575,1736330400,1736336100,95.0,6,NOISE
2025_01_08,IS,1,STEEP_LINEAR_DOWN,NONE,0.9432182054660316,49.512206664602914,1736336100,1736336925,13.8,6,STEEP_LINEAR_DOWN
2025_01_08,IS,0,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.8962178305330417,34.450065851078335,1736336925,1736343300,106.2,7,STEEP_CONVEX_DOWN
