date,session,trade_volume,ohlcv_volume,ratio
2025-07-29,ETH,10520.0,82261.0,0.12788563231665065
2025-07-29,RTH,0.0,448625.0,0.0
2025-07-30,ETH,133690.0,133208.0,1.0036184012972194
2025-07-30,RTH,409487.0,408960.0,1.0012886345852896
2025-07-31,ETH,161661.0,161210.0,1.0027975932014144
2025-07-31,RTH,580537.0,579515.0,1.0017635436528822
2025-08-01,ETH,172959.0,172363.0,1.0034578186733811
2025-08-01,RTH,578462.0,577034.0,1.0024747241930285
2025-08-03,ETH,40191.0,40124.0,1.0016698235470043
2025-08-04,ETH,118862.0,118523.0,1.002860204348523
2025-08-04,RTH,328409.0,327962.0,1.0013629627822735
2025-08-05,ETH,119244.0,118963.0,1.0023620789657288
2025-08-05,RTH,426228.0,425716.0,1.0012026797207527
2025-08-06,ETH,119169.0,118943.0,1.0019000697813238
2025-08-06,RTH,400081.0,399402.0,1.0017000415621353
2025-08-07,ETH,117199.0,116851.0,1.0029781516632292
2025-08-07,RTH,428904.0,427969.0,1.0021847376795983
2025-08-08,ETH,70736.0,70537.0,1.0028212143981172
2025-08-08,RTH,356460.0,355975.0,1.0013624552285976
2025-08-10,ETH,25176.0,25139.0,1.0014718166991528
2025-08-11,ETH,84767.0,84565.0,1.0023886950866197
2025-08-11,RTH,346836.0,346382.0,1.0013106916641166
2025-08-12,ETH,117078.0,116674.0,1.003462639491232
2025-08-12,RTH,368466.0,367712.0,1.0020505177965364
2025-08-13,ETH,73707.0,73402.0,1.0041552001307865
2025-08-13,RTH,370405.0,369549.0,1.0023163369404329
2025-08-14,ETH,110522.0,110233.0,1.0026217194488038
2025-08-14,RTH,377849.0,376945.0,1.0023982278581756
2025-08-15,ETH,65412.0,65185.0,1.0034823962568076
2025-08-15,RTH,354005.0,353303.0,1.001986963031732
2025-08-17,ETH,16207.0,16184.0,1.0014211566979734
2025-08-18,ETH,86417.0,86271.0,1.001692341574805
2025-08-18,RTH,313864.0,313590.0,1.000873752351797
2025-08-19,ETH,101977.0,101768.0,1.0020536907475828
2025-08-19,RTH,462298.0,461769.0,1.0011455944422427
2025-08-20,ETH,116919.0,116596.0,1.002770249408213
2025-08-20,RTH,581898.0,580295.0,1.00276238809571
2025-08-21,ETH,100128.0,99668.0,1.0046153228719348
2025-08-21,RTH,414162.0,412545.0,1.0039195724102825
2025-08-22,ETH,63312.0,63075.0,1.003757431629013
2025-08-22,RTH,398799.0,397446.0,1.0034042360471611
2025-08-24,ETH,26645.0,26560.0,1.0032003012048192
2025-08-25,ETH,111047.0,110665.0,1.0034518592147472
2025-08-25,RTH,301576.0,301202.0,1.0012416916222335
2025-08-26,ETH,79466.0,79212.0,1.0032065848608798
2025-08-26,RTH,331290.0,330235.0,1.0031946946871166
2025-08-27,ETH,117944.0,117512.0,1.0036762203009055
2025-08-27,RTH,321895.0,321511.0,1.0011943603795828
2025-08-28,ETH,99523.0,99098.0,1.00428868392904
2025-08-28,RTH,371853.0,371088.0,1.0020615056266977
2025-08-29,ETH,85151.0,84936.0,1.0025313176980315
2025-08-29,RTH,428732.0,427522.0,1.0028302637057274
2025-08-31,ETH,25809.0,25672.0,1.0053365534434404
2025-09-01,ETH,65313.0,65068.0,1.0037652916948423
2025-09-01,RTH,23119.0,23044.0,1.0032546432910954
2025-09-02,ETH,186298.0,185142.0,1.0062438560672349
2025-09-02,RTH,468847.0,466912.0,1.004144249880063
2025-09-03,ETH,115255.0,114629.0,1.0054610962321926
2025-09-03,RTH,440804.0,439203.0,1.0036452392174007
2025-09-04,ETH,97898.0,97026.0,1.0089872817595285
2025-09-04,RTH,372457.0,370798.0,1.0044741341646934
2025-09-05,ETH,103769.0,102560.0,1.0117882215288612
2025-09-05,RTH,546178.0,542593.0,1.0066071622744857
2025-09-07,ETH,30421.0,30079.0,1.0113700588450414
2025-09-08,ETH,74330.0,73505.0,1.011223726277124
2025-09-08,RTH,367766.0,364461.0,1.0090681856220556
2025-09-09,ETH,102096.0,100677.0,1.0140945796954617
2025-09-09,RTH,370481.0,366011.0,1.012212747704304
2025-09-10,ETH,104442.0,102153.0,1.0224075651229039
2025-09-10,RTH,413468.0,406345.0,1.0175294392695862
2025-09-11,ETH,99201.0,95100.0,1.0431230283911672
2025-09-11,RTH,348816.0,334002.0,1.0443530278261808
2025-09-12,ETH,67991.0,60113.0,1.1310531831716932
2025-09-12,RTH,363861.0,306703.0,1.1863627026797912
2025-09-14,ETH,18856.0,11796.0,1.598507968802984
2025-09-15,ETH,119877.0,47637.0,2.516468291454122
2025-09-15,RTH,459111.0,166880.0,2.751144534995206
2025-09-16,ETH,110170.0,23226.0,4.743391027296995
2025-09-16,RTH,407690.0,67211.0,6.065822558807338
2025-09-17,ETH,122728.0,20328.0,6.037386855568673
2025-09-17,RTH,609022.0,89245.0,6.824158216146563
2025-09-18,ETH,143700.0,15352.0,9.360343929129755
2025-09-18,RTH,465843.0,46688.0,9.977788725154214
2025-09-19,ETH,85956.0,1746.0,49.23024054982818
2025-09-19,RTH,376026.0,0.0,
2025-09-21,ETH,22833.0,0.0,
2025-09-22,ETH,96485.0,0.0,
2025-09-22,RTH,366355.0,0.0,
2025-09-23,ETH,79233.0,0.0,
2025-09-23,RTH,472714.0,0.0,
2025-09-24,ETH,81992.0,0.0,
2025-09-24,RTH,437694.0,0.0,
2025-09-25,ETH,140280.0,0.0,
2025-09-25,RTH,555995.0,0.0,
2025-09-26,ETH,102338.0,0.0,
2025-09-26,RTH,417306.0,0.0,
2025-09-28,ETH,24572.0,0.0,
2025-09-29,ETH,90191.0,0.0,
2025-09-29,RTH,403073.0,0.0,
2025-09-30,ETH,100947.0,15920.0,6.340891959798995
2025-09-30,RTH,411648.0,0.0,
2025-10-01,ETH,112460.0,112351.0,1.0009701738302286
2025-10-01,RTH,349274.0,348990.0,1.0008137768990515
2025-10-02,ETH,88381.0,88264.0,1.0013255687483005
2025-10-02,RTH,361451.0,361132.0,1.0008833335179381
2025-10-03,ETH,55201.0,55152.0,1.0008884537278793
2025-10-03,RTH,409741.0,409319.0,1.0010309807265239
2025-10-05,ETH,19834.0,19812.0,1.0011104381183122
2025-10-06,ETH,100060.0,99951.0,1.0010905343618373
2025-10-06,RTH,310413.0,310152.0,1.0008415228662075
2025-10-07,ETH,88932.0,88847.0,1.0009567008452733
2025-10-07,RTH,444655.0,444306.0,1.0007854946815933
2025-10-08,ETH,95631.0,95401.0,1.0024108761962662
2025-10-08,RTH,346294.0,345991.0,1.0008757453228552
2025-10-09,ETH,77616.0,77539.0,1.0009930486593843
2025-10-09,RTH,408967.0,408593.0,1.000915336288189
2025-10-10,ETH,102980.0,102794.0,1.0018094441309804
2025-10-10,RTH,795783.0,794231.0,1.0019540914419105
2025-10-12,ETH,73875.0,73668.0,1.0028099038931422
2025-10-13,ETH,174869.0,174550.0,1.0018275565740475
2025-10-13,RTH,436787.0,436400.0,1.0008868010999084
2025-10-14,ETH,211239.0,210938.0,1.0014269595805403
2025-10-14,RTH,505061.0,504357.0,1.0013958366791778
2025-10-15,ETH,121371.0,121176.0,1.001609229550406
2025-10-15,RTH,501982.0,501413.0,1.0011347930747707
2025-10-16,ETH,133703.0,133587.0,1.000868347967991
2025-10-16,RTH,605440.0,604614.0,1.0013661608894269
2025-10-17,ETH,198179.0,197701.0,1.0024177925250757
2025-10-17,RTH,498028.0,497538.0,1.000984849398438
2025-10-19,ETH,35568.0,35524.0,1.0012385992568404
2025-10-20,ETH,98385.0,98311.0,1.0007527133281118
2025-10-20,RTH,316166.0,315787.0,1.0012001760680458
2025-10-21,ETH,101920.0,101839.0,1.0007953730888952
2025-10-21,RTH,332568.0,332259.0,1.0009299973815609
2025-10-22,ETH,108786.0,108583.0,1.001869537588757
2025-10-22,RTH,584716.0,584037.0,1.0011625975751537
2025-10-23,ETH,112944.0,112799.0,1.0012854723889397
2025-10-23,RTH,397475.0,397103.0,1.0009367846629211
2025-10-24,ETH,95412.0,95152.0,1.0027324701530183
2025-10-24,RTH,346808.0,346315.0,1.0014235594761993
2025-10-26,ETH,31914.0,31824.0,1.0028280542986425
2025-10-27,ETH,99656.0,99514.0,1.0014269349036315
2025-10-27,RTH,309966.0,309476.0,1.0015833214853493
2025-10-28,ETH,102503.0,102322.0,1.0017689255487578
2025-10-28,RTH,344351.0,343899.0,1.0013143393845285
2025-10-29,ETH,144086.0,143679.0,1.002832703457012
2025-10-29,RTH,420592.0,419829.0,1.0018174066107868
2025-10-30,ETH,192282.0,191690.0,1.0030883196828213
2025-10-30,RTH,453797.0,453155.0,1.0014167337886595
2025-10-31,ETH,84023.0,83840.0,1.0021827290076335
2025-10-31,RTH,476695.0,475959.0,1.0015463516815524
2025-11-02,ETH,28440.0,28384.0,1.0019729425028185
2025-11-03,ETH,118764.0,118554.0,1.0017713447036793
2025-11-03,RTH,355873.0,355528.0,1.000970387705047
2025-11-04,ETH,235767.0,235022.0,1.003169916007863
2025-11-04,RTH,476061.0,475485.0,1.0012113946812202
2025-11-05,ETH,160462.0,160182.0,1.0017480116367632
2025-11-05,RTH,406094.0,405260.0,1.0020579381138035
2025-11-06,ETH,151343.0,150850.0,1.003268147166059
2025-11-06,RTH,605917.0,604987.0,1.001537223113885
2025-11-07,ETH,133316.0,132913.0,1.003032058564625
2025-11-07,RTH,571611.0,570595.0,1.001780597446525
2025-11-09,ETH,51848.0,51657.0,1.0036974659775055
2025-11-10,ETH,117466.0,117062.0,1.0034511626317677
2025-11-10,RTH,469274.0,468682.0,1.0012631165694437
2025-11-11,ETH,119008.0,118724.0,1.0023921026919578
2025-11-11,RTH,410499.0,410062.0,1.0010656925050359
2025-11-12,ETH,128798.0,128509.0,1.0022488697289684
2025-11-12,RTH,490765.0,490145.0,1.0012649318058942
2025-11-13,ETH,146555.0,146196.0,1.002455607540562
2025-11-13,RTH,604216.0,603388.0,1.0013722513540209
2025-11-14,ETH,188778.0,188249.0,1.0028101078890193
2025-11-14,RTH,624435.0,623606.0,1.001329365015731
