side,bin,range,n,pct_side,mean_abs,median_abs
UP,UP_0_1,"[0.0, 0.6)",8,3.56,0.38,0.38
UP,UP_1_1,"[0.6, 1.1)",7,3.11,0.89,1.0
UP,UP_1_3,"[1.1, 3.2)",29,12.89,2.09,2.25
UP,UP_3_15,"[3.2, 14.9)",97,43.11,8.65,8.5
UP,UP_15_45,"[14.9, 44.8)",61,27.11,23.44,21.5
UP,UP_45_66,"[44.8, 66.2)",10,4.44,54.7,53.75
UP,UP_66+,"[66.2, 152.0)",13,5.78,93.85,83.25
DN,DN_0_2,"[0.0, 1.7)",21,9.05,0.93,1.0
DN,DN_2_32,"[1.7, 32.1)",168,72.41,12.11,11.12
DN,DN_32_75,"[32.1, 75.1)",35,15.09,45.29,44.0
DN,DN_75+,"[75.1, 227.0)",8,3.45,107.31,88.38
