r_lo,r_hi,p0,p1,A_min,dir_recall_2m,recall_2m,precision_2m,dir_correct_2m,lead_median,fires_per_day,n_fires,feasible
0.03,0.15,0.2,0.6,10.0,0.2953659592897358,0.3009961022087484,0.16839586974576376,0.8365467625899281,0.0,312.6860465116279,80673,True
0.03,0.15,0.2,0.6,15.0,0.2550887830229537,0.25924642702468603,0.17802522135766033,0.8235883728700301,0.0,173.34883720930233,44724,True
0.03,0.15,0.3,0.7,10.0,0.2953659592897358,0.3009961022087484,0.16841452063295068,0.8365467625899281,0.0,312.3062015503876,80575,True
0.03,0.15,0.3,0.7,15.0,0.2550887830229537,0.25924642702468603,0.17806101877156041,0.8232542599398597,0.0,173.03100775193798,44642,True
0.03,0.25,0.2,0.6,10.0,0.2881766998700736,0.2921611087050671,0.1645314158432123,0.8265638897124222,0.11666666666666667,259.2751937984496,66893,True
0.03,0.25,0.2,0.6,15.0,0.2562148116067562,0.2601126028583802,0.17910525493463883,0.7872127872127872,0.13333333333333333,148.84496124031008,38402,False
0.03,0.25,0.3,0.7,10.0,0.2847986141186661,0.2886964053702902,0.16344621362760128,0.8253825382538253,0.11666666666666667,255.35271317829458,65881,True
0.03,0.25,0.3,0.7,15.0,0.2529233434387181,0.25656128194023387,0.17792255945759838,0.786968264686023,0.13333333333333333,146.34883720930233,37758,False
0.03,0.35,0.2,0.6,10.0,0.20329146816803811,0.20909484625378952,0.15067466266866567,0.8073736536868269,0.36666666666666664,160.28682170542635,41354,True
0.03,0.35,0.2,0.6,15.0,0.17704634040710265,0.18536162841056736,0.1664990328820116,0.7457943925233644,0.4,100.1937984496124,25850,False
0.03,0.35,0.3,0.7,10.0,0.18718059766132525,0.1938501515807709,0.15014728126741503,0.789544235924933,0.35,146.0581395348837,37683,False
0.03,0.35,0.3,0.7,15.0,0.1610220874837592,0.17063663923776526,0.1661676646706587,0.7197969543147208,0.36666666666666664,90.62015503875969,23380,False
0.05,0.15,0.2,0.6,10.0,0.2953659592897358,0.3009961022087484,0.1683795544425573,0.8362589928057554,0.0,312.64728682170545,80663,True
0.05,0.15,0.2,0.6,15.0,0.2550887830229537,0.25924642702468603,0.17802030683902134,0.8232542599398597,0.0,173.31007751937983,44714,True
0.05,0.15,0.3,0.7,10.0,0.2953659592897358,0.3009961022087484,0.16841870105370285,0.8365467625899281,0.0,312.2984496124031,80573,True
0.05,0.15,0.3,0.7,15.0,0.2550887830229537,0.25924642702468603,0.17808341920164866,0.8232542599398597,0.0,173.03100775193798,44642,True
0.05,0.25,0.2,0.6,10.0,0.28800346470333477,0.2919878735383283,0.16452130130520132,0.8270542865618511,0.11666666666666667,258.65503875968994,66733,True
0.05,0.25,0.2,0.6,15.0,0.25578172368990904,0.25967951494153313,0.17891824162054923,0.7878585723815877,0.13333333333333333,148.48062015503876,38308,False
0.05,0.25,0.3,0.7,10.0,0.28471199653529666,0.28860978778692076,0.16349146110056925,0.825030012004802,0.11666666666666667,255.3294573643411,65875,True
0.05,0.25,0.3,0.7,15.0,0.25257687310524035,0.2562148116067562,0.17788614438672745,0.786342123056119,0.13333333333333333,146.24806201550388,37732,False
0.05,0.35,0.2,0.6,10.0,0.20190558683412732,0.20770896491987872,0.1509646184316698,0.8052543786488741,0.36666666666666664,158.515503875969,40897,True
0.05,0.35,0.2,0.6,15.0,0.17566045907319186,0.18397574707665657,0.16707183186951066,0.7429378531073446,0.4,98.85271317829458,25504,False
0.05,0.35,0.3,0.7,10.0,0.18622780424426158,0.19289735816370723,0.14949785556354725,0.7894027840143691,0.35,145.5,37539,False
0.05,0.35,0.3,0.7,15.0,0.16015591165006496,0.16977046340407104,0.16570766059773273,0.7198979591836735,0.36666666666666664,90.26356589147287,23288,False
0.08,0.15,0.2,0.6,10.0,0.2952793417063664,0.300909484625379,0.16831842820108905,0.8364997121473805,0.0,312.484496124031,80621,True
0.08,0.15,0.2,0.6,15.0,0.2550887830229537,0.25924642702468603,0.17803284557211257,0.8232542599398597,0.0,173.2325581395349,44694,True
0.08,0.15,0.3,0.7,10.0,0.29449978345604155,0.30012992637505415,0.16850003733107688,0.8360750360750361,0.0,311.48062015503876,80362,True
0.08,0.15,0.3,0.7,15.0,0.2550887830229537,0.25924642702468603,0.1781217796496259,0.8232542599398597,0.0,173.015503875969,44638,True
0.08,0.25,0.2,0.6,10.0,0.2871372888696405,0.2910350801212646,0.16416092852632527,0.8267857142857142,0.11666666666666667,257.8062015503876,66514,True
0.08,0.25,0.2,0.6,15.0,0.2550887830229537,0.2588133391078389,0.17876890018605382,0.7881526104417671,0.13333333333333333,147.9108527131783,38161,False
0.08,0.25,0.3,0.7,10.0,0.28358596795149416,0.28748375920311825,0.16328957599597493,0.8246459777041277,0.11666666666666667,254.22093023255815,65589,True
0.08,0.25,0.3,0.7,15.0,0.2522304027717627,0.25586834127327845,0.1777748274030802,0.7860528097494922,0.13333333333333333,145.96899224806202,37660,False
0.08,0.35,0.2,0.6,10.0,0.1974880900822867,0.20337808575140753,0.1508343549073078,0.8019591141396933,0.36666666666666664,154.92635658914728,39971,True
0.08,0.35,0.2,0.6,15.0,0.17202252057167605,0.18042442615851018,0.16678665706743462,0.7383581373019683,0.4,96.90697674418605,25002,False
0.08,0.35,0.3,0.7,10.0,0.18492854049372023,0.19151147682979644,0.14993137228516834,0.7896879240162822,0.35,144.01937984496124,37157,False
0.08,0.35,0.3,0.7,15.0,0.1587700303161542,0.16829796448679082,0.16594303577631123,0.718991250643335,0.36666666666666664,89.27131782945736,23032,False
