r,S,A_min,dir_recall_2m,recall_2m,precision_2m,lead_median,fires_per_day,n_fires,feasible
0.05,0,5.0,0.32325682113469034,0.324209614551754,0.16049557764424605,0.0,792.7480620155038,204529,False
0.05,0,10.0,0.29008228670420094,0.2960588999566912,0.16986714558725335,-0.03333333333333333,336.6744186046512,86862,False
0.05,0,15.0,0.2462537895192724,0.2513642269380684,0.17766859830351894,-0.08333333333333333,184.6046511627907,47628,False
0.05,1,5.0,0.3208315288003465,0.3237765266349069,0.1504558049877515,0.5166666666666667,193.03100775193798,49802,False
0.05,1,10.0,0.3013425725422261,0.305413598960589,0.16300900347861674,0.24166666666666667,151.53488372093022,39096,False
0.05,1,15.0,0.2650498051104374,0.26756171502815074,0.17873603351955308,-0.016666666666666666,111.0077519379845,28640,False
0.05,2,5.0,0.2472932005197055,0.2898224339540927,0.17015877897812465,0.5666666666666667,100.81782945736434,26011,False
0.05,2,10.0,0.2411433521004764,0.2779558250324816,0.17688881274627377,0.48333333333333334,90.49612403100775,23348,False
0.05,2,15.0,0.223906453009961,0.2533564313555652,0.19333745237359695,0.4,75.27906976744185,19422,False
0.05,3,5.0,0.04226938068427891,0.1358163707232568,0.09585521808632108,-0.43333333333333335,67.89147286821705,17516,False
0.05,3,10.0,0.040710264183629274,0.1292334343871806,0.0946852893161618,-0.48333333333333334,64.1046511627907,16539,False
0.05,3,15.0,0.037678648765699436,0.11866608921611087,0.09638718473074301,-0.55,56.86046511627907,14670,True
0.05,5,5.0,0.020268514508445214,0.09372022520571677,0.10174446016030174,-0.48333333333333334,41.104651162790695,10605,True
0.05,5,10.0,0.020355132091814637,0.09190125595495886,0.10194642513008287,-0.5333333333333333,40.224806201550386,10378,True
0.05,5,15.0,0.019402338674750975,0.08618449545257688,0.1022680412371134,-0.55,37.5968992248062,9700,True
0.08,0,5.0,0.32325682113469034,0.3241229969683846,0.1599770269932829,0.0,776.1046511627907,200235,False
0.08,0,10.0,0.2909484625378952,0.2970116933737549,0.168893252451582,-0.016666666666666666,331.6162790697674,85557,False
0.08,0,15.0,0.24789952360329146,0.2533564313555652,0.17705238135665166,-0.05,182.6201550387597,47116,False
0.08,1,5.0,0.32065829363360765,0.323603291468168,0.15059115101775483,0.65,190.7984496124031,49226,False
0.08,1,10.0,0.3013425725422261,0.3055002165439584,0.16327479338842976,0.38333333333333336,150.07751937984497,38720,False
0.08,1,15.0,0.2660892161108705,0.2686011260285838,0.17937330372563534,0.11666666666666667,109.96511627906976,28371,False
0.08,2,5.0,0.24460805543525335,0.286617583369424,0.16973136881390197,0.65,99.7015503875969,25723,False
