actual_pnl,actual_held,direction,same_early_best,same_early_bar,same_at_exit,same_ext_best,same_ext_bar,same_best,same_best_bar,counter_early_best,counter_early_bar,counter_at_exit,counter_ext_best,counter_ext_bar,counter_best,counter_best_bar,best_action,best_pnl,regret,early_entry_gain,best_early_bars_before,best_early_same_peak,best_early_counter_peak,trade_id,day,entry_tier
11.5,34,short,15.5,16,-27.5,-2.0,221,15.5,16,0.0,0,27.5,175.0,201,175.0,201,counter_extended,175.0,163.5,243.0,31,0.0,254.5,0,2025_01_02,ABSORPTION
-12.5,11,short,0.0,0,-12.5,13.0,198,13.0,198,27.0,2,12.5,160.0,178,160.0,178,counter_extended,160.0,172.5,254.5,54,0.0,254.5,1,2025_01_02,ABSORPTION
6.0,48,short,49.0,2,-34.5,403.5,338,403.5,338,0.0,0,34.5,217.5,195,217.5,195,same_extended,403.5,397.5,478.0,47,484.0,137.0,2,2025_01_02,REGIME_FLIP
-199.0,1356,short,398.5,253,-199.0,-199.0,1356,398.5,253,34.5,3,0.0,482.0,32,482.0,32,counter_extended,482.0,681.0,926.0,57,926.0,0.0,3,2025_01_02,EXHAUSTION_BAR
20.5,108,long,91.5,5,-551.0,-184.5,261,91.5,5,7.0,1,551.0,591.5,106,591.5,106,counter_extended,591.5,571.0,860.0,115,0.0,880.5,4,2025_01_02,EXHAUSTION_BAR
-125.5,876,long,175.5,236,-125.5,-125.5,876,175.5,236,33.0,3,0.0,231.5,81,231.5,81,counter_extended,231.5,357.0,716.0,42,0.0,716.0,5,2025_01_02,EXHAUSTION_BAR
8.0,28,short,19.5,27,21.0,92.5,116,92.5,116,1.0,2,-21.0,62.0,359,62.0,359,same_extended,92.5,84.5,117.0,100,0.0,125.0,0,2025_01_03,ABSORPTION
-1.5,19,short,14.0,18,22.0,83.5,95,83.5,95,6.5,3,-22.0,71.0,338,71.0,338,same_extended,83.5,85.0,101.0,119,11.0,101.0,1,2025_01_03,REGIME_FLIP
-0.5,37,long,9.0,9,-10.5,75.5,333,75.5,333,7.5,2,10.5,79.0,90,79.0,90,counter_extended,79.0,79.5,129.5,59,129.5,25.0,2,2025_01_03,REGIME_FLIP
-14.5,41,long,2.0,15,-54.0,97.0,287,97.0,287,8.0,3,54.0,57.5,44,57.5,44,same_extended,97.0,111.5,129.5,105,129.5,25.0,3,2025_01_03,ABSORPTION
