set,n_trades,total_pnl,wr,per_trade,max_dd,in_window_pnl,in_window_n,out_window_pnl,out_window_n
A_SFE_CANONICAL,11934,-30073.100000000006,49.606167253226076,-2.5199513993631646,-30277.800000007217,10.200000000000017,27,-30083.300000000007,11907
B_NT8_NMP_COMB,16561,-49061.40000000001,47.71450999335789,-2.962466034659743,-49338.80000001685,36.599999999999916,51,-49098.00000000001,16510
C_NT8_BEST,5992,-13633.800000000003,51.134846461949266,-2.275333778371162,-16492.299999998337,542.6,16,-14176.400000000003,5976
