date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2026-02-15,3,0,108,UP_SMOOTH,15m,UP,UP
2026-02-16,12,21,228,DOWN_CHOPPY,15m,DOWN,DOWN
2026-02-17,57,30,276,FLAT_CHOPPY,15m,FLAT,UP
2026-02-18,30,24,276,FLAT_CHOPPY,15m,FLAT,UP
2026-02-19,30,39,276,FLAT_SMOOTH,15m,FLAT,DOWN
2026-02-20,33,36,168,FLAT_CHOPPY,15m,FLAT,DOWN
2026-02-22,0,9,108,DOWN_SMOOTH,15m,DOWN,DOWN
2026-02-23,15,24,276,FLAT_CHOPPY,15m,FLAT,DOWN
2026-02-24,18,12,276,FLAT_CHOPPY,15m,FLAT,UP
2026-02-25,12,9,276,UP_SMOOTH,15m,UP,UP
2026-02-26,18,27,276,FLAT_CHOPPY,15m,FLAT,DOWN
2026-02-27,33,33,168,FLAT_CHOPPY,15m,FLAT,ABSTAIN
2026-03-01,18,18,108,FLAT_CHOPPY,15m,FLAT,ABSTAIN
2026-03-02,48,36,276,FLAT_CHOPPY,15m,FLAT,UP
2026-03-03,78,84,276,FLAT_CHOPPY,15m,FLAT,DOWN
2026-03-04,42,39,276,UP_CHOPPY,15m,UP,UP
2026-03-05,54,54,276,FLAT_CHOPPY,15m,FLAT,ABSTAIN
2026-03-06,45,66,168,DOWN_SMOOTH,15m,DOWN,DOWN
2026-03-08,24,36,108,DOWN_SMOOTH,15m,DOWN,DOWN
2026-03-09,84,48,276,UP_SMOOTH,15m,UP,UP
2026-03-10,48,45,276,FLAT_CHOPPY,15m,FLAT,UP
2026-03-11,45,57,276,FLAT_CHOPPY,15m,FLAT,DOWN
2026-03-12,27,54,276,DOWN_CHOPPY,15m,DOWN,DOWN
2026-03-13,33,42,168,FLAT_CHOPPY,15m,FLAT,DOWN
2026-03-15,15,3,108,UP_SMOOTH,15m,UP,UP
2026-03-16,33,18,276,FLAT_CHOPPY,15m,FLAT,UP
2026-03-17,27,9,276,UP_SMOOTH,15m,UP,UP
2026-03-18,27,43,276,DOWN_SMOOTH,15m,DOWN,DOWN
2026-03-19,55,56,276,FLAT_CHOPPY,15m,FLAT,ABSTAIN
2026-03-20,12,10,78,DOWN_SMOOTH,15m,DOWN,ABSTAIN
2025-01-01,0,12,108,FLAT_SMOOTH,1h,FLAT,DOWN
2025-01-02,36,36,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-01-03,24,12,168,UP_SMOOTH,1h,UP,UP
2025-01-05,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-01-06,24,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-01-07,0,48,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-01-08,60,36,276,FLAT_CHOPPY,1h,FLAT,UP
2025-01-09,0,0,186,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-01-10,24,72,168,DOWN_CHOPPY,1h,DOWN,DOWN
2025-01-12,0,12,108,DOWN_SMOOTH,1h,DOWN,DOWN
2025-01-13,24,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
