**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,cell,regime_2d,n,pct
5s,BIG+POS,UP_SMOOTH,1114,13.24928639391056
5s,BIG+POS,UP_CHOPPY,610,7.25499524262607
5s,BIG+POS,DOWN_SMOOTH,1134,13.487155090390104
5s,BIG+POS,DOWN_CHOPPY,649,7.71883920076118
5s,BIG+POS,FLAT_SMOOTH,960,11.417697431018079
5s,BIG+POS,FLAT_CHOPPY,3941,46.872026641294006
5s,BIG+NEG,UP_SMOOTH,1090,12.58079409048938
5s,BIG+NEG,UP_CHOPPY,591,6.821329639889196
5s,BIG+NEG,DOWN_SMOOTH,1200,13.850415512465373
5s,BIG+NEG,DOWN_CHOPPY,713,8.229455216989843
5s,BIG+NEG,FLAT_SMOOTH,987,11.39196675900277
5s,BIG+NEG,FLAT_CHOPPY,4083,47.12603878116344
5s,OTHER,UP_SMOOTH,10753,17.584052851909995
5s,OTHER,UP_CHOPPY,4931,8.063513867085296
5s,OTHER,DOWN_SMOOTH,5910,9.664442700156986
5s,OTHER,DOWN_CHOPPY,3510,5.739795918367347
5s,OTHER,FLAT_SMOOTH,11825,19.337061747776033
5s,OTHER,FLAT_CHOPPY,24223,39.61113291470434
1m,BIG+POS,UP_SMOOTH,1044,13.384615384615385
1m,BIG+POS,UP_CHOPPY,562,7.205128205128205
1m,BIG+POS,DOWN_SMOOTH,998,12.794871794871796
1m,BIG+POS,DOWN_CHOPPY,692,8.871794871794872
1m,BIG+POS,FLAT_SMOOTH,777,9.961538461538462
1m,BIG+POS,FLAT_CHOPPY,3727,47.782051282051285
1m,BIG+NEG,UP_SMOOTH,902,11.124814997533301
1m,BIG+NEG,UP_CHOPPY,552,6.80809077454366
1m,BIG+NEG,DOWN_SMOOTH,1275,15.72520966946226
1m,BIG+NEG,DOWN_CHOPPY,711,8.769116921558954
1m,BIG+NEG,FLAT_SMOOTH,846,10.434139121854958
1m,BIG+NEG,FLAT_CHOPPY,3822,47.13862851504687
1m,OTHER,UP_SMOOTH,11011,17.669619359394055
1m,OTHER,UP_CHOPPY,5018,8.052506579369664
1m,OTHER,DOWN_SMOOTH,5971,9.581808845240388
1m,OTHER,DOWN_CHOPPY,3469,5.566788625714103
1m,OTHER,FLAT_SMOOTH,12149,19.495795622312087
1m,OTHER,FLAT_CHOPPY,24698,39.6334809679697
5m,BIG+POS,UP_SMOOTH,1057,13.67046042421107
5m,BIG+POS,UP_CHOPPY,586,7.578892912571133
5m,BIG+POS,DOWN_SMOOTH,954,12.338334195550956
5m,BIG+POS,DOWN_CHOPPY,662,8.561821003621313
5m,BIG+POS,FLAT_SMOOTH,757,9.790481117434041
5m,BIG+POS,FLAT_CHOPPY,3716,48.060010346611485
5m,BIG+NEG,UP_SMOOTH,817,10.09514395156308
5m,BIG+NEG,UP_CHOPPY,524,6.474731249227728
5m,BIG+NEG,DOWN_SMOOTH,1334,16.483380699369825
5m,BIG+NEG,DOWN_CHOPPY,754,9.31669343877425
5m,BIG+NEG,FLAT_SMOOTH,851,10.51526010132213
5m,BIG+NEG,FLAT_CHOPPY,3813,47.114790559742985
5m,OTHER,UP_SMOOTH,11083,17.761502588182502
5m,OTHER,UP_CHOPPY,5022,8.048205900735589
5m,OTHER,DOWN_SMOOTH,5956,9.54502476001218
5m,OTHER,DOWN_CHOPPY,3456,5.5385502972804055
5m,OTHER,FLAT_SMOOTH,12164,19.49390214586772
5m,OTHER,FLAT_CHOPPY,24718,39.6128143079216
15m,BIG+POS,UP_SMOOTH,1171,15.4648705758056
15m,BIG+POS,UP_CHOPPY,573,7.567353407290016
15m,BIG+POS,DOWN_SMOOTH,826,10.908610670892763
15m,BIG+POS,DOWN_CHOPPY,602,7.950343370311675
15m,BIG+POS,FLAT_SMOOTH,771,10.182250396196514
15m,BIG+POS,FLAT_CHOPPY,3629,47.92657157950343
15m,BIG+NEG,UP_SMOOTH,707,8.734865332344947
15m,BIG+NEG,UP_CHOPPY,429,5.3002223869532985
15m,BIG+NEG,DOWN_SMOOTH,1432,17.692117617988632
15m,BIG+NEG,DOWN_CHOPPY,831,10.266864343958488
15m,BIG+NEG,FLAT_SMOOTH,811,10.01976772918211
15m,BIG+NEG,FLAT_CHOPPY,3884,47.98616258957252
15m,OTHER,UP_SMOOTH,11079,17.710814483254737
15m,OTHER,UP_CHOPPY,5130,8.200783310686596
15m,OTHER,DOWN_SMOOTH,5986,9.569179122372311
15m,OTHER,DOWN_CHOPPY,3439,5.497562145312125
15m,OTHER,FLAT_SMOOTH,12187,19.482055790904006
15m,OTHER,FLAT_CHOPPY,24734,39.539605147470226
1h,BIG+POS,UP_SMOOTH,1440,19.477884485323955
1h,BIG+POS,UP_CHOPPY,780,10.550520762883808
1h,BIG+POS,DOWN_SMOOTH,672,9.089679426484512
1h,BIG+POS,DOWN_CHOPPY,384,5.194102529419721
1h,BIG+POS,FLAT_SMOOTH,588,7.953469498173948
1h,BIG+POS,FLAT_CHOPPY,3529,47.734343297714055
1h,BIG+NEG,UP_SMOOTH,516,6.253029568589433
1h,BIG+NEG,UP_CHOPPY,385,4.665535627726611
1h,BIG+NEG,DOWN_SMOOTH,1615,19.571013087736308
1h,BIG+NEG,DOWN_CHOPPY,864,10.47018904507998
1h,BIG+NEG,FLAT_SMOOTH,780,9.452253999030537
1h,BIG+NEG,FLAT_CHOPPY,4092,49.58797867183713
1h,OTHER,UP_SMOOTH,11001,17.58247027234369
1h,OTHER,UP_CHOPPY,4967,7.938562843626134
1h,OTHER,DOWN_SMOOTH,5957,9.520841324638793
1h,OTHER,DOWN_CHOPPY,3624,5.792098197161488
1h,OTHER,FLAT_SMOOTH,12393,19.807249712313002
1h,OTHER,FLAT_CHOPPY,24626,39.35877764991689
