date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long,any_classification,cluster
2025-01-06,2025-01-06 00:11:00,SHORT,21528.25,H,98.0,0.0,196.0,1,-5.614,-1.608,-0.78,,,,-0.317,0.481,0.165,0.0,,,,,0.5,0.0,1,0,0,0,0,0,0,0,False,1
2025-01-06,2025-01-06 00:44:00,LONG,21484.75,L,38.5,9.0,4.277777777777778,1,-0.139,-1.109,-3.052,,,,-1.2,-1.443,-0.81,0.0,-0.218,0.218,0.0218,,0.5,0.667,0,0,0,0,0,0,0,0,False,1
2025-01-06,2025-01-06 00:55:00,SHORT,21500.75,H,28.5,19.5,1.4615384615384617,0,-1.959,0.497,-1.201,,,,1.108,1.241,0.045,0.0,-0.325,0.325,0.0325,,0.5,0.804,0,0,0,0,0,0,0,0,False,1
2025-01-06,2025-01-06 02:28:00,SHORT,21511.0,H,27.0,2.5,10.8,1,-3.059,-2.567,0.16,-1.161,1.502,-0.053,-0.5,0.261,1.322,0.0,-0.133,0.133,0.0133,41.0,0.0,0.0,1,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-06 01:57:00,LONG,21496.75,L,43.0,27.5,1.5636363636363635,0,1.553,2.112,-0.521,-8.283,0.494,-0.597,1.142,0.135,0.147,0.0,-0.103,0.103,0.0103,49.12,0.0,0.5,0,0,0,0,0,0,0,0,False,2
2025-01-06,2025-01-06 20:13:00,LONG,21689.75,L,179.5,24.5,7.326530612244898,1,2.681,1.532,-1.005,-0.835,0.1,-0.515,-0.25,2.545,-0.73,0.0,-1.097,1.097,0.1097,82.1,0.767,0.267,1,0,0,0,0,0,0,0,False,1
2025-01-06,2025-01-07 00:24:00,SHORT,21770.75,H,45.5,22.5,2.022222222222222,1,2.473,1.461,0.188,-0.53,0.796,0.021,-0.008,-0.009,-0.022,0.0,0.424,-0.424,-0.0424,83.81,0.0,0.0,0,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-07 07:09:00,LONG,21715.25,L,38.0,28.5,1.3333333333333333,0,1.969,1.596,0.391,-1.512,0.183,-0.4,2.996,2.124,0.545,0.0,-0.318,0.318,0.0318,51.04,0.0,0.0,0,0,0,0,0,0,0,0,False,0
2025-01-06,2025-01-07 09:15:00,SHORT,21764.5,H,90.0,11.5,7.826086956521739,1,-2.892,-1.893,1.409,-0.135,1.119,0.484,0.325,0.551,1.013,0.962,0.321,0.642,0.0642,46.42,0.0,0.983,0,0,0,0,0,0,0,0,False,3
2025-01-06,2025-01-07 09:59:00,LONG,21735.0,H,72.0,34.5,2.0869565217391304,1,-2.559,-1.337,-0.162,-1.248,0.37,-0.554,0.4,-0.733,-1.84,0.0,0.271,-0.271,-0.0271,46.42,0.0,0.5,0,1,0,0,0,0,0,0,False,2
