**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,coef,abs_coef
z_1h_close,-1.2464407017532113,1.2464407017532113
z_15s,0.9414045661577192,0.9414045661577192
band_rank_60,0.9181884534059908,0.9181884534059908
slope_15s_10m,0.8380111774947866,0.8380111774947866
z_1m,-0.7303479936149446,0.7303479936149446
slope_15m_15m,0.5245354821636999,0.5245354821636999
sigma_15m_rank_60,0.3143817845162513,0.3143817845162513
z_15m,0.30086618089454087,0.30086618089454087
slope_15m_decel,-0.27298439932263324,0.27298439932263324
curv_15m,-0.272984399322633,0.272984399322633
z_1h_low,0.248101707047734,0.248101707047734
slope_15m_5m,0.1223748542979513,0.1223748542979513
slope_15s_3m,0.12230727207818427,0.12230727207818427
z_1h_high,0.11245842848651996,0.11245842848651996
slope_1m_10m,-0.03919153178131233,0.03919153178131233
band_width,-0.02387363625373206,0.02387363625373206
