**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

c1,c2,mean_abs_corr,mean_corr,min_corr,max_corr,n_tfs,sign_flip
price_mean_w,vwap_w,0.9996607880344924,0.9996607880344924,0.9987066942373385,0.9999998167738546,8,False
price_velocity_1b,body,0.9531541592661729,0.9531541592661729,0.9098114264135586,0.9972668654232415,8,False
SE_high_w,SE_low_w,0.8979371281263931,0.8979371281263931,0.7091522180077436,0.9673645882071,8,False
price_sigma_w,SE_high_w,0.8625723744439853,0.8625723744439853,0.806556838941756,0.8858487088298344,8,False
vol_mean_w,vol_sigma_w,0.8582355210855196,0.8582355210855196,0.7614255390712141,0.9357686014811624,8,False
price_sigma_w,SE_low_w,0.8403767224000322,0.8403767224000322,0.6326238304894988,0.8930896034109942,8,False
vol_velocity_1b,vol_accel_1b,0.7961172398404881,0.7961172398404881,0.6778055998555155,0.9174438316807711,8,False
z_se_w,z_high_w,0.7837140982778573,0.7837140982778573,0.527525407458792,0.8661435169964364,8,False
z_se_w,z_low_w,0.783094816259339,0.783094816259339,0.46223448557343755,0.8693124431534265,8,False
vol_velocity_1b,vol_accel_w,0.75461609834937,0.75461609834937,0.547584361318027,0.9164904185206499,8,False
price_sigma_w,swing_noise_w,0.7534899071422394,0.7534899071422394,0.566462678208071,0.8390939597927727,8,False
SE_low_w,swing_noise_w,0.7303535774524405,0.7303535774524405,0.516804014850003,0.8101597640306915,8,False
SE_high_w,swing_noise_w,0.72250440084614,0.72250440084614,0.4537418083079284,0.8185529421985399,8,False
price_velocity_1b,price_accel_1b,0.7151517783027195,0.7151517783027195,0.6681043261853198,0.8107261084359166,8,False
z_high_w,z_low_w,0.7128103172221152,0.7128103172221152,0.2782454393435798,0.8593033737783529,8,False
price_accel_1b,body,0.686056470244494,0.686056470244494,0.6271845034696073,0.821878228037122,8,False
price_velocity_1b,price_accel_w,0.6833583000398932,0.6833583000398932,0.6320245927479186,0.7305029688362635,8,False
body,price_accel_w,0.6531921555565258,0.6531921555565258,0.5906262258305324,0.699058193405111,8,False
bar_range,swing_noise_w,0.6190946888491353,0.6190946888491353,0.4975713047655394,0.743160923976919,8,False
bar_range,SE_high_w,0.6157451518562838,0.6157451518562838,0.408415430180043,0.7339997282206092,8,False
bar_range,price_sigma_w,0.6108720086268312,0.6108720086268312,0.4011440357979032,0.737009581469529,8,False
bar_range,SE_low_w,0.5930035391292362,0.5930035391292362,0.40372936140292065,0.7485611781949839,8,False
vol_mean_w,SE_low_w,0.5842055901862573,0.5842055901862573,0.4732688733441906,0.6591843361949928,8,False
vol_accel_1b,vol_accel_w,0.583263058560345,0.583263058560345,0.3181332877087443,0.8484968955308972,8,False
price_sigma_w,vol_mean_w,0.5746936853751856,0.5746936853751856,0.4771969667733637,0.6377019139423572,8,False
vol_mean_w,swing_noise_w,0.5704503945680435,0.5704503945680435,0.45627234612595413,0.699049721113785,8,False
vol_velocity_w,vol_accel_w,0.567332918445126,0.567332918445126,0.2944900174979945,0.8976008776553099,8,False
vol_mean_w,SE_high_w,0.5533171195450464,0.5533171195450464,0.4696558911805511,0.6010616064221469,8,False
bar_range,vol_mean_w,0.5354358559561634,0.5354358559561634,0.3225625365283884,0.6316096342595224,8,False
price_mean_w,swing_noise_w,0.5300426806617251,-0.5300426806617251,-0.8414355539211332,-0.3887925483345289,8,False
vwap_w,swing_noise_w,0.5289642155426567,-0.5289642155426567,-0.837313621268307,-0.38878326110095274,8,False
price_velocity_1b,z_se_w,0.5252525694769274,0.5252525694769274,0.4489192088231344,0.583893123197323,8,False
body,z_se_w,0.5078164300613177,0.5078164300613177,0.44541174320352533,0.5654900497763535,8,False
vol_sigma_w,SE_low_w,0.5043764583202254,0.5043764583202254,0.36526640590730197,0.6572969589810072,8,False
price_sigma_w,vol_sigma_w,0.4840366850975309,0.4840366850975309,0.3495991578736092,0.6257290135624523,8,False
bar_range,vol_sigma_w,0.4782241833505132,0.4782241833505132,0.3366915785522666,0.6026928197103886,8,False
vol_sigma_w,SE_high_w,0.4709885032148259,0.4709885032148259,0.34856275090683586,0.5561193298841298,8,False
price_accel_1b,price_accel_w,0.46844319963768977,0.46844319963768977,0.41990021596333216,0.5071771546744718,8,False
vol_sigma_w,swing_noise_w,0.4435466260221799,0.4435466260221799,0.3139275105744127,0.6280618862491923,8,False
vol_velocity_1b,vol_velocity_w,0.4410471848169559,0.4410471848169559,0.12723363177697106,0.9152862209577716,8,False
price_mean_w,SE_low_w,0.43869098458079137,-0.43869098458079137,-0.6434066680555093,-0.3480182206474011,8,False
vwap_w,SE_low_w,0.43589537319940086,-0.43589537319940086,-0.62976018202939,-0.3481023716773754,8,False
price_mean_w,SE_high_w,0.42951737150675123,-0.42951737150675123,-0.567020766850302,-0.360955728494889,8,False
vwap_w,SE_high_w,0.4244969598400417,-0.4244969598400417,-0.5588176635992094,-0.3599175675759025,8,False
price_mean_w,price_sigma_w,0.4214169952308398,-0.4214169952308398,-0.5674996328063796,-0.34063725361966424,8,False
price_sigma_w,vwap_w,0.41739963185415707,-0.41739963185415707,-0.5513955074816799,-0.34064128769216956,8,False
bar_range,price_mean_w,0.4156016693084533,-0.4156016693084533,-0.5757970968606126,-0.32679137080297477,8,False
bar_range,vwap_w,0.4145959106042061,-0.4145959106042061,-0.5669148167079132,-0.3268620802734289,8,False
price_accel_w,z_se_w,0.36700412460029797,0.36700412460029797,0.3182225131657447,0.45871868108371006,8,False
vol_velocity_w,vol_sigma_w,0.33611885078363213,0.3319845236348614,-0.016537308595082855,0.7814413501156925,8,True
bar_range,vol_velocity_w,0.32604877304792956,0.32604877304792956,0.2149397909905906,0.5073846227251971,8,False
vol_mean_w,vwap_w,0.3098148511814023,-0.3098148511814023,-0.6739567892580243,-0.08469671650666306,8,False
