day,idx5s,ts,price,kind,leg_in_pt,leg_out_pt
2025_10_22,3365,1761112845,25294.0,B,39.0,44.25
2025_10_22,10440,1761150655,24951.75,T,41.75,42.75
2025_10_23,8149,1761224425,25013.5,T,76.5,72.75
2025_10_23,10640,1761236880,25183.75,B,43.0,64.75
2025_10_24,5481,1761298850,25393.5,T,69.5,49.5
2025_10_24,9012,1761317810,25431.5,B,104.5,115.0
2025_10_27,8399,1761571870,25859.5,T,45.5,63.0
2025_10_28,12270,1761680045,26231.5,T,128.75,81.0
2025_10_29,12002,1761761710,26212.75,B,46.75,44.25
2025_10_29,12275,1761763075,26144.5,T,38.5,37.0
2025_10_29,12978,1761766590,26149.75,B,60.75,69.75
2025_10_29,13279,1761768095,26355.0,T,57.25,40.5
2025_10_31,11329,1761931945,25953.0,T,60.25,64.25
2025_11_04,6100,1762246950,25789.5,T,34.5,61.75
2025_11_05,2401,1762312855,25431.5,B,37.5,88.5
2025_11_05,10135,1762353415,25488.0,B,35.25,85.5
2025_11_06,885,1762391725,25695.0,T,42.5,77.75
2025_11_06,11174,1762447805,25226.0,B,35.75,58.75
2025_11_07,7596,1762514880,25100.25,B,58.25,33.0
2025_11_07,8163,1762517735,25195.5,T,37.5,50.0
2025_11_07,10143,1762527670,24958.0,B,76.25,32.5
2025_11_13,12265,1763058200,25128.5,T,34.5,115.75
2025_11_13,12472,1763059235,25012.75,B,115.75,31.75
2025_11_13,12748,1763060615,25022.5,B,59.5,35.5
2025_11_13,13065,1763062200,25127.0,T,109.0,39.0
2025_11_14,4951,1763104870,24932.5,B,49.5,90.25
2025_11_14,7796,1763119460,24851.0,T,33.0,73.0
2025_11_14,10116,1763131070,24760.25,B,37.75,58.5
2025_11_14,11903,1763140005,25261.75,T,40.0,31.25
2025_11_14,14390,1763152440,25163.5,T,41.0,92.25
2025_11_17,1478,1763345235,25247.75,T,50.0,36.75
2025_11_17,4010,1763359860,25238.75,B,47.5,32.5
2025_11_18,1645,1763432565,24941.25,T,32.0,140.75
2025_11_18,11118,1763480845,24470.25,B,32.5,32.25
2025_11_18,11300,1763481755,24416.75,T,33.5,40.5
2025_11_19,9907,1763562890,24611.25,B,43.25,83.75
2025_11_19,10040,1763563555,24765.0,T,41.5,37.0
2025_11_19,12130,1763574005,24507.0,B,142.25,136.0
2025_11_19,14649,1763586600,24749.0,T,73.25,53.5
2025_11_19,14794,1763587325,24904.0,T,39.5,30.5
2025_11_19,15193,1763589320,24946.25,B,30.0,123.5
