day,trades,pnl,wr
2025_01_01,5,0.0,0.0
2025_01_02,26,578.5,26.923076923076923
2025_01_03,22,-49.0,27.27272727272727
2025_01_05,1,9.0,100.0
2025_01_06,9,938.0,66.66666666666666
2025_01_07,12,755.5,50.0
2025_01_08,15,599.0,46.666666666666664
2025_01_09,10,-16.0,10.0
2025_01_10,15,2011.5,60.0
2025_01_12,5,90.5,40.0
2025_01_13,18,86.0,16.666666666666664
2025_01_14,23,1113.5,26.08695652173913
2025_01_15,19,1161.0,42.10526315789473
2025_01_16,15,377.5,33.33333333333333
2025_01_17,18,812.0,38.88888888888889
2025_01_19,2,23.5,50.0
2025_01_20,20,288.5,30.0
2025_01_21,16,647.0,43.75
2025_01_22,13,393.5,38.46153846153847
2025_01_23,16,152.5,31.25
2025_01_24,15,-24.5,13.333333333333334
2025_01_26,5,0.0,0.0
2025_01_27,1,667.0,100.0
2025_01_28,14,300.5,28.57142857142857
2025_01_29,19,61.0,21.052631578947366
2025_01_30,16,202.0,18.75
2025_01_31,10,352.5,60.0
2025_02_02,1,0.0,0.0
2025_02_03,16,660.0,37.5
2025_02_04,14,972.5,35.714285714285715
2025_02_05,9,302.0,33.33333333333333
2025_02_06,12,575.5,58.333333333333336
2025_02_07,13,-121.5,46.15384615384615
2025_02_09,2,1.0,50.0
2025_02_10,11,431.5,45.45454545454545
2025_02_11,16,-78.0,18.75
2025_02_12,17,-11.0,29.411764705882355
2025_02_13,11,719.0,36.36363636363637
2025_02_14,11,350.5,54.54545454545454
2025_02_16,1,-7.5,0.0
2025_02_17,4,-20.0,25.0
2025_02_18,12,187.5,33.33333333333333
2025_02_19,16,73.0,43.75
2025_02_20,15,481.5,33.33333333333333
2025_02_21,11,442.0,36.36363636363637
2025_02_23,2,17.0,50.0
2025_02_24,16,477.0,43.75
2025_02_25,11,682.0,54.54545454545454
2025_02_26,17,313.5,35.294117647058826
2025_02_27,11,1141.5,63.63636363636363
2025_02_28,18,27.0,22.22222222222222
2025_03_02,2,0.0,0.0
2025_03_03,8,564.0,62.5
2025_03_04,26,814.5,26.923076923076923
2025_03_05,18,314.0,44.44444444444444
2025_03_06,15,899.5,33.33333333333333
2025_03_07,15,-478.0,26.666666666666668
2025_03_09,6,0.0,0.0
2025_03_10,12,1369.0,50.0
2025_03_11,19,798.0,26.31578947368421
2025_03_12,14,884.5,50.0
2025_03_13,17,834.5,47.05882352941176
2025_03_14,10,568.0,30.0
2025_03_16,6,-15.5,0.0
2025_03_17,6,-501.5,50.0
2025_03_18,19,396.5,36.84210526315789
2025_03_19,15,175.0,46.666666666666664
2025_03_20,10,1285.0,80.0
2025_03_21,5,229.0,40.0
2025_04_01,16,117.0,31.25
2025_04_02,11,1932.5,54.54545454545454
2025_04_03,10,639.0,40.0
2025_04_04,17,1681.5,58.82352941176471
2025_04_06,7,0.0,0.0
2025_04_07,17,2779.5,35.294117647058826
2025_04_08,18,3068.0,44.44444444444444
2025_04_09,11,1475.5,45.45454545454545
2025_04_10,17,1920.5,58.82352941176471
2025_04_11,23,1660.0,34.78260869565217
2025_04_13,6,19.0,33.33333333333333
2025_04_14,10,30.0,30.0
2025_04_15,15,1284.0,46.666666666666664
2025_04_16,18,1334.0,55.55555555555556
2025_04_17,9,792.5,66.66666666666666
2025_04_20,1,2.0,100.0
2025_04_21,15,1081.5,53.333333333333336
2025_04_22,12,345.5,33.33333333333333
2025_04_23,13,743.5,23.076923076923077
2025_04_24,15,1081.0,26.666666666666668
2025_04_25,23,801.0,26.08695652173913
2025_04_27,5,75.5,40.0
2025_04_28,12,374.5,25.0
2025_04_29,17,635.5,41.17647058823529
2025_04_30,15,1281.5,46.666666666666664
2025_05_01,16,448.0,31.25
2025_05_02,11,565.5,45.45454545454545
2025_05_04,0,0.0,0.0
2025_05_05,13,564.0,53.84615384615385
2025_05_06,17,282.5,23.52941176470588
2025_05_07,17,521.5,29.411764705882355
2025_05_08,17,1122.5,35.294117647058826
2025_05_09,14,357.0,21.428571428571427
2025_05_11,5,-8.5,0.0
2025_05_12,14,543.0,35.714285714285715
2025_05_13,9,946.5,66.66666666666666
2025_05_14,16,300.0,31.25
2025_05_15,10,505.0,30.0
2025_05_16,9,278.5,66.66666666666666
2025_05_18,3,79.0,66.66666666666666
2025_05_19,14,950.0,57.14285714285714
2025_05_20,17,568.0,47.05882352941176
2025_05_21,19,595.5,26.31578947368421
2025_05_22,13,676.5,46.15384615384615
2025_05_23,16,247.5,25.0
2025_05_25,4,35.5,50.0
2025_05_26,8,-136.5,25.0
2025_05_27,16,459.5,18.75
2025_05_28,11,886.0,45.45454545454545
2025_05_29,13,972.5,53.84615384615385
2025_05_30,24,646.0,25.0
2025_06_01,1,9.5,100.0
2025_06_02,14,431.5,28.57142857142857
2025_06_03,14,792.5,42.857142857142854
2025_06_04,16,516.0,50.0
2025_06_05,9,724.0,66.66666666666666
2025_06_06,14,25.5,21.428571428571427
2025_06_08,3,44.5,66.66666666666666
2025_06_09,17,53.5,23.52941176470588
2025_06_10,15,770.5,40.0
2025_06_11,13,685.5,46.15384615384615
2025_06_12,19,395.0,31.57894736842105
2025_06_13,14,509.5,35.714285714285715
2025_06_15,4,153.5,50.0
2025_06_16,11,469.0,45.45454545454545
2025_06_17,17,197.0,29.411764705882355
2025_06_18,14,235.0,42.857142857142854
2025_06_19,9,374.0,44.44444444444444
2025_06_20,2,339.5,50.0
2025_07_01,23,143.0,30.434782608695656
2025_07_02,7,541.0,57.14285714285714
2025_07_03,10,308.5,10.0
2025_07_04,6,230.0,83.33333333333334
2025_07_06,3,-27.0,0.0
2025_07_07,20,74.0,30.0
2025_07_08,17,165.0,41.17647058823529
2025_07_09,9,391.5,44.44444444444444
2025_07_10,12,513.5,58.333333333333336
2025_07_11,24,286.0,25.0
2025_07_13,3,10.5,66.66666666666666
2025_07_14,18,55.0,16.666666666666664
2025_07_15,18,-127.0,27.77777777777778
2025_07_16,10,-157.0,30.0
2025_07_17,17,471.5,23.52941176470588
2025_07_18,9,249.0,55.55555555555556
2025_07_20,6,69.5,33.33333333333333
2025_07_21,12,-161.0,8.333333333333332
2025_07_22,16,626.0,50.0
2025_07_23,15,527.0,40.0
2025_07_24,9,69.0,33.33333333333333
2025_07_25,12,401.0,66.66666666666666
2025_07_27,2,-7.0,0.0
2025_07_28,9,231.5,66.66666666666666
2025_07_29,10,106.0,20.0
2025_07_30,13,505.0,30.76923076923077
2025_07_31,10,541.0,60.0
2025_08_01,10,585.0,40.0
2025_08_03,4,78.0,75.0
2025_08_04,10,658.0,40.0
2025_08_05,14,478.5,50.0
2025_08_06,8,495.0,50.0
2025_08_07,15,831.0,46.666666666666664
2025_08_08,11,243.5,18.181818181818183
2025_08_10,3,-4.0,0.0
2025_08_11,10,129.5,40.0
2025_08_12,12,685.0,50.0
2025_08_13,16,-1.5,25.0
2025_08_14,17,715.0,47.05882352941176
2025_08_15,10,239.5,20.0
2025_08_17,4,3.5,50.0
2025_08_18,15,90.0,13.333333333333334
2025_08_19,10,577.5,60.0
2025_08_20,27,767.5,14.814814814814813
2025_08_21,11,510.5,45.45454545454545
2025_08_22,9,732.0,33.33333333333333
2025_08_24,4,62.0,75.0
2025_08_25,13,162.0,53.84615384615385
2025_08_26,17,42.5,11.76470588235294
2025_08_27,16,-61.5,12.5
2025_08_28,9,370.5,44.44444444444444
2025_08_29,1,591.5,100.0
2025_08_31,2,82.5,50.0
2025_09_01,9,229.0,44.44444444444444
2025_09_02,12,1061.0,50.0
2025_09_03,7,223.0,14.285714285714285
2025_09_04,19,418.0,31.57894736842105
2025_09_05,12,422.0,41.66666666666667
2025_09_07,5,143.5,60.0
2025_09_08,12,374.0,41.66666666666667
2025_09_09,11,253.5,27.27272727272727
2025_09_10,11,172.5,27.27272727272727
2025_09_11,19,164.5,31.57894736842105
2025_09_12,14,123.0,28.57142857142857
2025_09_14,3,8.0,66.66666666666666
2025_09_15,17,394.5,29.411764705882355
2025_09_16,10,245.5,40.0
2025_09_17,13,90.0,30.76923076923077
2025_09_18,13,376.0,38.46153846153847
2025_09_19,1,201.5,100.0
2025_10_01,9,113.0,33.33333333333333
2025_10_02,9,15.5,33.33333333333333
2025_10_03,5,391.0,60.0
2025_10_05,4,2.0,50.0
2025_10_06,13,402.0,38.46153846153847
2025_10_07,22,210.5,27.27272727272727
2025_10_08,11,364.0,36.36363636363637
2025_10_09,9,464.5,33.33333333333333
2025_10_10,7,763.0,28.57142857142857
2025_10_12,3,42.0,33.33333333333333
2025_10_13,16,248.0,31.25
2025_10_14,19,1134.5,47.368421052631575
2025_10_15,7,190.0,42.857142857142854
2025_10_16,23,871.5,34.78260869565217
2025_10_17,13,1355.5,38.46153846153847
2025_10_19,4,74.5,100.0
2025_10_20,16,710.0,37.5
2025_10_21,12,173.5,33.33333333333333
2025_10_22,14,834.0,57.14285714285714
2025_10_23,12,950.0,41.66666666666667
2025_10_24,13,556.0,46.15384615384615
2025_10_26,9,-3.5,0.0
2025_10_27,18,441.0,27.77777777777778
2025_10_28,14,200.0,28.57142857142857
2025_10_29,13,751.0,46.15384615384615
2025_10_30,25,301.5,24.0
2025_10_31,17,485.0,23.52941176470588
2025_11_02,1,42.5,100.0
2025_11_03,12,1041.5,58.333333333333336
2025_11_04,13,1061.0,53.84615384615385
2025_11_05,14,542.5,28.57142857142857
2025_11_06,11,148.0,36.36363636363637
2025_11_07,9,1691.0,55.55555555555556
2025_11_09,3,-6.0,33.33333333333333
2025_11_10,10,783.0,50.0
2025_11_11,16,-542.5,6.25
2025_11_12,14,251.0,28.57142857142857
2025_11_13,16,1208.0,37.5
2025_11_14,12,958.0,33.33333333333333
2025_11_16,2,174.5,100.0
2025_11_17,14,1498.5,71.42857142857143
2025_11_18,17,1466.0,41.17647058823529
2025_11_19,14,62.0,42.857142857142854
2025_11_20,13,886.5,53.84615384615385
2025_11_21,12,1996.5,58.333333333333336
2025_11_23,1,-19.5,0.0
2025_11_24,17,811.5,17.647058823529413
2025_11_25,14,927.0,28.57142857142857
2025_11_26,16,293.0,18.75
2025_11_27,9,-25.5,33.33333333333333
2025_11_28,5,265.5,40.0
2025_11_30,2,78.5,50.0
2025_12_01,16,1259.5,62.5
2025_12_02,17,65.0,17.647058823529413
2025_12_03,18,-99.0,27.77777777777778
2025_12_04,15,415.5,33.33333333333333
2025_12_05,13,336.5,23.076923076923077
2025_12_07,1,3.5,100.0
2025_12_08,18,538.5,38.88888888888889
2025_12_09,8,259.5,37.5
2025_12_10,17,217.5,35.294117647058826
2025_12_11,20,437.0,25.0
2025_12_12,11,637.5,54.54545454545454
2025_12_14,1,10.0,100.0
2025_12_15,24,721.5,29.166666666666668
2025_12_16,14,398.0,42.857142857142854
2025_12_17,7,1054.5,57.14285714285714
