side,anchor,axis,bin,IS,OOS,sign_match
above,high,curvature,0,0.0303,,-1
above,high,curvature,1,0.0071,0.0606,1
above,high,curvature,2,0.0081,0.0133,1
above,low,curvature,0,0.0946,0.0952,1
above,low,curvature,1,0.0941,0.1214,1
above,low,curvature,2,0.0891,0.0841,1
below,high,curvature,0,0.0678,0.1014,1
below,high,curvature,1,0.1137,0.1455,1
below,high,curvature,2,0.0978,0.1209,1
below,low,curvature,0,0.003,0.0133,1
below,low,curvature,1,0.011,0.0345,1
below,low,curvature,2,0.0571,,-1
