side,anchor,axis,bin,IS,OOS,sign_match
above,high,slope,1,0.0588,,-1
above,high,slope,2,0.0152,0.0769,1
above,high,slope,3,0.0061,0.0606,1
above,high,slope,4,0.0089,0.0135,1
above,low,slope,0,0.2143,,-1
above,low,slope,1,0.1421,0.1395,1
above,low,slope,2,0.1275,0.1132,1
above,low,slope,3,0.091,0.104,1
above,low,slope,4,0.0764,0.0896,1
below,high,slope,0,0.0645,0.1022,1
below,high,slope,1,0.0935,0.2202,1
below,high,slope,2,0.1472,0.1284,1
below,high,slope,3,0.1328,0.1111,1
below,high,slope,4,0.2326,,-1
below,low,slope,0,0.0041,0.0143,1
below,low,slope,1,0.0132,0.0714,1
below,low,slope,2,0.0161,0.0833,1
below,low,slope,3,0.0476,,-1
