split,side,anchor,axis,bin,n,P_continue_30m_mean,P_continue_30m_cilo,P_continue_30m_cihi,P_continue_60m_mean,P_continue_60m_cilo,P_continue_60m_cihi,fwd_ret_h60m_mean,fwd_mfe_h60m_mean,fwd_mae_h60m_mean,duration_min_mean,max_abs_z_mean
IS,above,high,r2adj_5m,0,72,0.0811,0.0308,0.1526,0.027,0.0033,0.074,23.781,58.219,-30.542,7.896,3.069
IS,above,high,r2adj_5m,1,86,0.1023,0.0484,0.1732,0.0114,0.0003,0.0415,16.574,57.932,-43.791,10.073,3.114
IS,above,high,r2adj_5m,2,89,0.0659,0.0249,0.1249,0.011,0.0003,0.0402,4.199,57.028,-49.239,8.541,3.081
IS,above,high,r2adj_5m,3,101,0.0777,0.0345,0.1363,0.0097,0.0002,0.0355,9.407,50.763,-40.942,10.002,3.045
IS,above,high,r2adj_5m,4,127,0.0775,0.0381,0.1293,0.0078,0.0002,0.0284,-4.899,39.643,-43.804,8.253,3.087
IS,above,low,r2adj_5m,0,453,0.1736,0.1403,0.2097,0.1055,0.079,0.1353,4.842,45.257,-38.511,18.579,3.089
IS,above,low,r2adj_5m,1,428,0.2233,0.1852,0.2638,0.1349,0.1043,0.1687,9.319,38.8,-27.779,23.735,3.083
IS,above,low,r2adj_5m,2,437,0.164,0.1309,0.2,0.0843,0.0602,0.112,3.715,38.032,-32.747,17.727,3.061
IS,above,low,r2adj_5m,3,405,0.1892,0.1527,0.2286,0.1081,0.0799,0.14,7.693,45.008,-36.401,18.447,3.309
IS,above,low,r2adj_5m,4,366,0.1603,0.1247,0.1995,0.0734,0.049,0.1021,1.664,40.195,-35.638,15.864,3.35
IS,below,high,r2adj_5m,0,471,0.1628,0.1309,0.1973,0.1078,0.0815,0.1373,-4.072,37.729,-54.79,18.335,4.955
IS,below,high,r2adj_5m,1,473,0.1832,0.1497,0.2191,0.1032,0.0775,0.132,-7.79,31.381,-49.054,18.191,5.606
IS,below,high,r2adj_5m,2,441,0.1806,0.1462,0.2177,0.1038,0.0772,0.1339,-3.83,38.573,-54.11,17.455,4.951
IS,below,high,r2adj_5m,3,450,0.177,0.1432,0.2135,0.1084,0.0815,0.1386,-11.45,34.206,-56.676,20.755,4.681
IS,below,high,r2adj_5m,4,464,0.1609,0.129,0.1956,0.0923,0.0677,0.1201,-9.214,37.054,-53.774,17.73,4.966
IS,below,low,r2adj_5m,0,78,0.0875,0.0364,0.158,0.025,0.0031,0.0685,15.734,56.99,-60.913,8.941,4.414
IS,below,low,r2adj_5m,1,74,0.0395,0.0083,0.093,0.0132,0.0003,0.048,-22.973,46.51,-78.47,8.194,4.557
IS,below,low,r2adj_5m,2,102,0.0577,0.0217,0.1097,0.0096,0.0002,0.0352,-7.838,50.946,-75.841,9.656,4.689
IS,below,low,r2adj_5m,3,100,0.0882,0.0416,0.1501,0.0098,0.0003,0.0359,-18.642,45.415,-75.915,8.641,4.742
IS,below,low,r2adj_5m,4,123,0.088,0.0451,0.1433,0.008,0.0002,0.0293,-11.953,51.439,-80.539,9.28,4.991
OOS,above,high,r2adj_5m,0,23,0.04,0.0011,0.1425,0.04,0.0011,0.1425,6.989,32.707,-32.609,4.593,3.034
OOS,above,high,r2adj_5m,1,15,0.0588,0.0016,0.2059,0.0588,0.0016,0.2059,12.7,44.683,-26.383,4.628,3.066
OOS,above,high,r2adj_5m,2,19,0.0952,0.0123,0.2487,0.0476,0.0013,0.1684,15.395,55.132,-39.816,6.728,3.063
OOS,above,high,r2adj_5m,3,28,0.1,0.0219,0.2277,0.0667,0.0085,0.1776,13.348,45.009,-38.964,8.689,3.028
OOS,above,high,r2adj_5m,4,31,0.0909,0.0198,0.2081,0.0303,0.0008,0.1089,16.927,55.145,-40.306,10.465,3.041
OOS,above,low,r2adj_5m,0,94,0.1771,0.1078,0.259,0.0521,0.0173,0.1043,9.109,38.088,-28.769,16.318,3.052
OOS,above,low,r2adj_5m,1,106,0.2037,0.1336,0.2842,0.1296,0.0734,0.1988,11.465,41.958,-30.337,18.295,3.037
OOS,above,low,r2adj_5m,2,97,0.1616,0.0963,0.2399,0.1111,0.0574,0.1797,15.513,49.57,-29.351,15.002,3.185
OOS,above,low,r2adj_5m,3,106,0.2222,0.1493,0.3049,0.1204,0.0663,0.1877,2.229,45.837,-42.66,20.002,3.035
OOS,above,low,r2adj_5m,4,81,0.1928,0.1158,0.2837,0.1084,0.0514,0.1832,3.438,40.957,-33.04,20.358,3.316
OOS,below,high,r2adj_5m,0,85,0.2184,0.1386,0.3105,0.1609,0.092,0.2446,-6.783,42.373,-60.352,24.869,7.862
OOS,below,high,r2adj_5m,1,95,0.2371,0.1583,0.3261,0.134,0.0741,0.2082,-13.571,35.466,-60.666,24.101,4.915
OOS,below,high,r2adj_5m,2,100,0.2157,0.1418,0.3001,0.1569,0.0933,0.2331,-8.543,46.043,-69.593,23.298,5.977
OOS,below,high,r2adj_5m,3,82,0.131,0.0681,0.2104,0.1071,0.0508,0.1811,6.546,47.698,-53.646,14.25,4.669
OOS,below,high,r2adj_5m,4,83,0.1765,0.1035,0.2638,0.1294,0.0672,0.2081,-24.354,41.149,-71.544,20.757,4.238
OOS,below,low,r2adj_5m,0,23,0.16,0.0474,0.3236,0.04,0.0011,0.1425,-41.489,49.359,-135.511,10.27,4.085
OOS,below,low,r2adj_5m,1,22,0.0417,0.0011,0.1482,0.0417,0.0011,0.1482,-37.31,53.512,-106.893,5.805,3.816
OOS,below,low,r2adj_5m,2,14,0.125,0.0166,0.3195,0.0625,0.0017,0.218,27.107,68.286,-44.179,7.893,4.054
OOS,below,low,r2adj_5m,3,27,0.0345,0.0009,0.1234,0.0345,0.0009,0.1234,-9.741,58.935,-78.796,6.775,4.199
OOS,below,low,r2adj_5m,4,24,0.1538,0.0454,0.3122,0.0769,0.0098,0.2035,-43.365,44.396,-109.271,12.322,4.579
