split,side,anchor,n,P_continue_60m_mean,cilo,cihi,fwd_ret_60m_mean,duration_min_mean,max_abs_z_mean,slope_q,z_close_q,sigma_rank_q
IS,above,high,15,0.0588,0.0016,0.2059,11.433,10.37,3.09,2,4,2
IS,above,high,21,0.0435,0.0012,0.1544,1.536,7.04,3.08,2,4,3
IS,above,high,13,0.0667,0.0018,0.2316,19.173,10.22,3.25,2,4,4
IS,above,high,18,0.05,0.0013,0.1765,3.417,11.12,3.08,3,4,1
IS,above,high,23,0.04,0.0011,0.1425,-18.674,12.08,3.1,3,4,2
IS,above,high,43,0.0222,0.0006,0.0804,-3.512,5.73,3.06,3,4,3
IS,above,high,49,0.0196,0.0005,0.0711,-8.107,9.92,3.05,3,4,4
IS,above,high,14,0.0625,0.0017,0.218,-41.107,6.46,3.05,4,3,3
IS,above,high,19,0.0476,0.0013,0.1684,64.421,6.02,3.04,4,3,4
IS,above,high,13,0.0667,0.0018,0.2316,51.173,9.67,3.18,4,4,0
IS,above,high,19,0.0476,0.0013,0.1684,16.263,10.13,3.05,4,4,1
IS,above,high,21,0.087,0.0112,0.2284,35.464,8.86,3.04,4,4,2
IS,above,high,64,0.0152,0.0004,0.0552,8.754,9.84,3.04,4,4,3
IS,above,high,61,0.0159,0.0004,0.0578,19.403,10.68,3.03,4,4,4
IS,above,low,26,0.25,0.1111,0.4226,9.856,30.81,3.37,1,2,0
IS,above,low,29,0.0645,0.0082,0.1722,-45.164,11.63,3.08,1,2,2
IS,above,low,19,0.1429,0.0321,0.317,-5.513,14.73,3.09,1,3,0
IS,above,low,16,0.0556,0.0015,0.1951,-12.45,15.57,3.04,1,3,1
IS,above,low,12,0.0714,0.0019,0.2471,-3.636,13.13,3.03,1,4,0
IS,above,low,12,0.1429,0.0192,0.3603,14.955,27.12,3.03,1,4,1
IS,above,low,12,0.2143,0.0504,0.4545,10.562,25.38,3.02,1,4,2
IS,above,low,13,0.3333,0.1276,0.581,-62.904,36.25,3.02,1,4,3
IS,above,low,47,0.0612,0.0131,0.1425,-6.473,12.87,3.09,2,2,0
IS,above,low,33,0.0571,0.0072,0.1533,1.636,11.49,3.13,2,2,1
IS,above,low,21,0.1304,0.0291,0.2916,6.643,20.88,3.05,2,2,2
IS,above,low,12,0.0714,0.0019,0.2471,-21.25,7.13,3.13,2,2,4
IS,above,low,22,0.0833,0.0107,0.2195,1.716,13.55,3.04,2,3,0
IS,above,low,39,0.1707,0.0734,0.2984,8.974,17.96,3.21,2,3,1
IS,above,low,30,0.2812,0.1422,0.4461,11.208,34.86,3.33,2,3,2
IS,above,low,28,0.1667,0.0585,0.3166,12.482,23.32,3.03,2,3,3
IS,above,low,27,0.1379,0.0403,0.2823,-6.333,28.97,3.12,2,3,4
IS,above,low,10,0.0833,0.0023,0.2849,19.075,13.72,3.06,2,4,0
IS,above,low,25,0.1481,0.0436,0.3015,6.239,19.93,3.05,2,4,1
IS,above,low,31,0.2727,0.1375,0.434,12.258,34.95,3.06,2,4,2
IS,above,low,43,0.1333,0.0517,0.2456,7.017,20.75,3.03,2,4,3
IS,above,low,43,0.2222,0.1147,0.353,2.024,32.28,4.69,2,4,4
IS,above,low,46,0.0625,0.0134,0.1454,11.576,14.39,3.03,3,2,0
IS,above,low,29,0.0968,0.0211,0.2207,2.328,12.16,3.04,3,2,1
IS,above,low,27,0.069,0.0088,0.1835,11.815,13.19,3.06,3,2,2
IS,above,low,37,0.1538,0.0602,0.2809,-1.993,20.36,3.07,3,3,0
IS,above,low,45,0.1489,0.0634,0.2626,12.183,28.34,3.06,3,3,1
IS,above,low,60,0.1452,0.0698,0.2422,-12.221,19.25,3.04,3,3,2
IS,above,low,61,0.0794,0.0267,0.157,7.357,12.5,3.03,3,3,3
