axis,side,anchor,bin,IS_p,OOS_p,IS_n,OOS_n,IS_ret,OOS_ret,sign_match,IS_edge
curvature_q,below,low,1,0.3736,0.4828,89,27,-19.22,-28.28,1,0.1264
curvature_q,above,high,1,0.6214,0.6364,138,31,17.08,30.35,1,0.12139999999999995
r2adj_5m_q,above,low,1,0.6177,0.6667,427,106,9.32,11.46,1,0.11770000000000003
slope_q,above,high,4,0.6136,0.5676,218,72,21.59,20.67,1,0.11360000000000003
sigma_rank_q,above,low,1,0.6082,0.6095,437,103,11.22,11.14,1,0.10819999999999996
z_close_q,above,low,1,0.6038,0.9167,51,10,7.14,23.68,1,0.1038
curvature_q,above,low,2,0.599,0.6372,801,224,6.38,11.72,1,0.09899999999999998
slope_q,above,low,2,0.5724,0.5472,440,104,3.9,2.13,1,0.07240000000000002
z_close_q,above,low,2,0.5714,0.5825,474,101,3.49,8.76,1,0.07140000000000002
r2adj_5m_q,above,low,2,0.5711,0.6667,434,97,3.72,15.51,1,0.07110000000000005
sigma_rank_q,above,low,2,0.5683,0.6122,415,96,2.0,5.69,1,0.06830000000000003
z_close_q,below,high,0,0.4322,0.4631,625,147,-13.8,-15.5,1,0.06780000000000003
slope_q,above,low,3,0.5635,0.592,667,123,0.31,2.36,1,0.0635
slope_q,above,low,4,0.5632,0.6604,726,210,14.76,20.34,1,0.06320000000000003
slope_q,below,high,0,0.4374,0.486,741,177,-13.78,-3.8,1,0.06259999999999999
z_close_q,above,low,3,0.562,0.5708,909,224,5.55,2.08,1,0.062000000000000055
r2adj_5m_q,below,low,3,0.4412,0.4828,100,27,-18.64,-9.74,1,0.05880000000000002
curvature_q,above,low,1,0.5587,0.6214,705,138,1.9,12.98,1,0.058699999999999974
z_close_q,above,high,3,0.5507,0.625,67,22,18.88,9.59,1,0.05069999999999997
