axis,side,anchor,bin,IS_p,OOS_p,IS_n,OOS_n,IS_ret,OOS_ret,sign_match
slope_q,above,high,2,0.5,0.6923,64,11,3.96,0.91,0
slope_q,above,high,3,0.4451,0.5758,162,31,-7.0,3.17,0
slope_q,above,high,4,0.6136,0.5676,218,72,21.59,20.67,1
slope_q,above,low,1,0.4794,0.6512,192,41,-10.85,-8.78,0
slope_q,above,low,2,0.5724,0.5472,440,104,3.9,2.13,1
slope_q,above,low,3,0.5635,0.592,667,123,0.31,2.36,1
slope_q,above,low,4,0.5632,0.6604,726,210,14.76,20.34,1
slope_q,below,high,0,0.4374,0.486,741,177,-13.78,-3.8,1
slope_q,below,high,1,0.4926,0.4404,739,107,-3.07,-26.58,1
slope_q,below,high,2,0.4877,0.5413,484,107,-4.48,-10.2,0
slope_q,below,high,3,0.5208,0.3556,238,43,-5.55,8.17,0
slope_q,below,low,0,0.5103,0.4203,241,67,0.0,-23.53,0
slope_q,below,low,1,0.4539,0.3929,150,26,-14.9,-43.87,1
slope_q,below,low,2,0.5484,0.25,60,10,3.9,-88.45,0
curvature_q,above,high,1,0.6214,0.6364,138,31,17.08,30.35,1
curvature_q,above,high,2,0.5347,0.6267,243,73,3.16,11.87,1
curvature_q,above,low,0,0.5129,0.5079,308,61,14.09,-11.23,1
curvature_q,above,low,1,0.5587,0.6214,705,138,1.9,12.98,1
curvature_q,above,low,2,0.599,0.6372,801,224,6.38,11.72,1
curvature_q,below,high,0,0.4783,0.46,895,198,-8.49,-11.12,1
curvature_q,below,high,1,0.4485,0.5091,678,108,-6.71,-14.59,0
curvature_q,below,high,2,0.4781,0.4945,454,89,-9.92,1.52,1
curvature_q,below,low,0,0.5104,0.3919,333,72,-7.61,-32.73,0
curvature_q,below,low,1,0.3736,0.4828,89,27,-19.22,-28.28,1
z_close_q,above,high,3,0.5507,0.625,67,22,18.88,9.59,1
z_close_q,above,high,4,0.5383,0.5625,403,94,6.3,14.16,1
z_close_q,above,low,1,0.6038,0.9167,51,10,7.14,23.68,1
z_close_q,above,low,2,0.5714,0.5825,474,101,3.49,8.76,1
z_close_q,above,low,3,0.562,0.5708,909,224,5.55,2.08,1
z_close_q,above,low,4,0.5449,0.6689,633,149,6.87,16.81,1
z_close_q,below,high,0,0.4322,0.4631,625,147,-13.8,-15.5,1
z_close_q,below,high,1,0.4905,0.4737,946,188,-2.96,-3.9,1
z_close_q,below,high,2,0.5,0.4902,618,100,-8.23,-11.08,0
z_close_q,below,low,0,0.4732,0.4259,408,106,-13.33,-25.29,1
sigma_rank_q,above,high,2,0.5443,0.5882,77,15,13.02,29.85,1
sigma_rank_q,above,high,3,0.529,0.6042,153,46,-0.9,8.1,1
sigma_rank_q,above,high,4,0.5449,0.5435,154,44,13.97,14.16,1
sigma_rank_q,above,low,0,0.6,0.4796,478,96,5.37,-2.33,0
sigma_rank_q,above,low,1,0.6082,0.6095,437,103,11.22,11.14,1
sigma_rank_q,above,low,2,0.5683,0.6122,415,96,2.0,5.69,1
sigma_rank_q,above,low,3,0.5242,0.6889,349,88,0.21,14.04,1
sigma_rank_q,above,low,4,0.4809,0.6699,391,101,7.79,13.72,0
sigma_rank_q,below,high,0,0.4675,0.4314,552,100,-5.87,-1.93,1
sigma_rank_q,below,high,1,0.4607,0.4762,545,82,-14.66,-9.34,1
sigma_rank_q,below,high,2,0.4511,0.514,479,105,-10.56,-4.12,0
sigma_rank_q,below,high,3,0.4919,0.4933,368,73,-3.33,-12.72,1
sigma_rank_q,below,high,4,0.5361,0.4625,317,78,3.44,-22.63,0
sigma_rank_q,below,low,2,0.4535,0.6154,84,11,-9.6,3.98,0
sigma_rank_q,below,low,3,0.4826,0.32,170,48,-5.93,-39.53,1
sigma_rank_q,below,low,4,0.503,0.4348,165,44,-13.64,-29.77,0
r2adj_5m_q,above,high,0,0.6351,0.48,72,23,23.78,6.99,0
r2adj_5m_q,above,high,1,0.5632,0.4706,85,15,16.57,12.7,0
r2adj_5m_q,above,high,2,0.4889,0.5714,88,19,4.2,15.39,0
r2adj_5m_q,above,high,3,0.5446,0.5667,99,28,9.41,13.35,1
r2adj_5m_q,above,high,4,0.5,0.697,126,31,-4.9,16.93,0
r2adj_5m_q,above,low,0,0.5402,0.6042,446,94,4.84,9.11,1
r2adj_5m_q,above,low,1,0.6177,0.6667,427,106,9.32,11.46,1
r2adj_5m_q,above,low,2,0.5711,0.6667,434,97,3.72,15.51,1
r2adj_5m_q,above,low,3,0.545,0.5648,398,106,7.69,2.23,1
r2adj_5m_q,above,low,4,0.5204,0.5422,365,81,1.66,3.44,1
r2adj_5m_q,below,high,0,0.4893,0.5294,466,83,-4.07,-6.78,0
r2adj_5m_q,below,high,1,0.4668,0.4845,465,95,-7.79,-13.57,1
r2adj_5m_q,below,high,2,0.4635,0.4851,436,99,-3.83,-8.54,1
r2adj_5m_q,below,high,3,0.4843,0.4881,444,82,-11.45,6.55,1
r2adj_5m_q,below,high,4,0.4757,0.3827,450,79,-9.21,-24.35,1
r2adj_5m_q,below,low,0,0.6125,0.4,78,23,15.73,-41.49,0
r2adj_5m_q,below,low,1,0.5,0.4348,74,21,-22.97,-37.31,0
r2adj_5m_q,below,low,2,0.4519,0.5625,102,14,-7.84,27.11,0
r2adj_5m_q,below,low,3,0.4412,0.4828,100,27,-18.64,-9.74,1
r2adj_5m_q,below,low,4,0.456,0.3077,123,24,-11.95,-43.36,1
