split,side,anchor,axis,bin,n,excess_q50,excess_q75,excess_q90,excess_q95,P_excess_ge_1,P_excess_ge_2,mean_max_z,stop_z,target_z_median
IS,above,high,slope_q,1,15,0.04,0.21,0.32,0.42,0.0,0.0,3.13,3.32,3.04
IS,above,high,slope_q,2,64,0.05,0.1,0.28,0.51,0.016,0.016,3.13,3.28,3.05
IS,above,high,slope_q,3,162,0.04,0.08,0.18,0.25,0.006,0.006,3.09,3.18,3.04
IS,above,high,slope_q,4,222,0.02,0.04,0.08,0.15,0.005,0.0,3.05,3.08,3.02
IS,above,low,slope_q,0,26,0.02,0.05,0.09,0.54,0.038,0.0,3.11,3.09,3.02
IS,above,low,slope_q,1,195,0.03,0.08,0.17,0.25,0.01,0.005,3.1,3.17,3.03
IS,above,low,slope_q,2,445,0.03,0.07,0.16,0.32,0.02,0.013,3.27,3.16,3.03
IS,above,low,slope_q,3,668,0.02,0.04,0.09,0.14,0.013,0.009,3.13,3.09,3.02
IS,above,low,slope_q,4,731,0.01,0.03,0.06,0.08,0.007,0.007,3.17,3.06,3.01
IS,below,high,slope_q,0,758,0.45,0.95,2.01,3.4,0.231,0.103,3.91,5.01,3.45
IS,below,high,slope_q,1,747,0.61,1.54,3.15,5.31,0.337,0.197,4.72,6.15,3.61
IS,below,high,slope_q,2,494,0.97,2.34,6.07,10.06,0.492,0.285,6.17,9.07,3.97
IS,below,high,slope_q,3,239,1.06,2.46,6.07,9.76,0.519,0.31,5.57,9.07,4.06
IS,below,high,slope_q,4,41,1.22,3.82,9.28,12.14,0.561,0.415,6.09,12.28,4.22
IS,below,low,slope_q,0,241,0.54,0.96,1.93,2.93,0.237,0.095,3.93,4.93,3.54
IS,below,low,slope_q,1,150,0.96,2.42,4.33,6.59,0.473,0.32,5.07,7.33,3.96
IS,below,low,slope_q,2,60,1.61,3.83,6.93,8.18,0.75,0.4,5.84,9.93,4.61
IS,below,low,slope_q,3,19,2.41,4.47,9.17,9.68,0.895,0.684,6.85,12.17,5.41
OOS,above,high,slope_q,3,31,0.04,0.09,0.15,0.2,0.0,0.0,3.07,3.15,3.04
OOS,above,high,slope_q,4,72,0.02,0.03,0.07,0.1,0.0,0.0,3.03,3.07,3.02
