split,side,anchor,axis,bin,n,ride_mean_5m,ride_p_pos_5m,ride_mean_15m,ride_p_pos_15m,ride_mean_30m,ride_p_pos_30m,ride_mean_60m,ride_p_pos_60m,peak_horizon_min,peak_ride_pnl,decay_to_60m,excess_q90,stop_z
IS,above,high,z_close_q,4,408,8.0,0.611,10.25,0.564,7.84,0.536,6.3,0.538,15,10.25,-3.95,0.15,3.15
IS,below,high,curvature_q,2,458,7.43,0.576,8.03,0.547,7.47,0.526,9.92,0.522,60,9.92,0.0,3.21,6.21
IS,above,low,sigma_rank_q,4,396,5.36,0.629,9.59,0.568,9.69,0.551,7.79,0.481,30,9.69,-1.9,0.13,3.13
IS,above,high,sigma_rank_q,3,155,9.63,0.61,4.71,0.487,-1.78,0.49,-0.9,0.529,5,9.63,-10.53,0.1,3.1
IS,below,high,curvature_q,0,913,7.5,0.641,7.6,0.567,9.36,0.575,8.49,0.521,30,9.36,-0.87,2.53,5.53
IS,above,low,r2adj_5m_q,1,428,5.97,0.661,7.56,0.612,8.0,0.575,9.32,0.618,60,9.32,0.0,0.11,3.11
IS,below,high,r2adj_5m_q,4,464,5.27,0.619,7.64,0.562,5.05,0.523,9.21,0.52,60,9.21,0.0,3.48,6.48
IS,above,high,curvature_q,2,245,6.84,0.633,9.17,0.563,5.79,0.557,3.16,0.535,15,9.17,-6.01,0.1,3.1
IS,below,low,z_close_q,1,69,8.49,0.667,8.84,0.594,4.17,0.565,-12.05,0.449,15,8.84,-20.89,2.72,5.72
IS,above,low,sigma_rank_q,2,418,5.64,0.687,8.68,0.603,3.68,0.516,2.0,0.569,15,8.68,-6.67,0.11,3.11
IS,below,high,sigma_rank_q,3,370,8.67,0.676,7.33,0.586,5.24,0.559,3.33,0.508,5,8.67,-5.34,2.57,5.57
IS,below,high,z_close_q,2,619,5.74,0.607,5.9,0.535,6.16,0.496,8.23,0.497,60,8.23,0.0,3.79,6.79
IS,below,high,r2adj_5m_q,0,471,7.91,0.614,8.01,0.548,8.09,0.541,4.07,0.506,30,8.09,-4.02,4.27,7.27
IS,below,high,r2adj_5m_q,1,473,6.53,0.639,6.42,0.574,7.29,0.562,7.79,0.529,60,7.79,0.0,3.91,6.91
IS,below,low,r2adj_5m_q,0,78,7.72,0.615,5.04,0.603,1.4,0.538,-15.73,0.372,5,7.72,-23.46,2.83,5.83
