**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

split,side,anchor,axis,bin,n,ride_mean_5m,ride_p_pos_5m,ride_mean_15m,ride_p_pos_15m,ride_mean_30m,ride_p_pos_30m,ride_mean_60m,ride_p_pos_60m,peak_horizon_min,peak_ride_pnl,decay_to_60m,p_continue,med_duration,excess_q50,excess_q90,stop_z
IS,below,low,slope_q,3,19,41.05,0.737,47.89,0.737,86.07,0.789,123.47,0.737,60,123.47,0.0,0.381,3.1,2.41,9.17,12.17
IS,above,high,curvature_q,0,31,36.56,0.71,31.36,0.645,15.73,0.613,22.23,0.452,5,36.56,-14.32,0.4545,5.2,0.02,0.1,3.1
IS,below,low,sigma_rank_q,0,18,8.72,0.611,11.96,0.778,32.72,0.778,30.14,0.722,30,32.72,-2.58,0.35,4.0,1.07,3.88,6.88
IS,below,low,curvature_q,1,89,13.28,0.674,19.08,0.663,27.5,0.652,19.22,0.607,30,27.5,-8.28,0.3187,4.2,1.4,6.38,9.38
IS,above,high,slope_q,1,15,16.12,0.933,17.78,0.733,23.8,0.733,-5.53,0.533,30,23.8,-29.33,0.3529,5.6,0.04,0.32,3.32
IS,below,low,r2adj_5m_q,1,74,16.43,0.608,12.33,0.595,13.74,0.554,22.97,0.486,60,22.97,0.0,0.3158,3.8,0.66,4.06,7.06
IS,below,low,r2adj_5m_q,2,102,13.79,0.755,20.73,0.637,21.31,0.569,7.84,0.549,30,21.31,-13.47,0.3173,5.0,0.82,4.55,7.55
IS,below,low,sigma_rank_q,4,165,13.47,0.661,20.21,0.642,15.9,0.558,13.64,0.491,15,20.21,-6.57,0.3713,4.8,0.81,4.27,7.27
IS,above,high,r2adj_5m_q,1,86,6.05,0.659,9.44,0.576,10.99,0.518,16.57,0.565,60,16.57,0.0,0.3068,3.8,0.03,0.34,3.34
IS,below,low,slope_q,1,150,11.23,0.7,12.91,0.68,16.48,0.62,14.9,0.533,30,16.48,-1.57,0.3158,3.5,0.96,4.33,7.33
IS,below,low,z_close_q,0,408,12.96,0.662,13.95,0.623,15.35,0.569,13.33,0.517,30,15.35,-2.02,0.3049,4.0,0.86,4.4,7.4
IS,below,high,slope_q,4,41,7.33,0.525,15.03,0.615,11.92,0.462,5.83,0.462,15,15.03,-9.19,0.3953,4.4,1.22,9.28,12.28
IS,above,low,curvature_q,0,315,7.65,0.651,12.74,0.559,13.93,0.548,14.09,0.513,60,14.09,0.0,0.306,4.2,0.02,0.07,3.07
IS,above,high,sigma_rank_q,4,156,6.31,0.622,13.89,0.583,14.03,0.571,13.97,0.545,30,14.03,-0.06,0.3418,4.4,0.02,0.12,3.12
IS,below,high,z_close_q,0,634,9.14,0.638,9.25,0.555,11.45,0.58,13.8,0.566,60,13.8,0.0,0.3333,4.4,0.68,4.58,7.58
IS,below,high,slope_q,0,758,9.33,0.637,10.84,0.579,11.07,0.571,13.78,0.561,60,13.78,0.0,0.3039,3.9,0.45,2.01,5.01
IS,below,low,curvature_q,2,33,12.95,0.636,0.59,0.576,-0.89,0.485,11.31,0.515,5,12.95,-1.64,0.3714,4.4,1.93,7.81,10.81
IS,below,high,r2adj_5m_q,3,450,8.17,0.644,8.52,0.556,8.82,0.56,11.45,0.514,60,11.45,0.0,0.3296,4.2,0.66,3.43,6.43
IS,above,low,sigma_rank_q,1,443,5.26,0.625,5.7,0.574,10.16,0.593,11.22,0.609,60,11.22,0.0,0.3213,4.0,0.02,0.11,3.11
IS,above,high,r2adj_5m_q,3,101,6.7,0.653,11.15,0.594,10.46,0.564,9.41,0.545,15,11.15,-1.74,0.301,4.6,0.03,0.11,3.11
IS,below,high,sigma_rank_q,2,484,6.31,0.646,8.72,0.584,9.5,0.553,10.56,0.549,60,10.56,0.0,0.3292,4.2,0.73,4.62,7.62
IS,above,low,z_close_q,4,646,7.1,0.641,6.85,0.584,10.27,0.585,6.87,0.545,30,10.27,-3.4,0.3688,4.9,0.02,0.09,3.09
IS,above,low,sigma_rank_q,4,396,5.36,0.629,9.59,0.568,9.69,0.551,7.79,0.481,30,9.69,-1.9,0.3744,5.6,0.02,0.13,3.13
IS,above,low,r2adj_5m_q,1,428,5.97,0.661,7.56,0.612,8.0,0.575,9.32,0.618,60,9.32,0.0,0.3837,4.8,0.02,0.11,3.11
IS,below,high,r2adj_5m_q,4,464,5.27,0.619,7.64,0.562,5.05,0.523,9.21,0.52,60,9.21,0.0,0.3112,4.2,0.64,3.48,6.48
IS,above,low,sigma_rank_q,2,418,5.64,0.687,8.68,0.603,3.68,0.516,2.0,0.569,15,8.68,-6.67,0.3357,4.9,0.02,0.11,3.11
IS,below,high,r2adj_5m_q,1,473,6.53,0.639,6.42,0.574,7.29,0.562,7.79,0.529,60,7.79,0.0,0.3305,4.4,0.73,3.91,6.91
IS,above,low,z_close_q,1,51,2.47,0.588,5.48,0.627,5.21,0.667,7.14,0.608,60,7.14,0.0,0.3962,5.4,0.1,0.33,3.33
IS,above,low,r2adj_5m_q,0,453,6.21,0.64,5.17,0.558,7.12,0.561,4.84,0.54,30,7.12,-2.28,0.3165,4.8,0.02,0.11,3.11
IS,below,high,sigma_rank_q,4,320,7.0,0.619,4.92,0.534,1.97,0.512,-3.44,0.461,5,7.0,-10.44,0.3634,5.5,0.77,5.58,8.58
IS,below,high,curvature_q,1,693,6.65,0.632,6.87,0.568,6.81,0.571,6.71,0.543,15,6.87,-0.16,0.3094,3.7,0.7,4.12,7.12
IS,above,low,z_close_q,2,476,4.07,0.626,6.67,0.595,5.06,0.557,3.49,0.572,15,6.67,-3.18,0.3096,4.2,0.03,0.15,3.15
IS,above,low,r2adj_5m_q,2,437,4.61,0.664,6.55,0.597,4.24,0.578,3.72,0.571,15,6.55,-2.83,0.3394,5.1,0.02,0.12,3.12
IS,below,high,slope_q,3,239,6.08,0.556,6.02,0.519,5.53,0.508,5.55,0.479,5,6.08,-0.53,0.3154,3.8,1.06,6.07,9.07
IS,below,high,sigma_rank_q,0,569,5.45,0.583,6.05,0.539,6.07,0.536,5.87,0.525,30,6.07,-0.2,0.3012,3.8,0.63,3.1,6.1
IS,below,high,z_close_q,1,974,5.96,0.618,6.05,0.573,5.5,0.568,2.96,0.505,15,6.05,-3.09,0.3012,3.8,0.53,2.85,5.85
IS,above,low,z_close_q,3,913,4.45,0.654,5.06,0.564,4.38,0.55,5.55,0.562,60,5.55,0.0,0.3071,4.3,0.02,0.07,3.07
IS,above,low,curvature_q,1,710,5.41,0.645,5.32,0.577,4.26,0.566,1.9,0.559,5,5.41,-3.51,0.3244,4.2,0.02,0.1,3.1
IS,above,low,sigma_rank_q,0,482,3.91,0.627,3.32,0.583,5.35,0.608,5.37,0.6,60,5.37,0.0,0.3161,4.5,0.02,0.1,3.1
IS,below,high,slope_q,2,494,5.12,0.613,4.29,0.543,5.36,0.569,4.48,0.502,30,5.36,-0.89,0.3246,3.9,0.97,6.07,9.07
IS,above,low,slope_q,1,195,4.75,0.692,1.52,0.591,0.13,0.528,-10.85,0.479,5,4.75,-15.6,0.3909,5.3,0.03,0.17,3.17
IS,above,low,slope_q,3,668,4.09,0.653,4.17,0.602,3.16,0.561,0.31,0.564,15,4.17,-3.86,0.3179,4.5,0.02,0.09,3.09
IS,above,low,slope_q,2,445,3.96,0.631,3.34,0.539,4.0,0.582,3.9,0.573,30,4.0,-0.11,0.3579,5.0,0.03,0.16,3.16
IS,below,high,z_close_q,3,70,1.49,0.586,1.45,0.557,1.95,0.6,-2.46,0.529,30,1.95,-4.41,0.3333,4.5,2.22,15.45,18.45
