side,anchor,axis,bin,IS,OOS,sign_match
above,high,r2adj_5m,0,0.027,0.04,1
above,high,r2adj_5m,1,0.0114,0.0588,1
above,high,r2adj_5m,2,0.011,0.0476,1
above,high,r2adj_5m,3,0.0097,0.0667,1
above,high,r2adj_5m,4,0.0078,0.0303,1
above,low,r2adj_5m,0,0.1055,0.0521,1
above,low,r2adj_5m,1,0.1349,0.1296,1
above,low,r2adj_5m,2,0.0843,0.1111,1
above,low,r2adj_5m,3,0.1081,0.1204,1
above,low,r2adj_5m,4,0.0734,0.1084,1
below,high,r2adj_5m,0,0.1078,0.1609,1
below,high,r2adj_5m,1,0.1032,0.134,1
below,high,r2adj_5m,2,0.1038,0.1569,1
below,high,r2adj_5m,3,0.1084,0.1071,1
below,high,r2adj_5m,4,0.0923,0.1294,1
below,low,r2adj_5m,0,0.025,0.04,1
below,low,r2adj_5m,1,0.0132,0.0417,1
below,low,r2adj_5m,2,0.0096,0.0625,1
below,low,r2adj_5m,3,0.0098,0.0345,1
below,low,r2adj_5m,4,0.008,0.0769,1
