split,side,anchor,axis,bin,n,threshold_min,p_continue,cilo,cihi,med_duration,mean_duration,p10_duration,p90_duration,mean_max_z
IS,below,high,slope_q,1,747,5,0.4433,0.4079,0.4789,3.8,17.5,1.2,55.4,4.72
IS,below,high,slope_q,1,747,10,0.2937,0.2617,0.3268,3.8,17.5,1.2,55.4,4.72
IS,below,high,slope_q,1,747,20,0.2056,0.1774,0.2353,3.8,17.5,1.2,55.4,4.72
IS,below,high,slope_q,1,747,30,0.1776,0.1511,0.2057,3.8,17.5,1.2,55.4,4.72
IS,below,high,slope_q,2,494,3,0.5988,0.5553,0.6415,3.9,22.5,1.2,75.1,6.17
IS,below,high,slope_q,2,494,5,0.4496,0.4061,0.4935,3.9,22.5,1.2,75.1,6.17
IS,below,high,slope_q,2,494,10,0.3246,0.2841,0.3664,3.9,22.5,1.2,75.1,6.17
IS,below,high,slope_q,2,494,20,0.2419,0.2053,0.2805,3.9,22.5,1.2,75.1,6.17
IS,below,high,slope_q,2,494,30,0.2157,0.1807,0.2529,3.9,22.5,1.2,75.1,6.17
IS,below,high,slope_q,3,239,3,0.5436,0.4805,0.6059,3.8,20.8,1.2,63.5,5.57
IS,below,high,slope_q,3,239,5,0.4523,0.39,0.5153,3.8,20.8,1.2,63.5,5.57
IS,below,high,slope_q,3,239,10,0.3154,0.2583,0.3753,3.8,20.8,1.2,63.5,5.57
IS,below,high,slope_q,3,239,20,0.195,0.1476,0.2472,3.8,20.8,1.2,63.5,5.57
IS,below,high,slope_q,3,239,30,0.1743,0.1291,0.2245,3.8,20.8,1.2,63.5,5.57
IS,below,high,slope_q,4,41,3,0.6512,0.5045,0.7845,4.4,29.5,1.2,95.9,6.09
IS,below,high,slope_q,4,41,5,0.4884,0.3419,0.6358,4.4,29.5,1.2,95.9,6.09
IS,below,high,slope_q,4,41,10,0.3953,0.2563,0.5436,4.4,29.5,1.2,95.9,6.09
IS,below,high,slope_q,4,41,20,0.3023,0.1762,0.4458,4.4,29.5,1.2,95.9,6.09
IS,below,high,slope_q,4,41,30,0.2558,0.1386,0.3945,4.4,29.5,1.2,95.9,6.09
IS,below,low,slope_q,0,241,3,0.5514,0.4887,0.6134,4.1,8.5,1.2,23.1,3.93
