split,side,anchor,axis,bin,n,P_continue_30m_mean,P_continue_30m_cilo,P_continue_30m_cihi,P_continue_60m_mean,P_continue_60m_cilo,P_continue_60m_cihi,fwd_ret_h60m_mean,fwd_mfe_h60m_mean,fwd_mae_h60m_mean,duration_min_mean,max_abs_z_mean
IS,above,high,curvature,0,31,0.1515,0.0528,0.2899,0.0303,0.0008,0.1089,22.234,108.629,-69.46,12.858,3.07
IS,above,high,curvature,1,138,0.0857,0.0454,0.1372,0.0071,0.0002,0.0262,17.083,47.341,-26.73,9.767,3.072
IS,above,high,curvature,2,245,0.0688,0.0408,0.1035,0.0081,0.001,0.0224,3.164,54.182,-51.69,8.689,3.052
IS,above,low,curvature,0,315,0.1546,0.117,0.1963,0.0946,0.065,0.1291,14.089,67.517,-49.232,16.871,3.03
IS,above,low,curvature,1,710,0.1699,0.1433,0.1984,0.0941,0.0738,0.1166,1.902,33.887,-30.474,18.651,3.041
IS,above,low,curvature,2,806,0.1559,0.1318,0.1817,0.0891,0.0705,0.1097,6.378,45.071,-37.064,17.968,3.03
IS,below,high,curvature,0,913,0.1399,0.1182,0.1631,0.0678,0.0524,0.0849,-8.494,40.956,-60.974,15.811,4.098
IS,below,high,curvature,1,693,0.1856,0.1576,0.2153,0.1137,0.0912,0.1383,-6.715,29.435,-47.348,20.147,4.648
IS,below,high,curvature,2,458,0.1478,0.1169,0.1816,0.0978,0.0724,0.1265,-9.918,43.322,-65.135,17.039,4.455
IS,below,low,curvature,0,333,0.0567,0.0346,0.0838,0.003,0.0001,0.011,-7.605,56.171,-78.191,8.372,4.176
IS,below,low,curvature,1,89,0.0769,0.0318,0.1395,0.011,0.0003,0.0402,-19.225,34.225,-75.09,9.512,5.721
IS,below,low,curvature,2,33,0.1429,0.0495,0.2745,0.0571,0.0072,0.1533,-11.311,55.773,-77.583,12.568,5.81
OOS,above,high,curvature,1,31,0.0606,0.0077,0.1622,0.0606,0.0077,0.1622,30.347,57.363,-28.419,9.303,3.053
OOS,above,high,curvature,2,73,0.0533,0.0149,0.1139,0.0133,0.0003,0.0486,11.866,47.959,-39.545,6.984,3.037
OOS,above,low,curvature,0,61,0.1905,0.1042,0.2953,0.0952,0.0363,0.1783,-11.23,50.398,-41.045,17.075,3.037
OOS,above,low,curvature,1,138,0.1857,0.126,0.2539,0.1214,0.0729,0.1802,12.982,40.935,-29.17,20.504,3.032
OOS,above,low,curvature,2,224,0.177,0.1301,0.2292,0.0841,0.0516,0.1235,11.723,48.934,-37.479,15.93,3.025
OOS,below,high,curvature,0,205,0.1836,0.134,0.239,0.1014,0.0642,0.146,-11.122,41.505,-66.961,20.93,4.117
OOS,below,high,curvature,1,108,0.1818,0.1158,0.2587,0.1455,0.0863,0.2168,-14.586,33.766,-55.88,22.837,4.531
OOS,below,high,curvature,2,89,0.1538,0.0877,0.2343,0.1209,0.0626,0.1949,1.52,65.792,-75.772,18.051,4.39
OOS,below,low,curvature,0,73,0.08,0.0303,0.1507,0.0133,0.0003,0.0486,-32.733,51.847,-104.122,8.169,4.048
OOS,below,low,curvature,1,27,0.069,0.0088,0.1835,0.0345,0.0009,0.1234,-28.278,39.833,-89.519,8.558,4.412
