py_time,nt8_time,bar_ts,reason
06:35:00,13:34:45,1774013685.0,no_buildup: fm_decay=1 fm_build=1 pc_shift=2 (need 3+ in any pattern)
06:45:51,13:45:50,1774014350.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-89.0 fm=-25.2)
06:46:45,13:46:30,1774014390.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=132.0 fm=7.6)
06:47:21,13:47:20,1774014440.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=64.0 fm=57.0)
06:47:36,13:47:35,1774014455.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-67.0 fm=-40.6)
06:48:00,13:47:45,1774014465.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-67.0 fm=-40.6)
06:48:30,13:48:15,1774014495.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-49.0 fm=-40.5)
06:48:45,13:48:30,1774014510.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-37.0 fm=-18.4)
06:48:51,13:48:50,1774014530.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-37.0 fm=-18.4)
06:49:00,13:48:45,1774014525.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-37.0 fm=-18.4)
06:49:15,13:49:00,1774014540.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=68.0 fm=96.4)
06:49:30,13:49:15,1774014555.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=68.0 fm=96.4)
06:49:45,13:49:30,1774014570.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=110.0 fm=132.4)
06:51:21,13:51:20,1774014680.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-31.0 fm=-4.9)
06:52:06,13:52:05,1774014725.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-145.0 fm=-341.5)
06:52:15,13:52:00,1774014720.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-145.0 fm=-341.5)
06:52:30,13:52:15,1774014735.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-145.0 fm=-341.5)
06:52:51,13:52:50,1774014770.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-234.0 fm=-62.4)
06:53:06,13:53:05,1774014785.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-156.0 fm=-123.0)
06:54:45,13:54:30,1774014870.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-104.0 fm=-112.6)
06:55:21,13:55:20,1774014920.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=82.0 fm=80.0)
06:55:30,13:55:15,1774014915.0,1m_sensor: SHORT blocked (vol=Y fm=Y vol=82.0 fm=80.0)
06:56:36,13:56:35,1774014995.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-80.0 fm=-83.8)
06:56:51,13:56:50,1774015010.0,1m_sensor: LONG blocked (vol=Y fm=Y vol=-80.0 fm=-83.8)
