fill_time,order_id,side,entry_price,exit_price,pnl,qty,is_chain
1776652342,Close,BUY,26698.25,26693.50,-9.50,1,0
1776659045,CHEXIT_L_031,SELL,26681.75,26667.50,28.50,1,1
1776659085,CHEXIT_L_032,SELL,26681.75,26672.50,18.50,1,1
1776660726,CHEXIT_L_038,SELL,26666.75,26671.00,-8.50,1,1
1776661145,CHEXIT_L_041,SELL,26666.75,26673.75,-14.00,1,1
1776661326,CHEXIT_L_042,SELL,26666.75,26675.50,-17.50,1,1
1776665586,CHEXIT_L_056,SELL,26637.00,26656.50,-39.00,1,1
1776665976,CHEXIT_L_058,SELL,26637.00,26651.00,-28.00,1,1
1776665981,CHEXIT_L_059,SELL,26637.00,26651.50,-29.00,1,1
1776668488,Close,SELL,26653.75,26690.25,-73.00,3,0
