timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1776652180,26697.50,-0.2235,0.4857,0.75,0,,,0,0.0,0.0,0,
1776652185,26697.25,-0.2235,0.4857,0.75,0,,,0,0.0,0.0,0,
1776652190,26697.25,-0.2235,0.4857,0.75,0,,,0,0.0,0.0,0,
1776652195,26698.00,-0.2235,0.4857,0.75,0,,,0,0.0,0.0,0,
1776652200,26696.75,-0.2313,0.4962,0.25,0,,,0,0.0,0.0,0,ENTRY_FADE_CALM
1776652205,26697.75,-0.2313,0.4962,0.25,1,long,FADE_CALM,-1,-1.0,0.0,1,
1776652210,26698.50,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,0.5,0.5,1,
1776652215,26699.00,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,1.5,1.5,1,
1776652220,26698.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,0.0,1.5,1,
1776652225,26698.00,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,1.0,1.5,1,
1776652230,26698.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,0.5,1.5,1,
1776652235,26698.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,-0.5,1.5,1,
1776652240,26697.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,-4.0,1.5,1,
1776652245,26696.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,-3.0,1.5,1,
1776652250,26696.75,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,-2.0,1.5,1,
1776652255,26697.25,-0.2313,0.4962,0.25,1,long,FADE_CALM,0,-3.0,1.5,1,
1776652260,26697.25,-0.6032,0.4848,-0.75,1,long,FADE_CALM,0,-3.0,1.5,1,
1776652265,26696.75,-0.6032,0.4848,-0.75,1,long,FADE_CALM,0,-3.0,1.5,1,
1776652270,26696.75,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-5.0,1.5,1,
1776652275,26696.25,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-8.0,1.5,1,
1776652280,26693.50,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-10.0,1.5,1,
1776652285,26693.50,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-9.5,1.5,1,
1776652290,26693.00,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-10.0,1.5,1,
1776652295,26694.25,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-8.0,1.5,1,
1776652300,26693.75,-0.6032,0.4848,-0.75,1,long,FADE_CALM,1,-8.0,1.5,1,
