timestamp,type,tier,direction,price,pnl,bars_held,exit_reason,is_chain,contracts,daily_pnl
1776054660,ENTRY,RIDE_AGAINST,short,25072.50,0.0,0,,0,0,0.0
1776054780,CHAIN_EXIT,RIDE_AGAINST,?,25068.75,8.0,2,fade_mean_reached,1,1,0.0
1776055320,CHAIN_ENTRY,FADE_CALM,short,25071.75,0.0,0,,1,1,8.0
1776055320,CHAIN_ENTRY,FADE_CALM,short,25071.75,0.0,0,,1,2,8.0
1776055380,CHAIN_ENTRY,FADE_CALM,short,25074.25,0.0,0,,1,3,8.0
1776055500,CHAIN_EXIT,RIDE_AGAINST,?,25067.75,13.0,12,fade_oscillation_decay,1,3,8.0
1776055500,CHAIN_EXIT,FADE_CALM,?,25067.75,8.0,3,chain_fade_oscillation_decay,1,3,8.0
1776055500,CHAIN_EXIT,FADE_CALM,?,25067.75,8.0,3,chain_fade_oscillation_decay,1,3,8.0
1776055500,CHAIN_EXIT,FADE_CALM,?,25067.75,13.0,2,chain_fade_oscillation_decay,1,3,8.0
1776055560,CHAIN_EXIT,KILL_SHOT,?,25063.00,9.5,1,kill_shot_center,1,2,50.0
1776055680,CHAIN_EXIT,KILL_SHOT,?,25064.75,1.0,2,kill_shot_center,1,1,59.5
1776055740,CHAIN_EXIT,KILL_SHOT,?,25066.25,3.0,1,kill_shot_center,1,1,60.5
1776055800,CHAIN_EXIT,KILL_SHOT,?,25068.00,3.5,1,kill_shot_center,1,1,63.5
1776055860,CHAIN_EXIT,KILL_SHOT,?,25066.50,3.0,1,kill_shot_center,1,1,67.0
1776055920,CHAIN_EXIT,KILL_SHOT,?,25065.50,2.0,1,kill_shot_center,1,1,70.0
1776055980,CHAIN_EXIT,KILL_SHOT,?,25068.00,-5.0,1,kill_shot_center,1,1,72.0
1776056040,CHAIN_EXIT,KILL_SHOT,?,25070.50,5.0,1,kill_shot_center,1,1,67.0
1776056100,CHAIN_ENTRY,FADE_CALM,short,25080.00,0.0,0,,1,1,72.0
1776056100,CHAIN_ENTRY,FADE_CALM,short,25080.00,0.0,0,,1,2,72.0
1776056160,CHAIN_ENTRY,FADE_CALM,short,25091.25,0.0,0,,1,3,72.0
1776056400,CHAIN_EXIT,KILL_SHOT,?,25081.00,19.5,6,kill_shot_center,1,3,72.0
1776057540,CHAIN_EXIT,RIDE_AGAINST,?,25064.00,-24.0,19,fade_oscillation_center,1,2,91.5
1776057540,CHAIN_EXIT,FADE_CALM,?,25064.00,32.0,24,chain_fade_oscillation_center,1,2,91.5
1776057540,CHAIN_EXIT,FADE_CALM,?,25064.00,32.0,24,chain_fade_oscillation_center,1,2,91.5
1776057540,CHAIN_EXIT,FADE_CALM,?,25064.00,54.5,23,chain_fade_oscillation_center,1,2,91.5
1776057600,CHAIN_ENTRY,RIDE_AGAINST,long,25062.50,0.0,0,,1,1,186.0
1776057600,CHAIN_ENTRY,RIDE_AGAINST,long,25062.50,0.0,0,,1,1,186.0
1776057660,CHAIN_EXIT,FADE_CALM,?,25067.75,8.0,2,fade_oscillation_center,1,1,186.0
1776057660,CHAIN_EXIT,RIDE_AGAINST,?,25067.75,10.5,1,chain_fade_p_center,1,1,194.0
1776057660,CHAIN_EXIT,RIDE_AGAINST,?,25067.75,10.5,1,chain_fade_mean_reached,1,1,194.0
1776057720,CHAIN_ENTRY,RIDE_AGAINST,long,25073.50,0.0,0,,1,1,215.0
1776057720,CHAIN_ENTRY,RIDE_AGAINST,long,25073.50,0.0,0,,1,1,215.0
1776057780,CHAIN_ENTRY,RIDE_AGAINST,long,25086.75,0.0,0,,1,1,215.0
1776058200,CHAIN_EXIT,FADE_CALM,?,25079.00,22.5,9,fade_oscillation_center,1,1,215.0
1776058200,CHAIN_EXIT,RIDE_AGAINST,?,25079.00,11.0,8,chain_fade_oscillation_center,1,1,215.0
1776058200,CHAIN_EXIT,RIDE_AGAINST,?,25079.00,11.0,8,chain_fade_oscillation_center,1,1,215.0
1776058200,CHAIN_EXIT,RIDE_AGAINST,?,25079.00,-15.5,7,chain_fade_oscillation_center,1,1,215.0
1776058260,CHAIN_EXIT,FADE_CALM,?,25072.75,-12.5,1,fade_p_center,1,1,244.0
1776058680,CHAIN_EXIT,FADE_CALM,?,25073.25,1.0,7,fade_p_center,1,1,231.5
1776058740,CHAIN_EXIT,FADE_CALM,?,25071.50,-3.5,1,fade_p_center,1,1,232.5
1776058860,CHAIN_EXIT,FADE_CALM,?,25069.25,-4.5,2,fade_p_center,1,1,229.0
1776058920,CHAIN_EXIT,FADE_CALM,?,25068.75,-1.0,1,fade_p_center,1,1,224.5
1776059040,CHAIN_ENTRY,RIDE_AGAINST,long,25070.75,0.0,0,,1,1,223.5
1776059040,CHAIN_ENTRY,RIDE_AGAINST,long,25070.75,0.0,0,,1,1,223.5
1776059100,CHAIN_ENTRY,KILL_SHOT,long,25071.50,0.0,0,,1,1,223.5
1776059100,CHAIN_EXIT,FADE_CALM,?,25071.50,5.5,3,fade_oscillation_center,1,1,223.5
1776059100,CHAIN_EXIT,RIDE_AGAINST,?,25071.50,1.5,1,chain_fade_oscillation_center,1,1,223.5
1776059100,CHAIN_EXIT,RIDE_AGAINST,?,25071.50,1.5,1,chain_fade_oscillation_center,1,1,223.5
1776059460,CHAIN_EXIT,KILL_SHOT,?,25076.25,9.5,6,kill_shot_center,1,1,232.0
1776059460,CHAIN_EXIT,KILL_SHOT,?,25076.25,9.5,6,chain_kill_shot_center,1,1,232.0
1776059760,CHAIN_EXIT,FADE_CALM,?,25075.50,1.5,5,fade_oscillation_center,1,1,251.0
1776059820,CHAIN_EXIT,FADE_CALM,?,25081.75,-12.5,1,fade_mean_reached,1,1,252.5
1776060000,CHAIN_EXIT,FADE_CALM,?,25079.75,4.0,3,fade_mean_reached,1,1,240.0
1776060060,CHAIN_EXIT,RIDE_AGAINST,?,25087.00,14.5,1,fade_mean_reached,1,1,244.0
1776060300,CHAIN_EXIT,RIDE_AGAINST,?,25088.50,3.0,4,fade_p_center,1,1,258.5
1776060480,CHAIN_ENTRY,FADE_CALM,long,25082.25,0.0,0,,1,1,261.5
1776060480,CHAIN_ENTRY,FADE_CALM,long,25082.25,0.0,0,,1,1,261.5
1776060540,CHAIN_ENTRY,FADE_CALM,long,25086.00,0.0,0,,1,1,261.5
1776060840,CHAIN_EXIT,RIDE_AGAINST,?,25085.75,-5.5,9,fade_oscillation_center,1,1,261.5
1776060840,CHAIN_EXIT,FADE_CALM,?,25085.75,7.0,6,chain_fade_oscillation_center,1,1,261.5
1776060840,CHAIN_EXIT,FADE_CALM,?,25085.75,7.0,6,chain_fade_oscillation_center,1,1,261.5
1776060840,CHAIN_EXIT,FADE_CALM,?,25085.75,-0.5,5,chain_fade_oscillation_center,1,1,261.5
1776060900,CHAIN_ENTRY,FADE_CALM,long,25088.25,0.0,0,,1,1,269.5
1776060900,CHAIN_ENTRY,FADE_CALM,long,25088.25,0.0,0,,1,1,269.5
1776060960,CHAIN_ENTRY,FADE_CALM,long,25092.00,0.0,0,,1,1,269.5
1776061020,CHAIN_EXIT,RIDE_AGAINST,?,25093.75,16.0,3,fade_oscillation_center,1,1,269.5
1776061020,CHAIN_EXIT,FADE_CALM,?,25093.75,11.0,2,chain_fade_oscillation_center,1,1,269.5
1776061020,CHAIN_EXIT,FADE_CALM,?,25093.75,11.0,2,chain_fade_oscillation_center,1,1,269.5
1776061020,CHAIN_EXIT,FADE_CALM,?,25093.75,3.5,1,chain_fade_p_center,1,1,307.5
1776061620,CHAIN_EXIT,RIDE_AGAINST,?,25111.25,35.0,10,fade_p_center,1,1,311.0
1776061680,CHAIN_ENTRY,FADE_CALM,long,25114.00,0.0,0,,1,1,346.0
1776061680,CHAIN_ENTRY,FADE_CALM,long,25114.00,0.0,0,,1,1,346.0
1776061740,CHAIN_ENTRY,FADE_CALM,long,25109.50,0.0,0,,1,1,346.0
1776062460,CHAIN_EXIT,RIDE_AGAINST,?,25104.25,-14.0,14,fade_oscillation_center,1,1,346.0
1776062460,CHAIN_EXIT,FADE_CALM,?,25104.25,-19.5,13,chain_fade_oscillation_center,1,1,346.0
1776062460,CHAIN_EXIT,FADE_CALM,?,25104.25,-19.5,13,chain_fade_oscillation_center,1,1,346.0
1776062460,CHAIN_EXIT,FADE_CALM,?,25104.25,-10.5,12,chain_fade_oscillation_center,1,1,346.0
1776059100,CHAIN_EXIT,RIDE_AGAINST,?,25071.50,-65.5,-56,fade_p_center,1,1,282.5
1776062700,CHAIN_ENTRY,KILL_SHOT,long,25102.25,0.0,0,,1,1,217.0
1776062700,CHAIN_ENTRY,KILL_SHOT,long,25102.25,0.0,0,,1,1,217.0
1776063060,CHAIN_EXIT,KILL_SHOT,?,25104.75,5.0,6,chain_kill_shot_center,1,1,217.0
1776063060,CHAIN_EXIT,KILL_SHOT,?,25104.75,5.0,6,chain_kill_shot_center,1,1,217.0
1776063060,CHAIN_EXIT,RIDE_AGAINST,?,25104.75,66.5,66,fade_oscillation_center,1,1,227.0
1776063180,CHAIN_EXIT,FADE_CALM,?,25105.50,-1.5,2,fade_mean_reached,1,1,293.5
1776063240,CHAIN_EXIT,FADE_CALM,?,25105.75,-0.5,1,fade_mean_reached,1,1,292.0
1776063300,CHAIN_ENTRY,KILL_SHOT,short,25109.00,0.0,0,,1,1,291.5
1776063300,CHAIN_ENTRY,KILL_SHOT,short,25109.00,0.0,0,,1,2,291.5
1776063360,CHAIN_EXIT,FADE_CALM,?,25109.50,-0.5,2,fade_mean_reached,1,3,291.5
1776063360,CHAIN_EXIT,KILL_SHOT,?,25109.50,-1.0,1,chain_kill_shot_center,1,3,291.5
1776063360,CHAIN_EXIT,KILL_SHOT,?,25109.50,-1.0,1,chain_kill_shot_center,1,2,290.0
1776063420,CHAIN_EXIT,KILL_SHOT,?,25111.50,0.5,1,kill_shot_center,1,1,289.0
1776063480,CHAIN_EXIT,KILL_SHOT,?,25111.00,1.0,1,kill_shot_center,1,1,289.5
1776063540,CHAIN_EXIT,KILL_SHOT,?,25112.25,-2.5,1,kill_shot_center,1,1,290.5
1776063600,CHAIN_EXIT,KILL_SHOT,?,25114.50,-4.5,1,kill_shot_center,1,1,288.0
1776063900,CHAIN_ENTRY,FADE_CALM,long,25124.00,0.0,0,,1,1,283.5
1776063900,CHAIN_ENTRY,FADE_CALM,long,25124.00,0.0,0,,1,1,283.5
1776063960,CHAIN_EXIT,RIDE_AGAINST,?,25123.00,17.0,6,fade_oscillation_center,1,1,283.5
1776063960,CHAIN_EXIT,FADE_CALM,?,25123.00,-2.0,1,chain_fade_p_center,1,1,300.5
1776063960,CHAIN_EXIT,FADE_CALM,?,25123.00,-2.0,1,chain_fade_mean_reached,1,1,300.5
1776064020,CHAIN_ENTRY,FADE_CALM,long,25119.00,0.0,0,,1,1,296.5
1776064020,CHAIN_ENTRY,FADE_CALM,long,25119.00,0.0,0,,1,1,296.5
1776064080,CHAIN_ENTRY,FADE_CALM,long,25114.50,0.0,0,,1,1,296.5
1776065700,CHAIN_EXIT,RIDE_AGAINST,?,25105.00,-36.0,29,fade_oscillation_center,1,1,296.5
1776065700,CHAIN_EXIT,FADE_CALM,?,25105.00,-28.0,28,chain_fade_oscillation_center,1,1,296.5
1776065700,CHAIN_EXIT,FADE_CALM,?,25105.00,-28.0,28,chain_fade_oscillation_center,1,1,296.5
1776065700,CHAIN_EXIT,FADE_CALM,?,25105.00,-19.0,27,chain_fade_oscillation_center,1,1,296.5
1776065760,CHAIN_EXIT,RIDE_AGAINST,?,25106.75,3.5,1,fade_mean_reached,1,1,185.5
1776065880,CHAIN_ENTRY,FADE_CALM,long,25102.25,0.0,0,,1,1,189.0
1776065880,CHAIN_ENTRY,FADE_CALM,long,25102.25,0.0,0,,1,1,189.0
1776065940,CHAIN_ENTRY,FADE_CALM,long,25108.25,0.0,0,,1,1,189.0
1776066000,CHAIN_EXIT,RIDE_AGAINST,?,25108.75,4.0,4,fade_oscillation_center,1,1,189.0
1776066000,CHAIN_EXIT,FADE_CALM,?,25108.75,13.0,2,chain_fade_oscillation_center,1,1,189.0
1776066000,CHAIN_EXIT,FADE_CALM,?,25108.75,13.0,2,chain_fade_oscillation_center,1,1,189.0
1776066000,CHAIN_EXIT,FADE_CALM,?,25108.75,1.0,1,chain_fade_p_center,1,1,219.0
1776066060,CHAIN_EXIT,RIDE_AGAINST,?,25112.50,7.5,1,fade_p_center,1,1,220.0
1776066180,CHAIN_ENTRY,FADE_CALM,long,25110.75,0.0,0,,1,1,227.5
1776066180,CHAIN_ENTRY,FADE_CALM,long,25110.75,0.0,0,,1,1,227.5
1776066240,CHAIN_ENTRY,FADE_CALM,long,25109.00,0.0,0,,1,1,227.5
1776066420,CHAIN_EXIT,RIDE_AGAINST,?,25095.25,-34.5,6,fade_oscillation_decay,1,1,227.5
1776066420,CHAIN_EXIT,FADE_CALM,?,25095.25,-31.0,4,chain_fade_oscillation_decay,1,1,227.5
1776066420,CHAIN_EXIT,FADE_CALM,?,25095.25,-31.0,4,chain_fade_oscillation_decay,1,1,227.5
1776066420,CHAIN_EXIT,FADE_CALM,?,25095.25,-27.5,3,chain_fade_oscillation_decay,1,1,227.5
1776066600,CHAIN_ENTRY,FADE_CALM,short,25101.00,0.0,0,,1,1,103.5
1776066600,CHAIN_ENTRY,FADE_CALM,short,25101.00,0.0,0,,1,2,103.5
1776067020,CHAIN_EXIT,RIDE_AGAINST,?,25099.00,3.0,10,fade_oscillation_center,1,3,103.5
1776067020,CHAIN_EXIT,FADE_CALM,?,25099.00,4.0,7,chain_fade_oscillation_center,1,3,103.5
1776067020,CHAIN_EXIT,FADE_CALM,?,25099.00,4.0,7,chain_fade_oscillation_center,1,3,103.5
1776067080,CHAIN_ENTRY,FADE_CALM,short,25098.50,0.0,0,,1,2,114.5
1776067080,CHAIN_ENTRY,FADE_CALM,short,25098.50,0.0,0,,1,3,114.5
1776067140,CHAIN_ENTRY,FADE_CALM,short,25102.75,0.0,0,,1,3,114.5
1776067740,CHAIN_EXIT,RIDE_AGAINST,?,25109.75,-22.0,12,fade_oscillation_center,1,3,114.5
1776067740,CHAIN_EXIT,FADE_CALM,?,25109.75,-22.5,11,chain_fade_oscillation_center,1,3,114.5
1776067740,CHAIN_EXIT,FADE_CALM,?,25109.75,-22.5,11,chain_fade_oscillation_center,1,3,114.5
1776067740,CHAIN_EXIT,FADE_CALM,?,25109.75,-14.0,10,chain_fade_oscillation_center,1,3,114.5
1776068460,CHAIN_EXIT,FADE_CALM,?,25108.50,-9.5,12,fade_oscillation_center,1,2,33.5
1776068520,CHAIN_EXIT,FADE_CALM,?,25117.25,15.5,1,fade_mean_reached,1,1,24.0
1776069840,CHAIN_EXIT,FADE_CALM,?,25102.25,-30.0,22,fade_oscillation_center,1,1,39.5
1776069900,CHAIN_ENTRY,RIDE_AGAINST,long,25103.00,0.0,0,,1,1,9.5
1776069900,CHAIN_ENTRY,RIDE_AGAINST,long,25103.00,0.0,0,,1,1,9.5
1776069960,CHAIN_ENTRY,RIDE_AGAINST,long,25098.00,0.0,0,,1,1,9.5
