timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1776311075,26446.25,-2.0703,0.2712,-3.00,0,,,0,0.0,0.0,0,
1776311080,26445.75,-2.0703,0.2712,-3.00,0,,,0,0.0,0.0,0,
1776311085,26445.75,-2.0703,0.2712,-3.00,0,,,0,0.0,0.0,0,
1776311090,26446.25,-2.0703,0.2712,-3.00,0,,,0,0.0,0.0,0,
1776311095,26446.25,-2.0703,0.2712,-3.00,0,,,0,0.0,0.0,0,
1776311100,26446.25,3.9523,2.3072,428.25,0,,,0,0.0,0.0,0,ENTRY_MTF_BREAKOUT
1776311105,26446.25,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,-1,-2.5,0.0,1,
1776311110,26445.75,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-2.5,0.0,1,
1776311115,26445.50,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-1.5,0.0,1,
1776311120,26446.50,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,0.5,0.0,1,
1776311125,26447.25,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,0.5,0.5,1,
1776311130,26446.75,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-0.5,0.5,1,
1776311135,26446.75,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,0.5,0.5,1,
1776311140,26446.25,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-1.0,0.5,1,
1776311145,26446.00,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-2.5,0.5,1,
1776311150,26445.75,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-2.0,0.5,1,
1776311155,26445.75,3.9523,2.3072,428.25,1,long,MTF_BREAKOUT,0,-1.5,0.5,1,
1776311160,26446.25,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,0,-1.5,0.5,1,
1776311165,26447.75,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,0,1.5,1.5,1,
1776311170,26447.00,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,-1.0,1.5,1,
1776311175,26446.25,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,-1.0,1.5,1,
1776311180,26447.25,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,1.0,1.5,1,
1776311185,26448.25,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,3.0,2.5,1,
1776311190,26448.00,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,1.5,2.5,1,
1776311195,26448.00,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,2.0,2.5,1,
1776311200,26448.25,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,3.0,2.5,1,
1776311205,26448.50,3.9523,2.2051,428.25,1,long,MTF_BREAKOUT,1,3.0,3.0,1,
