day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_02_17,UP_SMOOTH,141.0,567,161,-7.5,-18.0,43.5,,63.5,,-14.5,52.5,21.5,,
2025_07_24,FLAT_SMOOTH,141.0,645,162,15.5,-28.0,159.5,-5.5,-37.5,,-4.0,62.0,-15.5,-5.5,
2025_07_17,UP_CHOPPY,135.5,636,192,-34.0,75.5,98.5,-18.0,29.0,,-9.5,56.5,-65.0,2.5,
2025_06_19,FLAT_CHOPPY,131.5,210,78,33.5,7.5,59.0,61.5,-46.5,,-1.0,-17.5,35.0,,
2025_05_28,UP_SMOOTH,129.5,609,175,-105.5,-17.0,1.0,-36.5,300.5,,9.0,-126.0,140.5,-36.5,
2025_10_17,UP_SMOOTH,123.5,127,38,61.5,6.0,40.5,,-56.0,,,20.5,51.0,,
2025_09_17,FLAT_CHOPPY,121.0,562,166,,53.0,-18.0,,,,3.5,-29.5,112.0,,
2025_03_17,FLAT_CHOPPY,120.0,550,161,-45.0,47.0,78.5,-22.0,11.5,,6.0,4.5,39.5,,
2025_07_28,FLAT_SMOOTH,119.5,683,167,-35.0,14.5,-75.5,46.5,87.5,,-2.0,-17.5,54.5,46.5,
2025_05_29,DOWN_SMOOTH,115.5,65,21,-26.0,32.0,-36.0,,154.0,,9.5,-7.5,-10.5,,
2025_09_08,UP_SMOOTH,110.0,707,196,-5.5,-32.0,30.5,29.5,29.5,,-12.5,123.0,-52.5,,
2025_01_23,FLAT_SMOOTH,108.0,737,188,-24.5,-14.0,174.0,,-129.5,,-1.5,58.0,45.5,,
2025_02_19,DOWN_SMOOTH,105.0,715,196,,94.5,3.5,,,,-18.0,7.0,18.0,,
2025_02_03,UP_CHOPPY,102.5,72,24,,24.0,74.5,,,,26.5,-29.5,7.0,,
2025_09_18,FLAT_CHOPPY,99.5,241,70,13.5,56.5,171.5,-45.5,-127.0,,-11.5,50.0,-8.0,,
2025_04_17,FLAT_SMOOTH,96.5,271,77,-6.0,-83.5,35.5,,5.5,,-21.5,98.0,68.5,,
2025_06_03,UP_CHOPPY,89.0,385,132,-14.5,-26.0,33.0,-25.5,48.5,,13.0,50.0,-31.0,41.5,
2025_11_28,UP_SMOOTH,84.0,221,49,,61.0,-44.0,,,,3.5,32.5,31.0,,
2025_05_18,DOWN_SMOOTH,80.5,48,16,,60.0,30.0,,,,,-10.5,1.0,,
2025_11_09,UP_SMOOTH,77.5,15,5,,40.5,37.0,,,,,,0.0,,
2025_05_27,UP_CHOPPY,76.5,521,150,27.5,13.0,68.0,-35.5,3.0,,20.0,19.5,3.0,-42.0,
2025_03_12,FLAT_CHOPPY,75.5,372,95,-24.5,-158.5,53.0,,54.5,,58.5,16.5,76.0,,
2025_07_30,UP_SMOOTH,72.0,720,189,7.5,-199.5,29.0,38.0,32.0,40.5,20.5,40.0,64.0,,
2025_08_31,FLAT_CHOPPY,70.5,44,21,0.0,,20.5,0.5,0.5,,7.0,27.0,14.5,0.5,
2025_09_01,FLAT_SMOOTH,61.0,639,159,-4.5,1.0,-4.5,,114.5,,4.0,-24.0,-25.5,,
2025_07_06,FLAT_SMOOTH,60.5,62,20,,6.5,3.0,,,,-2.5,56.0,-2.5,,
2025_10_13,FLAT_CHOPPY,60.0,243,72,6.0,46.0,-33.5,,34.0,,-15.0,-118.0,140.5,,
2025_12_09,FLAT_SMOOTH,59.0,712,201,,-46.0,66.5,,,,34.0,-54.5,59.0,,
2025_05_08,FLAT_CHOPPY,58.0,342,98,10.0,179.0,245.5,,-315.5,,4.5,-59.5,-6.0,,
2025_01_09,FLAT_SMOOTH,56.5,412,135,,1.0,28.0,,,,13.5,6.0,8.0,,
2025_01_19,FLAT_SMOOTH,51.0,7,4,0.0,,24.0,9.0,9.0,,,0.0,,9.0,
2025_03_16,DOWN_SMOOTH,50.0,15,7,,3.5,55.0,,,,,-8.5,,,
2025_04_27,FLAT_SMOOTH,49.5,43,17,-5.0,27.0,64.5,,-49.0,,0.0,12.0,0.0,,
2025_03_21,DOWN_SMOOTH,48.5,101,26,0.0,-8.5,-27.5,59.5,16.0,16.0,,-8.0,1.0,,
2025_06_13,FLAT_CHOPPY,47.0,181,44,-7.0,51.5,-34.5,,83.0,,17.5,-30.5,-33.0,,
2025_10_27,UP_SMOOTH,45.0,239,46,-9.0,-22.0,-72.0,-6.0,185.0,,-18.5,-11.0,-1.5,,
2025_08_25,FLAT_CHOPPY,43.0,456,116,,75.0,81.0,,,,3.0,-58.5,-57.5,,
2025_11_27,FLAT_SMOOTH,41.5,512,149,-17.5,4.5,16.5,,-23.0,,-4.5,51.5,14.0,,
2025_09_14,UP_SMOOTH,38.5,57,19,,,4.0,,,,7.0,17.0,10.5,,
2025_09_07,UP_SMOOTH,34.5,41,12,,30.0,9.0,,,,,-4.5,0.0,,
2025_07_29,FLAT_CHOPPY,32.0,714,166,,-19.0,-14.5,,,,12.0,-19.5,73.0,,
2025_04_16,FLAT_CHOPPY,23.5,139,52,-4.5,191.0,299.5,-129.5,-209.0,-129.5,-30.5,61.5,-25.5,,
2025_05_11,UP_SMOOTH,22.0,42,9,,46.0,8.0,,,,,-31.5,-0.5,,
2025_05_25,UP_SMOOTH,19.5,22,6,,-8.5,19.0,,,,,9.0,0.0,,
2025_10_05,UP_SMOOTH,18.5,42,14,,,11.5,,,,8.0,-9.0,8.0,,
2025_03_09,FLAT_SMOOTH,10.5,44,12,44.0,25.5,61.0,,-165.0,,,9.0,36.0,,
2025_11_02,FLAT_SMOOTH,9.0,2,2,,4.5,4.5,,,,,,,,
2025_11_13,DOWN_SMOOTH,6.5,443,114,68.0,126.0,-133.0,7.0,177.0,-116.5,-121.0,-64.0,-172.0,235.0,
2025_12_07,FLAT_SMOOTH,2.5,23,5,,,-0.5,,,,,8.5,-5.5,,
2025_02_09,UP_SMOOTH,0.0,2,0,,0.0,0.0,,,,,,,,
2025_11_30,DOWN_SMOOTH,0.0,1,0,,,0.0,,,,,,,,
2025_09_11,UP_CHOPPY,-1.0,719,208,20.5,-63.5,-74.0,,-3.5,,27.0,46.5,46.0,,
2025_08_10,FLAT_SMOOTH,-5.5,2,0,,,-5.5,,,,,,,,
2025_01_12,DOWN_SMOOTH,-7.0,4,3,2.0,2.0,2.0,,-13.0,,,,,,
2025_12_08,FLAT_CHOPPY,-11.0,621,165,13.0,-68.0,63.5,,-93.5,,42.5,-8.0,39.5,,
2025_06_08,FLAT_SMOOTH,-12.5,85,30,31.5,-16.5,37.0,,-106.0,,4.0,20.5,17.0,,
2025_10_06,FLAT_CHOPPY,-17.5,674,189,-48.0,-30.5,-80.5,,72.5,,15.0,-13.5,67.5,,
2025_11_10,UP_CHOPPY,-22.0,142,34,-3.0,-13.0,-41.0,,129.0,,23.5,-73.5,-44.0,,
2025_07_20,FLAT_SMOOTH,-25.5,56,10,,,-31.0,,,,,0.0,5.5,,
2025_12_17,DOWN_CHOPPY,-26.5,124,30,-29.0,-110.0,-9.0,42.5,55.0,,33.0,-20.0,-16.0,27.0,
2025_03_18,DOWN_CHOPPY,-28.5,445,112,26.0,103.0,133.0,,-150.5,,-45.5,-74.0,-20.5,,
2025_10_16,DOWN_CHOPPY,-31.5,509,141,36.5,82.0,4.5,-75.5,96.5,,5.0,-104.0,-15.5,-61.0,
2025_08_20,FLAT_CHOPPY,-32.0,365,96,46.0,26.5,-39.0,23.0,59.0,,-71.0,1.5,-78.0,,
2025_06_01,DOWN_SMOOTH,-37.0,62,13,,-18.0,-25.0,,,,,7.5,-1.5,,
2025_02_16,FLAT_SMOOTH,-37.5,23,3,,,-24.5,,,,,-13.0,,,
2025_07_27,UP_SMOOTH,-38.0,53,7,,-1.0,-25.0,,,,0.0,10.5,-22.5,,
2025_05_20,DOWN_SMOOTH,-43.0,637,170,0.0,38.5,37.5,-27.0,-27.0,,-17.5,15.5,-63.0,,
2025_09_19,UP_SMOOTH,-51.0,41,16,,-44.0,-20.5,,,,,11.0,2.5,,
2025_07_25,FLAT_CHOPPY,-53.0,722,164,,15.5,-99.5,,,,,-20.5,51.5,,
