day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_05_22,FLAT_CHOPPY,-274.0,473,104,-36.5,95.5,-118.0,,-104.5,,-0.5,-104.5,-5.5,,
2025_10_02,UP_CHOPPY,-274.0,440,104,,33.5,-94.0,,,,-9.5,-132.0,-72.0,,
2025_02_14,FLAT_SMOOTH,-277.5,631,159,-1.0,7.5,-80.5,2.0,33.0,,-1.0,-171.0,-66.5,,
2025_12_12,DOWN_SMOOTH,-285.5,261,63,0.0,42.5,-178.0,-7.5,-7.5,,0.0,-79.0,-56.0,,
2025_05_01,FLAT_SMOOTH,-286.5,222,69,31.5,-23.5,-80.5,,-336.5,,16.5,38.0,68.0,,
2025_04_08,FLAT_CHOPPY,-291.5,130,35,,-9.5,-110.0,,,,-88.5,44.5,-128.0,,
2025_08_18,FLAT_SMOOTH,-309.0,699,176,,6.0,-74.5,,,,-108.5,-2.0,-130.0,,
2025_07_14,UP_SMOOTH,-334.0,643,172,18.5,-80.0,-81.0,-35.5,-169.5,,31.0,14.5,-0.5,-31.5,
2025_07_15,DOWN_CHOPPY,-340.5,654,170,-55.0,-60.5,-163.0,,51.5,,1.5,-31.5,-83.5,,
2025_04_24,UP_SMOOTH,-358.0,195,52,133.5,-84.5,-163.5,,-255.5,,8.0,-16.0,20.0,,
2025_03_20,FLAT_CHOPPY,-359.0,317,93,2.0,-54.0,-49.0,-65.0,6.0,-127.5,-7.0,26.5,-129.0,38.0,
2025_03_19,UP_SMOOTH,-367.5,491,107,21.5,-222.0,-109.5,,-126.0,,46.0,-79.5,102.0,,
2025_02_28,UP_CHOPPY,-368.0,200,48,0.0,-165.0,-133.5,,9.0,,-109.5,90.0,-59.0,,
2025_07_07,FLAT_CHOPPY,-378.0,663,165,,-19.5,-115.5,,,,-16.5,-101.5,-125.0,,
2025_04_23,FLAT_SMOOTH,-406.5,124,27,-11.5,-240.0,-277.0,91.0,-34.5,21.5,,31.0,-30.0,43.0,
2025_06_04,FLAT_SMOOTH,-420.0,691,171,10.5,-185.5,-184.0,,-3.0,,-45.0,81.0,-94.0,,
