**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,side,n_is,n_oos,P_up_IS,CI_IS_lo,CI_IS_hi,P_up_OOS,sign_match,mean_fwd_IS,mean_fwd_OOS,mean_abs_z,med_dur_min,IS_edge
L1_5m_body,above_+3sigma,544,154,0.5476,0.5058,0.5891,0.5192,1,11.38,2.83,4.66,2.54,0.047599999999999976
L2_15m_vol_sigma_12,below_-3sigma,1866,547,0.5428,0.5202,0.5654,0.5574,1,3.24,1.89,7.33,3.5,0.04279999999999995
L2_15m_price_velocity_12,below_-3sigma,1271,342,0.5405,0.513,0.5678,0.5407,1,1.07,5.08,6.12,3.08,0.04049999999999998
L2_5m_vol_velocity_9,below_-3sigma,573,119,0.5391,0.4983,0.5797,0.5041,1,1.54,-3.5,3.87,2.17,0.039100000000000024
L2_15m_vol_velocity_12,above_+3sigma,1472,370,0.5366,0.5111,0.562,0.4973,0,2.84,-0.84,8.34,3.67,0.036599999999999966
L2_15m_vol_velocity_12,below_-3sigma,1024,298,0.5361,0.5055,0.5665,0.5233,1,0.01,1.8,6.81,4.33,0.03610000000000002
L1_5m_body,below_-3sigma,693,127,0.5353,0.4981,0.5722,0.4961,0,0.42,-13.46,4.69,2.67,0.0353
L2_15m_vol_sigma_12,above_+3sigma,1513,396,0.5327,0.5075,0.5577,0.4849,0,1.96,-3.3,10.13,5.0,0.03269999999999995
L3_15m_hurst_12,below_-3sigma,1171,314,0.532,0.5034,0.5605,0.4873,0,1.95,-4.36,6.28,3.33,0.03200000000000003
L3_15m_swing_noise_12,below_-3sigma,1709,453,0.5313,0.5076,0.5549,0.5429,1,1.24,0.68,14.16,5.83,0.031299999999999994
L1_5m_vol_velocity_1b,below_-3sigma,287,64,0.5294,0.4718,0.5866,0.3939,0,2.39,-11.47,3.92,1.92,0.02939999999999998
L2_1h_price_velocity_12,below_-3sigma,1793,515,0.5276,0.5045,0.5506,0.499,0,1.91,-3.57,17.8,5.83,0.027599999999999958
L2_1h_vol_sigma_12,above_+3sigma,1633,399,0.526,0.5018,0.5502,0.5262,1,0.61,-1.26,20.8,5.83,0.026000000000000023
L2_5m_vol_velocity_9,above_+3sigma,1408,337,0.5248,0.4987,0.5508,0.5044,1,2.73,-1.36,6.28,3.5,0.024800000000000044
L2_1h_vol_sigma_12,below_-3sigma,2013,621,0.5236,0.5018,0.5454,0.5088,1,1.01,1.95,16.82,5.83,0.023599999999999954
L1_5m_bar_range,above_+3sigma,1850,428,0.5221,0.4994,0.5449,0.5209,1,1.61,-1.8,5.7,3.58,0.02210000000000001
L3_15m_swing_noise_12,above_+3sigma,1589,372,0.5211,0.4965,0.5456,0.4947,0,-1.03,-3.71,14.43,5.5,0.021100000000000008
L2_15m_price_velocity_12,above_+3sigma,1254,342,0.5191,0.4915,0.5467,0.4971,0,1.63,-0.19,5.98,3.08,0.019100000000000006
L3_15m_hurst_12,above_+3sigma,1482,373,0.5142,0.4887,0.5395,0.5093,1,2.91,3.67,6.5,3.58,0.01419999999999999
L2_1h_price_velocity_12,above_+3sigma,1771,493,0.5121,0.4889,0.5354,0.5313,1,-0.65,5.35,18.24,5.83,0.0121
L1_5m_vol_accel_1b,above_+3sigma,725,174,0.5103,0.474,0.5466,0.4943,0,0.52,-11.35,6.16,3.67,0.010299999999999976
L1_5m_vol_velocity_1b,above_+3sigma,1447,366,0.5093,0.4836,0.535,0.5217,1,0.65,-1.61,6.46,3.92,0.009299999999999975
L2_5m_vol_sigma_9,above_+3sigma,1732,436,0.5069,0.4834,0.5304,0.5114,1,1.72,-1.23,7.71,4.25,0.006900000000000017
L1_5m_vol_accel_1b,below_-3sigma,1303,305,0.5065,0.4794,0.5336,0.4788,0,0.49,-6.49,4.58,3.08,0.00649999999999995
L2_5m_vol_sigma_9,below_-3sigma,828,239,0.5036,0.4696,0.5376,0.5187,1,0.62,-0.99,4.53,2.75,0.0036000000000000476
