concept,tf,regime_2d,shift_s,n,corr
price_sigma_w,1m,UP_SMOOTH,4,6738,0.1591336841950066
price_sigma_w,1m,UP_SMOOTH,8,6738,0.19234311345618163
price_sigma_w,1m,UP_SMOOTH,12,6738,0.2037828346499519
price_sigma_w,1m,UP_CHOPPY,-12,3744,0.3161111570113326
price_sigma_w,1m,UP_CHOPPY,-8,3744,0.3458897437890727
price_sigma_w,1m,UP_CHOPPY,-4,3744,0.2133045788530514
price_sigma_w,1m,UP_CHOPPY,-2,3744,0.07212641171224228
price_sigma_w,1m,UP_CHOPPY,-1,3744,0.02584841536719856
price_sigma_w,1m,UP_CHOPPY,0,3744,0.05806617352162564
price_sigma_w,1m,UP_CHOPPY,1,3744,0.08219462545329877
price_sigma_w,1m,UP_CHOPPY,2,3744,0.06551077599612433
price_sigma_w,1m,UP_CHOPPY,4,3744,0.04882522151338016
price_sigma_w,1m,UP_CHOPPY,8,3744,0.054615283673730336
price_sigma_w,1m,UP_CHOPPY,12,3744,0.1204742128021041
price_sigma_w,1m,DOWN_SMOOTH,-12,4362,-0.40537852245984735
price_sigma_w,1m,DOWN_SMOOTH,-8,4362,-0.3520567132443651
price_sigma_w,1m,DOWN_SMOOTH,-4,4362,-0.25110231146038064
price_sigma_w,1m,DOWN_SMOOTH,-2,4362,-0.13976198506170462
price_sigma_w,1m,DOWN_SMOOTH,-1,4362,-0.10546492309039647
price_sigma_w,1m,DOWN_SMOOTH,0,4362,-0.10746542060788737
price_sigma_w,1m,DOWN_SMOOTH,1,4362,-0.08952167946526172
price_sigma_w,1m,DOWN_SMOOTH,2,4362,-0.08229096274417058
price_sigma_w,1m,DOWN_SMOOTH,4,4362,-0.050063017430305654
price_sigma_w,1m,DOWN_SMOOTH,8,4362,-0.03150733558782889
price_sigma_w,1m,DOWN_SMOOTH,12,4362,-0.02573501608118133
price_sigma_w,1m,DOWN_CHOPPY,-12,2844,-0.26387103112311183
price_sigma_w,1m,DOWN_CHOPPY,-8,2844,-0.22880425880874897
price_sigma_w,1m,DOWN_CHOPPY,-4,2844,-0.17388475690102964
price_sigma_w,1m,DOWN_CHOPPY,-2,2844,-0.09935063754392497
price_sigma_w,1m,DOWN_CHOPPY,-1,2844,-0.06306305277430517
price_sigma_w,1m,DOWN_CHOPPY,0,2844,-0.07335282661171857
price_sigma_w,1m,DOWN_CHOPPY,1,2844,-0.07843755379826876
price_sigma_w,1m,DOWN_CHOPPY,2,2844,-0.09163302306879825
price_sigma_w,1m,DOWN_CHOPPY,4,2844,-0.10923910383133037
price_sigma_w,1m,DOWN_CHOPPY,8,2844,-0.10383435720605647
price_sigma_w,1m,DOWN_CHOPPY,12,2844,-0.07118237339856132
price_sigma_w,1m,FLAT_SMOOTH,-12,9282,-0.2063166477040323
price_sigma_w,1m,FLAT_SMOOTH,-8,9282,-0.14880947678944328
price_sigma_w,1m,FLAT_SMOOTH,-4,9282,-0.08849112612449173
price_sigma_w,1m,FLAT_SMOOTH,-2,9280,-0.014346955438516783
price_sigma_w,1m,FLAT_SMOOTH,-1,9279,0.005448906643472533
price_sigma_w,1m,FLAT_SMOOTH,0,9278,0.008211199343561456
price_sigma_w,1m,FLAT_SMOOTH,1,9278,0.008030985961178384
price_sigma_w,1m,FLAT_SMOOTH,2,9278,-0.00024399003549005518
price_sigma_w,1m,FLAT_SMOOTH,4,9278,-0.016368001268690424
price_sigma_w,1m,FLAT_SMOOTH,8,9278,-0.01774700988568442
price_sigma_w,1m,FLAT_SMOOTH,12,9278,-0.031521835141430046
price_sigma_w,1m,FLAT_CHOPPY,-12,17463,-0.1666926255451123
price_sigma_w,1m,FLAT_CHOPPY,-8,17463,-0.1442462171331168
price_sigma_w,1m,FLAT_CHOPPY,-4,17463,-0.10512302148399286
price_sigma_w,1m,FLAT_CHOPPY,-2,17463,-0.05570934749673223
price_sigma_w,1m,FLAT_CHOPPY,-1,17463,-0.03594167679039801
price_sigma_w,1m,FLAT_CHOPPY,0,17463,-0.027813419147925345
price_sigma_w,1m,FLAT_CHOPPY,1,17462,-0.02122835420470187
price_sigma_w,1m,FLAT_CHOPPY,2,17461,-0.015277314416199693
price_sigma_w,1m,FLAT_CHOPPY,4,17459,-0.0032027964248443823
price_sigma_w,1m,FLAT_CHOPPY,8,17455,0.027946046692670708
price_sigma_w,1m,FLAT_CHOPPY,12,17451,0.02377047433526398
price_sigma_w,5m,UP_SMOOTH,-12,6738,0.6662584554975581
price_sigma_w,5m,UP_SMOOTH,-8,6738,0.6239813427255176
price_sigma_w,5m,UP_SMOOTH,-4,6738,0.3846467588617311
price_sigma_w,5m,UP_SMOOTH,-2,6738,0.27147086208989796
price_sigma_w,5m,UP_SMOOTH,-1,6738,0.22898246760261076
price_sigma_w,5m,UP_SMOOTH,0,6738,0.20765972966824658
price_sigma_w,5m,UP_SMOOTH,1,6738,0.1896895278424538
