concept,tf,regime_2d,peak_shift,peak_corr,contemp_corr,role,lift_vs_contemp
price_velocity_w,5m,UP_SMOOTH,-12,0.9011963506615597,0.11459038018077079,lagging,0.7866059704807888
price_velocity_w,5m,FLAT_CHOPPY,-12,0.8668327269601368,-0.013102523690748288,lagging,0.8537302032693885
price_velocity_w,5m,DOWN_SMOOTH,-12,0.860190862564753,-0.07974116922943339,lagging,0.7804496933353195
price_velocity_w,5m,FLAT_SMOOTH,-12,0.8513233552771021,-0.06594154400767788,lagging,0.7853818112694242
price_velocity_w,5m,DOWN_CHOPPY,-12,0.8399832168669018,-0.03290941319284063,lagging,0.8070738036740612
price_velocity_w,5m,UP_CHOPPY,-12,0.751567128066003,-0.23107645357055964,lagging,0.5204906744954434
price_sigma_w,5m,UP_SMOOTH,-12,0.6662584554975581,0.20765972966824658,lagging,0.45859872582931155
swing_noise_w,1m,UP_SMOOTH,-12,0.5998713954752846,0.24615832144121974,lagging,0.3537130740340648
price_velocity_1b,15m,UP_SMOOTH,-12,0.5662160445824397,0.07379383856551319,lagging,0.4924222060169265
price_velocity_w,1m,UP_SMOOTH,-8,0.562769412996934,0.10506290849769756,lagging,0.4577065044992364
body,15m,UP_SMOOTH,-12,0.5617433352125242,0.07726611433221896,lagging,0.4844772208803052
z_se_w,15m,DOWN_CHOPPY,-12,0.5495686433646555,-0.0010648058837502059,lagging,0.5485038374809053
swing_noise_w,5m,UP_SMOOTH,-12,0.5467945059795714,0.22622798963039412,lagging,0.3205665163491772
z_se_w,15m,FLAT_SMOOTH,-12,0.5358204307182584,-0.019562969692773283,lagging,0.5162574610254851
bar_range,15m,UP_SMOOTH,-12,0.5326103026690365,0.22479456799374772,lagging,0.3078157346752888
z_se_w,15m,DOWN_SMOOTH,-12,0.5289625499674311,-0.05327019504480916,lagging,0.4756923549226219
price_velocity_w,15m,UP_SMOOTH,-12,0.5215004357475134,0.08211615309749407,lagging,0.4393842826500193
z_se_w,15m,FLAT_CHOPPY,-12,0.513425488007042,-0.02306868680508732,lagging,0.4903568012019547
price_sigma_w,1m,UP_SMOOTH,-8,0.5126333017434879,0.23010229940847882,lagging,0.28253100233500905
price_velocity_1b,15m,DOWN_SMOOTH,-8,0.5088752829675133,-0.03789001851286413,lagging,0.47098526445464917
body,15m,DOWN_SMOOTH,-8,0.5084872293642243,-0.04733017840725983,lagging,0.46115705095696446
price_velocity_w,1m,FLAT_CHOPPY,-4,0.5048011583554348,0.013471884441363678,lagging,0.49132927391407116
price_velocity_w,1m,DOWN_SMOOTH,-8,0.5015313190045356,-0.01712968047742384,lagging,0.48440163852711177
price_velocity_w,1m,UP_CHOPPY,-4,0.4998455876309461,-0.191769424440128,lagging,0.3080761631908181
price_velocity_1b,15m,FLAT_CHOPPY,-8,0.49865546755398554,-0.00013600709670904006,lagging,0.4985194604572765
price_sigma_w,5m,DOWN_SMOOTH,-12,-0.4976333873040607,-0.0568134290995415,lagging,0.4408199582045192
body,15m,FLAT_CHOPPY,-8,0.49731005083481755,-0.0008894734308828992,lagging,0.49642057740393464
price_velocity_w,1m,DOWN_CHOPPY,-8,0.49595126114743787,-0.036463071292380855,lagging,0.459488189855057
vol_mean_w,1m,DOWN_SMOOTH,-12,-0.48807587421824317,-0.14150376364050946,lagging,0.34657211057773374
bar_range,5m,UP_SMOOTH,-8,0.48655107716973,0.27990577808368977,lagging,0.20664529908604024
price_velocity_w,1m,FLAT_SMOOTH,-4,0.4861522987428149,-0.054193635187264846,lagging,0.43195866355555007
price_velocity_1b,15m,DOWN_CHOPPY,-12,0.48119440666916174,-0.03170092595676929,lagging,0.4494934807123925
price_velocity_1b,1h,FLAT_CHOPPY,-12,0.47667949090926126,-0.07868579670821904,lagging,0.39799369420104225
body,1h,FLAT_CHOPPY,-12,0.47627931620470093,-0.07829790762705512,lagging,0.3979814085776458
body,15m,DOWN_CHOPPY,-12,0.4753713615754908,-0.0350864959938417,lagging,0.44028486558164914
swing_noise_w,5s,UP_SMOOTH,-12,0.46897725344328206,0.2690743613948143,lagging,0.19990289204846778
bar_range,1m,UP_SMOOTH,-12,0.46477956223962796,0.2525309895868249,lagging,0.21224857265280306
body,1h,UP_SMOOTH,-12,0.46341829832170245,0.09739111566412509,lagging,0.3660271826575774
price_velocity_1b,15m,FLAT_SMOOTH,-8,0.4602622418362375,-0.030431880755567374,lagging,0.42983036108067013
body,15m,FLAT_SMOOTH,-8,0.4592806281572437,-0.044174803293315267,lagging,0.41510582486392844
