shape,cluster_id,n,pct
NOISE,NOISE,19,5.5
NOISE,C0,160,46.4
NOISE,C1,166,48.1
FLATLINE,NOISE,53,18.8
FLATLINE,C0,37,13.1
FLATLINE,C1,89,31.6
FLATLINE,C2,103,36.5
GENTLE_LINEAR_UP,NOISE,42,18.2
GENTLE_LINEAR_UP,C0,101,43.7
GENTLE_LINEAR_UP,C1,88,38.1
GENTLE_LINEAR_DOWN,NOISE,91,48.1
GENTLE_LINEAR_DOWN,C0,55,29.1
GENTLE_LINEAR_DOWN,C1,43,22.8
GENTLE_CONCAVE_UP,NOISE,53,29.8
GENTLE_CONCAVE_UP,C0,47,26.4
GENTLE_CONCAVE_UP,C1,78,43.8
GENTLE_CONVEX_DOWN,NOISE,139,100.0
