**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,pair,c1,c2,abs_min,abs_max,spread_abs,r_min,r_max,sign_flip
5s,price_mean_w__vwap_w,price_mean_w,vwap_w,0.999999672096154,0.9999999097088496,2.376126955194735e-07,0.999999672096154,0.9999999097088496,False
15s,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9999989967067702,0.9999997078162112,7.11109440998392e-07,0.9999989967067702,0.9999997078162112,False
1m,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9999865004271292,0.9999972134647575,1.0713037628229394e-05,0.9999865004271292,0.9999972134647575,False
5m,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9999699341844985,0.9999911979998639,2.1263815365379912e-05,0.9999699341844985,0.9999911979998639,False
15m,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9998917010673724,0.9999623702843498,7.066921697740369e-05,0.9998917010673724,0.9999623702843498,False
4h,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9984231863597388,0.9997759922992087,0.0013528059394698477,0.9984231863597388,0.9997759922992087,False
1h,price_mean_w__vwap_w,price_mean_w,vwap_w,0.99896895349314,0.9996858276886159,0.0007168741954759472,0.99896895349314,0.9996858276886159,False
1D,price_mean_w__vwap_w,price_mean_w,vwap_w,0.9976467746658366,0.9996126430392838,0.001965868373447144,0.9976467746658366,0.9996126430392838,False
1m,price_velocity_1b__body,price_velocity_1b,body,0.9954650184047482,0.9988652317311223,0.0034002133263740797,0.9954650184047482,0.9988652317311223,False
15s,price_velocity_1b__body,price_velocity_1b,body,0.9613702473839452,0.9747791570090536,0.013408909625108434,0.9613702473839452,0.9747791570090536,False
1m,SE_high_w__SE_low_w,SE_high_w,SE_low_w,0.9457044075458407,0.9741459664707327,0.028441558924891974,0.9457044075458407,0.9741459664707327,False
15s,SE_high_w__SE_low_w,SE_high_w,SE_low_w,0.9132740271425129,0.9629386033526056,0.04966457621009268,0.9132740271425129,0.9629386033526056,False
5s,vol_velocity_1b__vol_accel_1b,vol_velocity_1b,vol_accel_1b,0.904674805163712,0.9450564036899766,0.04038159852626455,0.904674805163712,0.9450564036899766,False
5s,vol_mean_w__vol_sigma_w,vol_mean_w,vol_sigma_w,0.9147064349942964,0.9342150225307213,0.019508587536424926,0.9147064349942964,0.9342150225307213,False
1m,z_se_w__z_low_w,z_se_w,z_low_w,0.8608772981768759,0.8771064751189015,0.016229176942025636,0.8608772981768759,0.8771064751189015,False
1m,z_high_w__z_low_w,z_high_w,z_low_w,0.8549966744568543,0.876641201805437,0.021644527348582687,0.8549966744568543,0.876641201805437,False
1m,vol_mean_w__vol_sigma_w,vol_mean_w,vol_sigma_w,0.8430068822169628,0.8744987165975422,0.03149183438057934,0.8430068822169628,0.8744987165975422,False
1m,z_se_w__z_high_w,z_se_w,z_high_w,0.8598041051413521,0.8724621290975042,0.01265802395615212,0.8598041051413521,0.8724621290975042,False
5s,price_sigma_w__SE_high_w,price_sigma_w,SE_high_w,0.8141033621732005,0.8608112746203466,0.046707912447146116,0.8141033621732005,0.8608112746203466,False
15s,z_se_w__z_low_w,z_se_w,z_low_w,0.8291230703625196,0.8497533110991659,0.02063024073664621,0.8291230703625196,0.8497533110991659,False
15s,z_se_w__z_high_w,z_se_w,z_high_w,0.833342835563172,0.8488553507259124,0.015512515162740437,0.833342835563172,0.8488553507259124,False
15m,vol_mean_w__vol_sigma_w,vol_mean_w,vol_sigma_w,0.7946150783992658,0.844147623405245,0.049532545005979145,0.7946150783992658,0.844147623405245,False
15m,z_se_w__z_high_w,z_se_w,z_high_w,0.7946575877515284,0.8333285750300006,0.03867098727847218,0.7946575877515284,0.8333285750300006,False
1m,vol_velocity_1b__vol_accel_1b,vol_velocity_1b,vol_accel_1b,0.8022102693582295,0.828492063297962,0.026281793939732512,0.8022102693582295,0.828492063297962,False
15s,z_high_w__z_low_w,z_high_w,z_low_w,0.7896674846766442,0.8196190461263231,0.02995156144967892,0.7896674846766442,0.8196190461263231,False
5s,z_se_w__z_low_w,z_se_w,z_low_w,0.8063070287510435,0.8187086856098669,0.012401656858823329,0.8063070287510435,0.8187086856098669,False
5s,z_se_w__z_high_w,z_se_w,z_high_w,0.7946774845132661,0.8138537016343326,0.01917621712106643,0.7946774845132661,0.8138537016343326,False
15m,z_high_w__z_low_w,z_high_w,z_low_w,0.7682560572335232,0.8125948957812374,0.044338838547714254,0.7682560572335232,0.8125948957812374,False
5m,z_se_w__z_low_w,z_se_w,z_low_w,0.7560115915491393,0.8011156825409921,0.04510409099185275,0.7560115915491393,0.8011156825409921,False
15m,vol_velocity_1b__vol_accel_1b,vol_velocity_1b,vol_accel_1b,0.7666373974064669,0.7995649542777407,0.0329275568712738,0.7666373974064669,0.7995649542777407,False
5m,z_se_w__z_high_w,z_se_w,z_high_w,0.7523189832812698,0.7990525997300003,0.04673361644873053,0.7523189832812698,0.7990525997300003,False
5m,vol_mean_w__vol_sigma_w,vol_mean_w,vol_sigma_w,0.7448474829169794,0.794776097060976,0.04992861414399652,0.7448474829169794,0.794776097060976,False
5m,vol_velocity_1b__vol_accel_1b,vol_velocity_1b,vol_accel_1b,0.7689576572307538,0.7859604007877424,0.01700274355698861,0.7689576572307538,0.7859604007877424,False
5m,z_high_w__z_low_w,z_high_w,z_low_w,0.7633774104898758,0.7764195937403772,0.013042183250501327,0.7633774104898758,0.7764195937403772,False
5s,z_high_w__z_low_w,z_high_w,z_low_w,0.7284942808519442,0.7444918497622559,0.015997568910311677,0.7284942808519442,0.7444918497622559,False
5m,price_velocity_1b__price_accel_1b,price_velocity_1b,price_accel_1b,0.6958276754677952,0.7335102968460157,0.03768262137822043,0.6958276754677952,0.7335102968460157,False
15m,vol_velocity_1b__vol_accel_w,vol_velocity_1b,vol_accel_w,0.6989830974129363,0.7293250163851505,0.030341918972214166,0.6989830974129363,0.7293250163851505,False
5m,vol_velocity_1b__vol_accel_w,vol_velocity_1b,vol_accel_w,0.6917109300976506,0.7269046575327279,0.035193727435077315,0.6917109300976506,0.7269046575327279,False
1m,price_velocity_1b__price_accel_w,price_velocity_1b,price_accel_w,0.6705912964691972,0.7183378741778941,0.047746577708696836,0.6705912964691972,0.7183378741778941,False
1m,body__price_accel_w,body,price_accel_w,0.6688427882735678,0.7161821743590975,0.04733938608552968,0.6688427882735678,0.7161821743590975,False
1m,vol_velocity_1b__vol_accel_w,vol_velocity_1b,vol_accel_w,0.6895505640915298,0.7125442356873084,0.022993671595778586,0.6895505640915298,0.7125442356873084,False
5s,price_velocity_1b__price_accel_w,price_velocity_1b,price_accel_w,0.6349232380659262,0.6832622130102687,0.04833897494434247,0.6349232380659262,0.6832622130102687,False
15s,price_velocity_1b__price_accel_w,price_velocity_1b,price_accel_w,0.6256373156796557,0.6620052743290462,0.036367958649390464,0.6256373156796557,0.6620052743290462,False
15s,body__price_accel_w,body,price_accel_w,0.6156974408460144,0.6464131490583512,0.030715708212336823,0.6156974408460144,0.6464131490583512,False
1m,vol_accel_1b__vol_accel_w,vol_accel_1b,vol_accel_w,0.5661802106791126,0.6030634480903316,0.036883237411219016,0.5661802106791126,0.6030634480903316,False
15m,vol_accel_1b__vol_accel_w,vol_accel_1b,vol_accel_w,0.5391155427235071,0.557919032593148,0.018803489869640866,0.5391155427235071,0.557919032593148,False
5m,price_accel_1b__price_accel_w,price_accel_1b,price_accel_w,0.48593368481421906,0.5295601783349717,0.04362649352075265,0.48593368481421906,0.5295601783349717,False
1m,price_accel_1b__price_accel_w,price_accel_1b,price_accel_w,0.47629997223736736,0.5106650053339751,0.03436503309660771,0.47629997223736736,0.5106650053339751,False
1h,vol_accel_1b__vol_accel_w,vol_accel_1b,vol_accel_w,0.4561043364283832,0.4940235933433537,0.0379192569149705,0.4561043364283832,0.4940235933433537,False
5m,vol_velocity_w__vol_accel_w,vol_velocity_w,vol_accel_w,0.36874349799249373,0.39556116804331987,0.026817670050826137,0.36874349799249373,0.39556116804331987,False
5m,vol_velocity_1b__vol_velocity_w,vol_velocity_1b,vol_velocity_w,0.3209678562305999,0.3471608308821051,0.026192974651505163,0.3209678562305999,0.3471608308821051,False
