**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,pair,c1,c2,r_min,r_max,regime_min,regime_max,n_regimes,spread
1h,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.8375531557001195,0.8872957470571535,DOWN_SMOOTH,UP_SMOOTH,6,1.724848902757273
15m,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.8077892226610971,0.8461087583218551,DOWN_SMOOTH,UP_SMOOTH,6,1.6538979809829522
4h,bar_range__body,bar_range,body,-0.7464758514960421,0.8347855253493872,DOWN_SMOOTH,UP_SMOOTH,6,1.5812613768454293
4h,price_velocity_1b__bar_range,price_velocity_1b,bar_range,-0.7328031924929814,0.8254385236980788,DOWN_SMOOTH,UP_SMOOTH,6,1.5582417161910602
1h,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.7510253569156315,0.7664648976615622,DOWN_SMOOTH,UP_SMOOTH,6,1.5174902545771938
15m,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.7340753062552551,0.7605053732901337,DOWN_SMOOTH,UP_SMOOTH,6,1.4945806795453889
1D,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.9051548958845654,0.588534660420894,UP_CHOPPY,FLAT_SMOOTH,6,1.4936895563054593
1h,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,-0.6852153412026505,0.8010091734498316,DOWN_SMOOTH,UP_SMOOTH,6,1.486224514652482
15m,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.6988279965587822,0.787214068736512,DOWN_SMOOTH,UP_SMOOTH,6,1.4860420652952944
1h,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,-0.6405956783087119,0.8245052929244543,DOWN_SMOOTH,UP_SMOOTH,6,1.4651009712331662
4h,bar_range__price_accel_w,bar_range,price_accel_w,-0.5973376333962777,0.7585584442475752,DOWN_SMOOTH,UP_SMOOTH,6,1.355896077643853
4h,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.83096887601684,0.49760862347642054,DOWN_SMOOTH,FLAT_SMOOTH,6,1.3285774994932606
5m,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,-0.624167136031266,0.7033909717447528,DOWN_SMOOTH,UP_SMOOTH,6,1.3275581077760188
1h,bar_range__body,bar_range,body,-0.5902457798963615,0.7124664536738344,DOWN_SMOOTH,UP_SMOOTH,6,1.302712233570196
1h,price_velocity_1b__bar_range,price_velocity_1b,bar_range,-0.5997344811708337,0.6960084615130614,DOWN_SMOOTH,UP_SMOOTH,6,1.2957429426838951
4h,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,-0.7963576643449901,0.44216889688589417,UP_CHOPPY,FLAT_SMOOTH,6,1.2385265612308842
