**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,pair,c1,c2,abs_min,abs_max,spread_abs,r_min,r_max,sign_flip
1D,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,0.026946083235098957,0.8585315076639792,0.8315854244288803,-0.8585315076639792,0.20639256156979824,True
1D,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,0.0831407670682655,0.9051548958845654,0.8220141288163,-0.9051548958845654,0.588534660420894,True
1h,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,0.016190864573067183,0.8010091734498316,0.7848183088767644,-0.6852153412026505,0.8010091734498316,True
4h,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,0.016055111206524447,0.7963576643449901,0.7803025531384656,-0.7963576643449901,0.44216889688589417,True
1D,vol_velocity_w__vol_accel_w,vol_velocity_w,vol_accel_w,0.08979752002627205,0.8369712892724096,0.7471737692461375,0.08979752002627205,0.8369712892724096,False
1h,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,0.1723435532249582,0.8872957470571535,0.7149521938321953,-0.8375531557001195,0.8872957470571535,True
4h,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,0.05308494055227139,0.7609052803150538,0.7078203397627824,-0.7609052803150538,0.14841989200686212,True
4h,price_velocity_w__vol_sigma_w,price_velocity_w,vol_sigma_w,0.04838740583236105,0.7468622128956127,0.6984748070632517,-0.7468622128956127,0.09554149784403089,True
1D,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,0.13013228677494493,0.8233179773980808,0.6931856906231358,-0.8233179773980808,0.36209326188058855,True
4h,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,0.1411960242835054,0.83096887601684,0.6897728517333346,-0.83096887601684,0.49760862347642054,True
1D,price_accel_1b__SE_high_w,price_accel_1b,SE_high_w,0.010199897996770768,0.693426781006624,0.6832268830098532,-0.11945512156561608,0.693426781006624,True
1D,vol_accel_1b__price_velocity_w,vol_accel_1b,price_velocity_w,0.04313511488570533,0.7231431561411573,0.680008041255452,-0.1419991578156437,0.7231431561411573,True
1h,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,0.15409080361942987,0.8245052929244543,0.6704144893050245,-0.6405956783087119,0.8245052929244543,True
4h,price_velocity_1b__bar_range,price_velocity_1b,bar_range,0.16461148113664772,0.8254385236980788,0.6608270425614311,-0.7328031924929814,0.8254385236980788,True
1D,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,0.1694223351985191,0.8226821673380077,0.6532598321394886,-0.8226821673380077,0.3674223084344873,True
4h,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,0.05451732723529342,0.7049865225931318,0.6504691953578383,-0.7049865225931318,0.4731114257284999,True
1D,bar_range__SE_low_w,bar_range,SE_low_w,0.09357088349283453,0.7181819237247514,0.6246110402319169,0.09357088349283453,0.7181819237247514,False
4h,bar_range__body,bar_range,body,0.23060632261904215,0.8347855253493872,0.6041792027303451,-0.7464758514960421,0.8347855253493872,True
1D,vol_accel_1b__price_accel_w,vol_accel_1b,price_accel_w,0.0669453520083573,0.6701364235732818,0.6031910715649246,-0.4629281506418644,0.6701364235732818,True
4h,bar_range__price_velocity_w,bar_range,price_velocity_w,0.06303281579183327,0.6628525406595364,0.5998197248677031,-0.6628525406595364,0.15350265688358353,True
1D,price_sigma_w__vol_mean_w,price_sigma_w,vol_mean_w,0.3304997002474421,0.925324541556601,0.594824841309159,0.3304997002474421,0.925324541556601,False
1D,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,0.2448813811841133,0.8328812825789259,0.5879999013948126,-0.8328812825789259,0.3272471870717236,True
15m,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,0.25928527606881907,0.8461087583218551,0.586823482253036,-0.8077892226610971,0.8461087583218551,True
15m,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,0.20423941320376135,0.787214068736512,0.5829746555327506,-0.6988279965587822,0.787214068736512,True
1D,vol_accel_1b__z_se_w,vol_accel_1b,z_se_w,0.006629887698068207,0.5888037395894177,0.5821738518913495,-0.14077451149848627,0.5888037395894177,True
1h,price_velocity_w__swing_noise_w,price_velocity_w,swing_noise_w,0.19101171270333064,0.7664648976615622,0.5754531849582316,-0.7510253569156315,0.7664648976615622,True
1D,price_velocity_1b__z_low_w,price_velocity_1b,z_low_w,0.0010663676615086206,0.5678466053481486,0.56678023768664,0.0010663676615086206,0.5678466053481486,False
1D,bar_range__SE_high_w,bar_range,SE_high_w,0.23812504613898872,0.8015199503468811,0.5633949042078923,0.23812504613898872,0.8015199503468811,False
1D,body__price_velocity_w,body,price_velocity_w,0.07136400428172188,0.6285052488521786,0.5571412445704568,0.07136400428172188,0.6285052488521786,False
1h,price_velocity_w__vol_mean_w,price_velocity_w,vol_mean_w,0.12599767458555783,0.6822117692361835,0.5562140946506258,-0.6822117692361835,0.5480840976736608,True
1D,price_velocity_1b__bar_range,price_velocity_1b,bar_range,0.11698891317913125,0.6678344182573849,0.5508455050782536,-0.6678344182573849,0.5085170258363532,True
1D,body__z_low_w,body,z_low_w,0.021217689465509653,0.5679964520091217,0.5467787625436121,-0.021217689465509653,0.5679964520091217,False
1D,vol_accel_1b__body,vol_accel_1b,body,0.04929074571409971,0.5942261802234459,0.5449354345093461,-0.27132567707396027,0.5942261802234459,True
1D,price_accel_1b__vol_mean_w,price_accel_1b,vol_mean_w,0.002531864517469578,0.5404658151648327,0.5379339506473632,-0.18970266023264934,0.5404658151648327,True
1h,price_velocity_1b__bar_range,price_velocity_1b,bar_range,0.15901865001871718,0.6960084615130614,0.5369898114943442,-0.5997344811708337,0.6960084615130614,True
1h,bar_range__body,bar_range,body,0.17737631057008624,0.7124664536738344,0.5350901431037483,-0.5902457798963615,0.7124664536738344,True
1D,bar_range__vol_mean_w,bar_range,vol_mean_w,0.22550152424521266,0.7587999838883833,0.5332984596431707,0.22550152424521266,0.7587999838883833,False
4h,price_velocity_w__vwap_w,price_velocity_w,vwap_w,0.016100865720798642,0.547226635376755,0.5311257696559564,-0.1860754673774297,0.547226635376755,True
1D,SE_low_w__reversion_prob_w,SE_low_w,reversion_prob_w,0.0274105997733732,0.5567794868299301,0.5293688870565568,-0.0982426042731532,0.5567794868299301,True
5m,price_velocity_w__SE_high_w,price_velocity_w,SE_high_w,0.10045312419131401,0.6292951873702396,0.5288420631789256,-0.4821724862674416,0.6292951873702396,True
4h,price_velocity_w__price_mean_w,price_velocity_w,price_mean_w,0.02081275311761906,0.5485629693577804,0.5277502162401613,-0.19276367346045806,0.5485629693577804,True
5m,price_velocity_w__price_sigma_w,price_velocity_w,price_sigma_w,0.17628319876636858,0.7033909717447528,0.5271077729783843,-0.624167136031266,0.7033909717447528,True
1D,vol_sigma_w__swing_noise_w,vol_sigma_w,swing_noise_w,0.2782802434006651,0.8028575828282305,0.5245773394275655,0.2782802434006651,0.8028575828282305,False
4h,price_velocity_1b__z_low_w,price_velocity_1b,z_low_w,0.024634502624423318,0.5480024563096096,0.5233679536851863,-0.024634502624423318,0.5480024563096096,False
1D,vol_velocity_1b__price_velocity_w,vol_velocity_1b,price_velocity_w,0.049270349589921714,0.5651993909279313,0.5159290413380095,-0.30219694187695356,0.5651993909279313,True
4h,z_high_w__reversion_prob_w,z_high_w,reversion_prob_w,0.022978933877988675,0.5384063049270148,0.5154273710490261,-0.5384063049270148,0.35588973054034045,True
1D,bar_range__price_sigma_w,bar_range,price_sigma_w,0.33002214741359204,0.8452008716033931,0.515178724189801,0.33002214741359204,0.8452008716033931,False
15m,price_velocity_w__SE_low_w,price_velocity_w,SE_low_w,0.24541968011789456,0.7605053732901337,0.5150856931722392,-0.7340753062552551,0.7605053732901337,True
