**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

epoch,train_loss,train_acc,val_acc,sec
1,1.0664242248155134,0.3231905665492003,0.33812885354302563,2.407668352127075
2,1.0324266815805991,0.40488614800759015,0.3553748547940309,1.9466619491577148
3,0.9749895062476324,0.49179994578476555,0.415780537932267,2.0013716220855713
4,0.8932872483581021,0.5810856600704798,0.40612992583325885,1.9300332069396973
5,0.8020028169480208,0.6463133640552995,0.4054150656777768,2.0588061809539795
6,0.7351995343824621,0.6874491732176742,0.4204271289429005,1.9299919605255127
7,0.6694838668505781,0.7225874220656004,0.4401751407380931,1.7944238185882568
8,0.6169047931016832,0.7443751694226077,0.42578858010901616,1.9604811668395996
9,0.569474724887606,0.7691108701545134,0.42811187561433295,1.7994883060455322
10,0.5227084549284783,0.7858159392789373,0.4474130998123492,1.8589403629302979
11,0.484754875362905,0.8009623204120357,0.4385667053882584,1.814845323562622
12,0.44604062589729143,0.8192599620493358,0.4363327674023769,1.9224348068237305
13,0.4152141853977135,0.8289509352127948,0.43266910910553125,1.8228247165679932
