date,daily_pnl,n_trades,win_rate
2025-12-17,-182.0,18,0.5
2025-12-18,-1193.0,18,0.2222222222222222
2025-12-19,8.0,2,0.5
2026-01-01,94.5,4,0.75
2026-01-02,-559.5,9,0.3333333333333333
2026-01-04,-2.0,4,0.25
2026-01-05,-143.5,18,0.4444444444444444
2026-01-06,-167.0,17,0.5294117647058824
2026-01-07,-81.0,17,0.5294117647058824
2026-01-08,119.5,18,0.5
2026-01-09,85.5,8,0.375
2026-01-11,-75.0,4,0.25
2026-01-12,317.0,18,0.5
2026-01-13,276.5,17,0.4117647058823529
2026-01-14,-244.0,18,0.4444444444444444
2026-01-15,-380.5,18,0.5
2026-01-16,-228.5,9,0.4444444444444444
2026-01-18,36.5,4,0.75
2026-01-19,-48.0,14,0.42857142857142855
2026-01-20,152.0,15,0.6
2026-01-21,964.5,18,0.5
2026-01-22,313.0,18,0.4444444444444444
2026-01-23,-306.5,9,0.3333333333333333
2026-01-25,144.5,4,0.75
2026-01-26,-111.0,18,0.4444444444444444
2026-01-27,16.0,17,0.5882352941176471
2026-01-28,351.0,17,0.6470588235294118
2026-01-29,614.0,18,0.6111111111111112
2026-01-30,-545.0,9,0.3333333333333333
2026-02-01,-86.0,4,0.5
2026-02-02,-770.5,18,0.4444444444444444
2026-02-03,-1569.0,18,0.3888888888888889
2026-02-04,-108.0,18,0.5555555555555556
2026-02-05,1709.5,18,0.6111111111111112
2026-02-06,861.5,9,0.7777777777777778
2026-02-08,161.5,4,1.0
2026-02-09,-186.0,18,0.3333333333333333
2026-02-10,-122.5,18,0.4444444444444444
2026-02-11,-25.5,18,0.5555555555555556
2026-02-12,-476.0,18,0.5555555555555556
2026-02-13,332.0,9,0.5555555555555556
2026-02-15,81.5,4,0.5
2026-02-16,-609.0,14,0.2857142857142857
2026-02-17,153.0,18,0.6666666666666666
2026-02-18,292.5,18,0.5
2026-02-19,-14.5,17,0.5294117647058824
2026-02-20,546.0,9,0.5555555555555556
2026-02-22,87.0,3,0.3333333333333333
2026-02-23,66.0,17,0.6470588235294118
2026-02-24,519.0,18,0.6111111111111112
2026-02-25,956.5,17,0.7647058823529411
2026-02-26,-446.0,18,0.4444444444444444
2026-02-27,197.0,9,0.4444444444444444
2026-03-01,-471.5,4,0.25
2026-03-02,-500.5,18,0.5
2026-03-03,-454.5,18,0.3333333333333333
2026-03-04,-109.5,18,0.6111111111111112
2026-03-05,725.5,18,0.6666666666666666
2026-03-06,-273.5,9,0.4444444444444444
2026-03-08,-49.0,4,0.75
2026-03-09,421.5,18,0.5555555555555556
2026-03-10,-297.0,18,0.3888888888888889
2026-03-11,-522.0,18,0.4444444444444444
2026-03-12,-187.0,18,0.5
2026-03-13,-678.5,9,0.3333333333333333
2026-03-15,99.0,3,0.6666666666666666
2026-03-16,-216.5,18,0.4444444444444444
2026-03-17,-197.5,18,0.4444444444444444
2026-03-18,-1077.0,18,0.4444444444444444
2026-03-19,741.5,18,0.5555555555555556
2026-03-20,27.0,2,0.5
