shape,cluster_id,n,pct
NOISE,C0,530,52.1
NOISE,C1,487,47.9
FLATLINE,NOISE,22,6.8
FLATLINE,C0,77,23.8
FLATLINE,C1,40,12.4
FLATLINE,C2,79,24.5
FLATLINE,C3,105,32.5
STEEP_LINEAR_UP,C0,33,12.2
STEEP_LINEAR_UP,C1,38,14.0
STEEP_LINEAR_UP,C2,200,73.8
STEEP_LINEAR_DOWN,C0,46,17.0
STEEP_LINEAR_DOWN,C1,36,13.3
STEEP_LINEAR_DOWN,C2,57,21.0
STEEP_LINEAR_DOWN,C3,132,48.7
GENTLE_CONCAVE_UP,C0,63,23.8
GENTLE_CONCAVE_UP,C1,202,76.2
GENTLE_LINEAR_UP,NOISE,24,9.7
GENTLE_LINEAR_UP,C0,169,68.4
GENTLE_LINEAR_UP,C1,54,21.9
GENTLE_LINEAR_DOWN,NOISE,20,10.4
GENTLE_LINEAR_DOWN,C0,73,37.8
GENTLE_LINEAR_DOWN,C1,100,51.8
GENTLE_CONVEX_DOWN,C0,40,24.1
GENTLE_CONVEX_DOWN,C1,126,75.9
GENTLE_CONVEX_UP,NOISE,24,15.1
GENTLE_CONVEX_UP,C0,48,30.2
GENTLE_CONVEX_UP,C1,38,23.9
GENTLE_CONVEX_UP,C2,49,30.8
STEEP_CONCAVE_UP,NOISE,28,21.4
STEEP_CONCAVE_UP,C0,34,26.0
STEEP_CONCAVE_UP,C1,69,52.7
STEEP_CONVEX_DOWN,NOISE,53,40.8
STEEP_CONVEX_DOWN,C0,47,36.2
STEEP_CONVEX_DOWN,C1,30,23.1
GENTLE_CONCAVE_DOWN,NOISE,7,5.5
GENTLE_CONCAVE_DOWN,C0,42,32.8
GENTLE_CONCAVE_DOWN,C1,79,61.7
STEEP_CONCAVE_DOWN,NOISE,97,100.0
STEEP_CONVEX_UP,NOISE,81,100.0
