DMI Sample Size Research -- 2026-03-16 15:46:45.539137
     tf  period  sample_min  crosses   accuracy     avg_mfe    avg_mae     ratio
0    1s       7    0.116667   146605  81.038164   48.088107  48.194802  0.997786
1    1s      10    0.166667   109501  81.059534   47.719409  47.776924  0.998796
2    1s      14    0.233333    79900  80.857322   47.204330  47.229925  0.999458
3    1s      21    0.350000    50243  80.749557   46.196366  46.149135  1.001023
4    1s      30    0.500000    30063  80.008649   44.726474  45.826597  0.975994
5    1s      50    0.833333    11340  79.964727   42.127072  43.952557  0.958467
6    5s       7    0.583333    28924  79.428848   42.799544  43.301722  0.988403
7    5s      10    0.833333    20746  79.128507   42.245782  42.956570  0.983453
8    5s      14    1.166667    14114  78.843701   41.602947  42.278730  0.984016
9    5s      21    1.750000     7954  78.564244   40.720267  41.843224  0.973163
10   5s      30    2.500000     4036  77.527255   39.058226  40.982408  0.953049
11   5s      50    4.166667     1149  75.630983   37.684073  42.172324  0.893574
12  15s       7    1.750000    10211  78.258741   41.565371  43.842523  0.948061
13  15s      10    2.500000     7112  78.051181   42.173510  43.566648  0.968023
14  15s      14    3.500000     4750  77.726316   41.326947  43.107368  0.958698
15  15s      21    5.250000     2550  75.764706   40.438431  43.719608  0.924950
16  15s      30    7.500000     1239  74.979822   38.476190  44.463277  0.865348
17  15s      50   12.500000      326  74.233129   43.726994  46.217791  0.946107
18  30s       7    3.500000     5070  84.871795   47.325444  38.734320  1.221796
19  30s      10    5.000000     3578  85.075461   47.885690  38.295416  1.250429
20  30s      14    7.000000     2335  85.567452   49.112206  37.543041  1.308157
21  30s      21   10.500000     1198  86.560935   51.546745  36.829716  1.399597
22  30s      30   15.000000      554  87.003610   55.189531  37.151625  1.485521
23  30s      50   25.000000      166  87.951807   67.704819  36.590361  1.850346
24   1m       7    7.000000     2584  90.828173   55.383514  32.253870  1.717112
25   1m      10   10.000000     1702  91.363102   55.702115  31.962397  1.742739
26   1m      14   14.000000     1094  90.859232   58.256856  32.349177  1.800876
27   1m      21   21.000000      547  92.138940   66.226691  30.380256  2.179925
28   1m      30   30.000000      250  92.800000   72.552000  32.100000  2.260187
29   1m      50   50.000000       63  92.063492   88.000000  45.714286  1.925000
30   3m       7   21.000000      810  97.037037   73.453086  23.509877  3.124350
31   3m      10   30.000000      562  97.508897   80.193950  22.633452  3.543160
32   3m      14   42.000000      356  96.910112   87.112360  21.800562  3.995877
33   3m      21   63.000000      156  98.076923  101.730769  26.442308  3.847273
34   3m      30   90.000000       75  97.333333  112.826667  34.426667  3.277304
35   3m      50  150.000000       21  95.238095  139.619048  52.571429  2.655797
36   5m       7   35.000000      473  98.308668   84.659619  18.653277  4.538592
37   5m      10   50.000000      319  99.059561   91.937304  17.507837  5.251209
38   5m      14   70.000000      198  98.484848  105.146465  15.358586  6.846103
39   5m      21  105.000000      100  99.000000  116.330000  17.950000  6.480780
40   5m      30  150.000000       43  97.674419  133.046512  32.581395  4.083512
41   5m      50  250.000000        9  88.888889  196.666667  98.222222  2.002262
42  15m       7  105.000000      145  97.931034  103.903448  22.606897  4.596095
43  15m      10  150.000000       86  97.674419  120.290698  22.313953  5.390829
44  15m      14  210.000000       58  98.275862  131.672414  30.862069  4.266480
45  15m      21  315.000000       35  97.142857  174.371429  53.342857  3.268881
46  15m      30  450.000000       25  96.000000  207.200000  55.160000  3.756345
47  15m      50  750.000000       13  92.307692  246.692308  70.153846  3.516447
