timestamp,n_long,n_short,max_agreement,cascade_direction,is_cascade,details
1769986800.0,0,0,0,NEUTRAL,False,{}
1769986860.0,0,0,0,NEUTRAL,False,{}
1769986920.0,0,0,0,NEUTRAL,False,{}
1769986980.0,0,0,0,NEUTRAL,False,{}
1769987040.0,0,0,0,NEUTRAL,False,{}
1769987100.0,0,0,0,NEUTRAL,False,{}
1769987160.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987220.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987280.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987340.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987400.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769987460.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987520.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987580.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987640.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987700.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987760.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987820.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769987880.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769987940.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769988000.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769988060.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769988120.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769988180.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769988240.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769988300.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769988360.0,2,0,2,LONG,False,"{'15s': 'LONG', '1m': 'LONG'}"
1769988420.0,2,0,2,LONG,False,"{'15s': 'LONG', '1m': 'LONG'}"
1769988480.0,2,0,2,LONG,False,"{'15s': 'LONG', '1m': 'LONG'}"
1769988540.0,2,0,2,LONG,False,"{'15s': 'LONG', '1m': 'LONG'}"
1769988600.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769988660.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769988720.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769988780.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769988840.0,1,0,1,LONG,False,{'15s': 'LONG'}
1769988900.0,0,1,1,SHORT,False,{'15s': 'SHORT'}
1769988960.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989020.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769989080.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769989140.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989200.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769989260.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989320.0,2,0,2,LONG,False,"{'15s': 'LONG', '1m': 'LONG'}"
1769989380.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989440.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989500.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769989560.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769989620.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989680.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989740.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769989800.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989860.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769989920.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769989980.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
1769990040.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769990100.0,1,1,1,NEUTRAL,False,"{'15s': 'LONG', '1m': 'SHORT'}"
1769990160.0,0,2,2,SHORT,False,"{'15s': 'SHORT', '1m': 'SHORT'}"
1769990220.0,1,1,1,NEUTRAL,False,"{'15s': 'SHORT', '1m': 'LONG'}"
