==========================================================================================
PEAK SEQUENCE ANALYSIS — 2026-02-05
Peaks: 40 (from 46 marked across all TFs)
Window: 30 bars before/after peak (1s resolution)
Bar 0 = peak moment
==========================================================================================

--- VELOCITY (n=40) ---
 offset        mean      median         std
    -30      -0.005      +0.000       3.021
    -29      -0.105      +0.300       3.888
    -28      -0.330      -0.500       3.194
    -27      -0.350      -0.600       3.430
    -26      -0.705      -0.500       2.810
    -25      -0.040      -0.500       3.213
    -24      +0.225      +0.300       2.644
    -23      +0.790      +0.600       2.696
    -22      +0.655      +0.400       2.590
    -21      +0.205      -0.300       2.342
    -20      +0.495      +0.000       3.730
    -19      +0.245      -0.600       3.507
    -18      -0.010      -0.800       3.474
    -17      +0.315      +0.300       3.366
    -16      +0.470      +1.100       3.938
    -15      +0.105      +0.100       3.988
    -14      +0.175      +0.800       3.452
    -13      +0.145      +0.500       3.204
    -12      -0.610      -0.100       4.231
    -11      -0.645      -0.800       3.921
    -10      -0.430      +0.000       3.721
     -9      -0.820      -0.600       3.524
     -8      -0.855      -0.400       3.663
     -7      -0.435      -0.200       2.732
     -6      +0.260      -0.200       2.962
     -5      -0.020      +0.300       2.623
     -4      +0.050      +0.000       2.385
     -3      +0.310      -0.300       2.797
     -2      +0.795      +0.500       3.143
     -1      +0.120      +0.300       2.499
     +0      -0.385      -0.900       2.813  <-- PEAK
     +1      -0.545      -0.500       4.935
     +2      -0.955      +0.000       4.354
     +3      -0.475      -0.700       6.003
     +4      -0.830      -1.200       6.145
     +5      +0.410      +1.000       5.593
     +6      +0.730      +0.400       6.460
     +7      +0.370      +0.400       6.374
     +8      +0.055      +0.600       6.174
     +9      +0.740      +1.000       5.890
    +10      +0.190      +0.300       3.963
    +11      +0.500      +0.400       3.103
    +12      +0.595      +0.600       3.395
    +13      +0.245      +0.900       4.313
    +14      +0.000      +1.300       5.260
    +15      -0.465      +0.200       4.688
    +16      -0.615      +0.400       4.346
    +17      -0.820      -0.600       5.589
    +18      -1.180      -0.900       4.194
    +19      -0.615      -1.100       3.878
    +20      -0.485      -0.600       3.395
    +21      +0.060      -0.400       4.714
    +22      +0.230      -0.200       4.031
    +23      +0.975      +0.700       4.020
    +24      +0.130      +0.000       4.375
    +25      +0.230      +0.800       4.340
    +26      +0.100      +0.800       5.913
    +27      +0.105      +1.200       5.197
    +28      -0.290      +0.100       5.958
    +29      -0.390      +0.600       5.750
    +30      -0.645      -0.100       5.425

--- ACCELERATION (n=40) ---
 offset        mean      median         std
    -30      -0.345      -0.200       2.036
    -29      -0.100      +0.100       2.797
    -28      -0.225      -0.500       2.543
    -27      -0.020      +0.000       1.702
    -26      -0.355      -0.600       1.949
    -25      +0.665      +0.700       1.623
    -24      +0.265      +0.600       3.099
    -23      +0.565      +0.600       2.428
    -22      -0.135      -0.600       1.868
    -21      -0.450      -0.600       1.800
    -20      +0.290      +0.000       3.420
    -19      -0.250      -0.300       2.121
    -18      -0.255      +0.000       2.194
    -17      +0.325      +0.500       2.309
    -16      +0.155      +0.200       2.179
    -15      -0.365      -0.200       3.040
    -14      +0.070      +0.000       1.603
    -13      -0.030      -0.100       1.746
    -12      -0.755      -0.300       3.009
    -11      -0.035      +0.300       1.955
    -10      +0.215      +0.500       2.037
     -9      -0.390      -0.200       2.069
     -8      -0.035      -0.200       1.905
     -7      +0.420      +0.600       2.441
     -6      +0.695      +0.600       1.688
     -5      -0.280      -0.100       2.047
     -4      +0.070      -0.100       1.868
     -3      +0.260      +0.100       1.809
     -2      +0.485      +0.200       2.371
     -1      -0.675      -0.400       1.827
     +0      -0.505      -0.400       2.681  <-- PEAK
     +1      -0.160      -0.300       3.772
     +2      -0.410      -0.700       3.319
     +3      +0.480      +0.300       3.328
     +4      -0.355      -0.700       4.390
     +5      +1.240      +0.600       3.925
     +6      +0.320      -0.300       3.327
     +7      -0.360      +0.000       3.236
     +8      -0.315      -0.400       2.803
     +9      +0.685      +0.800       4.750
    +10      -0.550      +0.000       3.601
    +11      +0.310      +0.300       2.732
    +12      +0.095      +1.200       3.135
    +13      -0.350      +0.100       2.732
    +14      -0.245      -0.500       2.391
    +15      -0.465      -0.400       2.868
    +16      -0.150      -0.400       2.111
    +17      -0.205      -0.800       3.430
    +18      -0.360      -0.300       2.798
    +19      +0.565      +0.800       2.551
    +20      +0.130      -0.500       3.198
    +21      +0.545      +0.100       3.217
    +22      +0.170      +0.000       2.559
    +23      +0.745      +1.000       2.157
    +24      -0.845      -0.400       2.563
