timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1776297650,26403.25,-1.7628,0.2339,-2.25,0,,,0,0.0,0.0,0,
1776297655,26405.50,-1.7628,0.2339,-2.25,0,,,0,0.0,0.0,0,
1776297660,26404.75,-1.7663,0.2976,-1.50,0,,,0,0.0,0.0,0,ENTRY_FADE_CALM
1776297665,26406.75,-1.7663,0.2976,-1.50,0,,,0,0.0,0.0,0,
1776297670,26406.50,-1.7663,0.2976,-1.50,0,,,0,0.0,0.0,0,
1776297675,26407.00,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,1.0,1.0,1,
1776297680,26409.00,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,5.0,5.0,1,
1776297685,26410.00,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,7.0,7.0,1,
1776297690,26409.75,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,6.5,7.0,1,
1776297695,26410.75,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,8.5,8.5,1,
1776297700,26410.50,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,8.0,8.5,1,
1776297705,26412.50,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2252,12.0,12.0,1,
1776297710,26412.50,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2251,12.0,12.0,1,
1776297715,26414.00,-1.7663,0.2976,-1.50,1,long,FADE_CALM,-2251,15.0,15.0,1,
1776297720,26411.00,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,9.0,15.0,1,CHAIN_ENTRY_RIDE_AGAINST
1776297725,26411.00,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,9.0,15.0,1,
1776297730,26410.75,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,8.5,15.0,1,
1776297735,26410.00,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,5.5,15.0,2,
1776297740,26409.25,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,2.5,15.0,2,EXIT_giveback_stop
1776297745,26408.25,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,-1.5,15.0,2,
1776297750,26409.75,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,4.5,15.0,2,
1776297755,26409.75,0.1740,0.2840,8.50,1,long,FADE_CALM,-2251,4.5,15.0,2,
1776297760,26409.00,0.1740,0.2840,8.50,0,,,0,0.0,0.0,0,
1776297765,26410.50,0.1740,0.2840,8.50,0,,,0,0.0,0.0,0,
1776297770,26411.00,0.1740,0.2840,8.50,0,,,0,0.0,0.0,0,
1776297775,26410.50,0.1740,0.2840,8.50,0,,,0,0.0,0.0,0,
1776297780,26409.00,-0.6423,0.2819,-3.50,0,,,0,0.0,0.0,0,ENTRY_FADE_CALM
1776297785,26407.75,-0.6423,0.2819,-3.50,0,,,0,0.0,0.0,0,
1776297790,26407.25,-0.6423,0.2819,-3.50,0,,,0,0.0,0.0,0,
1776297795,26407.25,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,0.0,0.0,1,
1776297800,26407.00,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-0.5,0.0,1,
1776297805,26406.50,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-1.5,0.0,1,
1776297810,26406.00,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-2.5,0.0,1,
1776297815,26405.00,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-4.5,0.0,1,
1776297820,26404.50,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-5.5,0.0,1,
1776297825,26404.50,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2250,-5.5,0.0,1,
1776297830,26403.75,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2249,-7.0,0.0,1,
1776297835,26402.50,-0.6423,0.2819,-3.50,1,long,FADE_CALM,-2249,-9.5,0.0,1,
1776297840,26398.00,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-18.5,0.0,1,
1776297845,26398.50,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-17.5,0.0,1,
1776297850,26401.50,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-11.5,0.0,1,
1776297855,26402.50,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-9.5,0.0,1,
1776297860,26402.25,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-10.0,0.0,1,
1776297865,26403.00,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-8.5,0.0,1,
1776297870,26399.25,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-16.0,0.0,1,
1776297875,26400.00,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-14.5,0.0,1,
1776297880,26399.25,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-16.0,0.0,1,
1776297885,26397.25,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2249,-20.0,0.0,1,
1776297890,26396.25,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2248,-22.0,0.0,1,
1776297895,26393.50,-1.9471,0.3947,-8.00,1,long,FADE_CALM,-2248,-27.5,0.0,1,
1776297900,26396.75,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-21.0,0.0,1,
1776297905,26397.25,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-20.0,0.0,1,
1776297910,26397.25,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-20.0,0.0,1,
1776297915,26398.00,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-18.5,0.0,1,
1776297920,26396.50,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-21.5,0.0,1,
1776297925,26395.25,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-24.0,0.0,1,
1776297930,26395.00,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-24.5,0.0,1,
1776297935,26392.75,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-29.0,0.0,1,
1776297940,26393.00,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-28.5,0.0,1,
1776297945,26393.50,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2248,-27.5,0.0,1,
1776297950,26392.25,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2247,-30.0,0.0,1,
1776297955,26392.25,-2.5517,0.7118,-9.00,1,long,FADE_CALM,-2247,-30.0,0.0,1,
1776297960,26392.50,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-29.5,0.0,1,
1776297965,26392.75,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-29.0,0.0,1,
1776297970,26392.00,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-30.5,0.0,1,
1776297975,26392.25,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-30.0,0.0,1,
1776297980,26391.25,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-32.0,0.0,1,
1776297985,26393.00,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-28.5,0.0,1,
1776297990,26394.75,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-25.0,0.0,1,
1776297995,26393.00,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-28.5,0.0,1,
1776298000,26393.75,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-27.0,0.0,1,
1776298005,26396.25,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2247,-22.0,0.0,1,
1776298010,26397.75,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2246,-19.0,0.0,1,
1776298015,26397.00,-2.0084,0.8881,-1.25,1,long,FADE_CALM,-2246,-20.5,0.0,1,
1776298020,26397.25,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-20.0,0.0,1,
1776298025,26397.50,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-19.5,0.0,1,
1776298030,26398.75,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-17.0,0.0,1,
1776298035,26398.25,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-18.0,0.0,1,
1776298040,26397.25,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-20.0,0.0,1,
1776298045,26398.50,-0.8856,0.9253,4.75,1,long,FADE_CALM,-2246,-17.5,0.0,1,
