tier,regime_2d,split,n_days,n_trades,mean_per_day,mean_per_trade,win_rate
KILL_SHOT,FLAT_SMOOTH,VAL,11,139,-11.772727272727273,-0.9316546762589928,0.539568345323741
KILL_SHOT,FLAT_SMOOTH,OOS,7,79,2.5,0.22151898734177214,0.4810126582278481
KILL_SHOT,FLAT_CHOPPY,IS,71,1010,-9.52112676056338,-0.6693069306930693,0.503960396039604
KILL_SHOT,FLAT_CHOPPY,VAL,24,367,-23.333333333333332,-1.5258855585831064,0.4877384196185286
KILL_SHOT,FLAT_CHOPPY,OOS,31,466,38.645161290322584,2.570815450643777,0.5278969957081545
FREIGHT_TRAIN,UP_SMOOTH,IS,1,8,-690.5,-86.3125,0.5
FREIGHT_TRAIN,UP_CHOPPY,IS,1,12,1104.5,92.04166666666667,0.5833333333333334
FREIGHT_TRAIN,DOWN_SMOOTH,IS,3,3,-78.5,-78.5,0.0
FREIGHT_TRAIN,FLAT_CHOPPY,IS,4,9,121.375,53.94444444444444,0.6666666666666666
FREIGHT_TRAIN,FLAT_CHOPPY,VAL,1,1,58.0,58.0,1.0
FREIGHT_TRAIN,FLAT_CHOPPY,OOS,1,1,-52.0,-52.0,0.0
FADE_AGAINST,UP_SMOOTH,IS,29,401,82.01724137931035,5.93142144638404,0.5461346633416458
FADE_AGAINST,UP_SMOOTH,VAL,15,207,21.066666666666666,1.5265700483091786,0.5314009661835749
FADE_AGAINST,UP_SMOOTH,OOS,8,138,145.8125,8.452898550724637,0.5434782608695652
FADE_AGAINST,UP_CHOPPY,IS,15,242,15.533333333333333,0.9628099173553719,0.4793388429752066
FADE_AGAINST,UP_CHOPPY,VAL,4,72,27.75,1.5416666666666667,0.5
FADE_AGAINST,UP_CHOPPY,OOS,4,44,-210.0,-19.09090909090909,0.4772727272727273
FADE_AGAINST,DOWN_SMOOTH,IS,20,235,34.925,2.972340425531915,0.5191489361702127
FADE_AGAINST,DOWN_SMOOTH,VAL,8,106,136.1875,10.278301886792454,0.5471698113207547
FADE_AGAINST,DOWN_SMOOTH,OOS,7,62,63.0,7.112903225806452,0.4838709677419355
FADE_AGAINST,DOWN_CHOPPY,IS,12,197,30.541666666666668,1.8604060913705585,0.5177664974619289
FADE_AGAINST,DOWN_CHOPPY,VAL,2,56,-43.25,-1.5446428571428572,0.42857142857142855
FADE_AGAINST,DOWN_CHOPPY,OOS,5,43,27.9,3.244186046511628,0.5116279069767442
FADE_AGAINST,FLAT_SMOOTH,IS,34,475,-45.955882352941174,-3.289473684210526,0.47368421052631576
FADE_AGAINST,FLAT_SMOOTH,VAL,7,89,-85.85714285714286,-6.752808988764045,0.43820224719101125
FADE_AGAINST,FLAT_SMOOTH,OOS,4,48,-59.75,-4.979166666666667,0.3958333333333333
FADE_AGAINST,FLAT_CHOPPY,IS,71,1202,-27.035211267605632,-1.5969217970049916,0.47088186356073214
FADE_AGAINST,FLAT_CHOPPY,VAL,23,388,-17.23913043478261,-1.0219072164948453,0.4690721649484536
FADE_AGAINST,FLAT_CHOPPY,OOS,29,483,9.689655172413794,0.5817805383022774,0.5113871635610766
RIDE_AGAINST,UP_SMOOTH,IS,34,3475,112.19117647058823,1.0976978417266188,0.48546762589928055
RIDE_AGAINST,UP_SMOOTH,VAL,17,1467,159.88235294117646,1.852760736196319,0.49897750511247446
RIDE_AGAINST,UP_SMOOTH,OOS,12,1351,85.04166666666667,0.7553663952627683,0.47668393782383417
RIDE_AGAINST,UP_CHOPPY,IS,15,2175,0.36666666666666664,0.002528735632183908,0.4703448275862069
RIDE_AGAINST,UP_CHOPPY,VAL,4,521,-92.5,-0.710172744721689,0.5163147792706334
RIDE_AGAINST,UP_CHOPPY,OOS,4,534,-25.375,-0.1900749063670412,0.5
RIDE_AGAINST,DOWN_SMOOTH,IS,24,2326,65.9375,0.6803525365434222,0.48065348237317285
RIDE_AGAINST,DOWN_SMOOTH,VAL,7,1015,212.5,1.4655172413793103,0.4768472906403941
RIDE_AGAINST,DOWN_SMOOTH,OOS,8,795,277.5,2.792452830188679,0.4930817610062893
RIDE_AGAINST,DOWN_CHOPPY,IS,12,1697,-277.9583333333333,-1.9655274012964055,0.4590453741897466
RIDE_AGAINST,DOWN_CHOPPY,VAL,2,298,245.25,1.645973154362416,0.5033557046979866
RIDE_AGAINST,DOWN_CHOPPY,OOS,5,669,395.6,2.9566517189835575,0.4872944693572496
RIDE_AGAINST,FLAT_SMOOTH,IS,47,4214,-85.88297872340425,-0.9578785002373043,0.4791172282866635
RIDE_AGAINST,FLAT_SMOOTH,VAL,13,1115,-48.03846153846154,-0.5600896860986547,0.46457399103139013
RIDE_AGAINST,FLAT_SMOOTH,OOS,7,636,-161.42857142857142,-1.7767295597484276,0.44654088050314467
RIDE_AGAINST,FLAT_CHOPPY,IS,71,9452,-73.73239436619718,-0.5538510368176047,0.4753491324587389
RIDE_AGAINST,FLAT_CHOPPY,VAL,24,3470,-115.5,-0.7988472622478386,0.4697406340057637
RIDE_AGAINST,FLAT_CHOPPY,OOS,33,4264,-66.1969696969697,-0.512312382739212,0.50187617260788
FADE_CALM,UP_SMOOTH,IS,34,2126,65.47058823529412,1.0470366886171214,0.4905926622765757
FADE_CALM,UP_SMOOTH,VAL,17,907,137.5,2.5771775082690187,0.5126791620727673
FADE_CALM,UP_SMOOTH,OOS,12,824,62.375,0.908373786407767,0.5072815533980582
FADE_CALM,UP_CHOPPY,IS,15,1250,84.86666666666666,1.0184,0.484
FADE_CALM,UP_CHOPPY,VAL,4,337,90.75,1.0771513353115727,0.5311572700296736
FADE_CALM,UP_CHOPPY,OOS,4,325,284.25,3.4984615384615383,0.5046153846153846
FADE_CALM,DOWN_SMOOTH,IS,25,1379,54.14,0.9815083393763597,0.5025380710659898
FADE_CALM,DOWN_SMOOTH,VAL,8,616,53.4375,0.6939935064935064,0.4642857142857143
FADE_CALM,DOWN_SMOOTH,OOS,10,503,180.25,3.5834990059642147,0.49502982107355864
FADE_CALM,DOWN_CHOPPY,IS,12,1035,-187.91666666666666,-2.178743961352657,0.4792270531400966
FADE_CALM,DOWN_CHOPPY,VAL,2,166,417.75,5.033132530120482,0.5542168674698795
FADE_CALM,DOWN_CHOPPY,OOS,5,412,550.8,6.684466019417476,0.5242718446601942
FADE_CALM,FLAT_SMOOTH,IS,49,2648,-85.98979591836735,-1.5912009063444108,0.4860271903323263
FADE_CALM,FLAT_SMOOTH,VAL,13,712,37.76923076923077,0.6896067415730337,0.5070224719101124
FADE_CALM,FLAT_SMOOTH,OOS,7,366,-212.0,-4.054644808743169,0.4644808743169399
FADE_CALM,FLAT_CHOPPY,IS,71,5680,-147.7887323943662,-1.8473591549295774,0.4751760563380282
FADE_CALM,FLAT_CHOPPY,VAL,24,2009,-186.60416666666666,-2.2292185166749627,0.47436535589845696
FADE_CALM,FLAT_CHOPPY,OOS,33,2612,58.34848484848485,0.7371745788667687,0.5026799387442573
MTF_BREAKOUT,UP_SMOOTH,IS,30,516,30.533333333333335,1.7751937984496124,0.4418604651162791
MTF_BREAKOUT,UP_SMOOTH,VAL,14,221,-9.142857142857142,-0.579185520361991,0.43891402714932126
MTF_BREAKOUT,UP_SMOOTH,OOS,12,217,-45.583333333333336,-2.52073732718894,0.45161290322580644
