tier,gate,delta_per_day,kept_pct,delta_ci_lo,delta_ci_hi
FADE_CALM,KEEP_TOP_4: UP_SMOOTH+DOWN_SMOOTH+UP_CHOPPY+DOWN_CHOPPY,52.90579710144928,41.32680804785209,9.587753623188409,96.19282608695653
RIDE_AGAINST,KEEP_TOP_2: UP_SMOOTH+DOWN_SMOOTH,51.07817109144543,26.419921973957543,14.68484513274336,90.47942477876107
BASE_NMP,NO_SIGNIFICANT_GATE,0.0,100.0,,
CASCADE,NO_SIGNIFICANT_GATE,0.0,100.0,,
FADE_AGAINST,NO_SIGNIFICANT_GATE,0.0,100.0,,
KILL_SHOT,NO_SIGNIFICANT_GATE,0.0,100.0,,
MTF_BREAKOUT,NO_SIGNIFICANT_GATE,0.0,100.0,,
MTF_EXHAUSTION,NO_SIGNIFICANT_GATE,0.0,100.0,,
