tier,gate,kept_n_trades,kept_pct_trades,kept_mean_per_day,baseline_mean_per_day,delta_per_day,delta_ci_lo,delta_ci_hi,delta_significant
BASE_NMP,KEEP_TOP_4: FLAT_CHOPPY+FLAT_SMOOTH+UP_CHOPPY+UP_SMOOTH,9802,83.22295805739515,31.114825581395348,15.789244186046512,15.325581395348836,-1.5148619186046548,34.52107558139535,False
BASE_NMP,KEEP_TOP_3: FLAT_CHOPPY+FLAT_SMOOTH+UP_CHOPPY,7919,67.23552385804041,29.54360465116279,15.789244186046512,13.75436046511628,-7.992623546511628,37.28975290697675,False
BASE_NMP,KEEP_TOP_2: FLAT_CHOPPY+FLAT_SMOOTH,6984,59.296994396332146,20.98546511627907,15.789244186046512,5.196220930232558,-30.953888081395352,37.509738372093025,False
BASE_NMP,KEEP_FLAT_CHOPPY,5123,43.4963491254882,10.972383720930232,15.789244186046512,-4.81686046511628,-42.03978924418605,28.755668604651174,False
BASE_NMP,KEEP_TOP_1: FLAT_CHOPPY,5123,43.4963491254882,10.972383720930232,15.789244186046512,-4.81686046511628,-42.03978924418605,28.755668604651174,False
BASE_NMP,KEEP_FLAT_SMOOTH,1861,15.800645270843946,10.013081395348838,15.789244186046512,-5.776162790697674,-48.836010174418604,36.23531976744188,False
BASE_NMP,KEEP_UP_CHOPPY,935,7.93852946170827,8.55813953488372,15.789244186046512,-7.231104651162791,-41.708611918604646,26.86064680232558,False
BASE_NMP,KEEP_UP_SMOOTH,1883,15.987434199354729,1.5712209302325582,15.789244186046512,-14.218023255813954,-56.362318313953494,27.641024709302325,False
BASE_NMP,KEEP_DOWN_CHOPPY,775,6.580064527084395,-7.334302325581396,15.789244186046512,-23.123546511627907,-67.19316860465116,19.228597383720935,False
BASE_NMP,KEEP_DOWN_SMOOTH,1201,10.196977415520461,-7.991279069767442,15.789244186046512,-23.780523255813954,-65.82162063953488,15.250690406976743,False
CASCADE,KEEP_FLAT_CHOPPY,569,45.051464766429135,10.371080139372822,5.146341463414634,5.2247386759581875,-3.001045296167247,13.953397212543555,False
CASCADE,KEEP_TOP_1: FLAT_CHOPPY,569,45.051464766429135,10.371080139372822,5.146341463414634,5.2247386759581875,-3.001045296167247,13.953397212543555,False
CASCADE,KEEP_TOP_2: FLAT_CHOPPY+DOWN_CHOPPY,645,51.06888361045131,10.047038327526133,5.146341463414634,4.900696864111499,-2.50544425087108,12.709233449477354,False
CASCADE,KEEP_TOP_3: FLAT_CHOPPY+DOWN_CHOPPY+UP_SMOOTH,843,66.7458432304038,9.660278745644598,5.146341463414634,4.513937282229964,-1.8625,11.179747386759585,False
CASCADE,KEEP_TOP_4: FLAT_CHOPPY+DOWN_CHOPPY+UP_SMOOTH+UP_CHOPPY,947,74.98020585906572,8.935540069686411,5.146341463414634,3.7891986062717766,-1.4096689895470385,9.363109756097565,False
CASCADE,KEEP_DOWN_CHOPPY,76,6.01741884402217,-0.3240418118466899,5.146341463414634,-5.470383275261324,-16.218858885017422,5.750261324041816,False
CASCADE,KEEP_UP_SMOOTH,198,15.676959619952495,-0.3867595818815331,5.146341463414634,-5.533101045296167,-16.670644599303138,5.7578832752613245,False
CASCADE,KEEP_UP_CHOPPY,104,8.234362628661916,-0.7247386759581882,5.146341463414634,-5.871080139372823,-16.7772212543554,5.387108013937284,False
CASCADE,KEEP_DOWN_SMOOTH,133,10.530482977038796,-1.2020905923344947,5.146341463414634,-6.348432055749129,-17.129573170731707,4.380400696864114,False
CASCADE,KEEP_FLAT_SMOOTH,183,14.489311163895486,-2.587108013937282,5.146341463414634,-7.7334494773519165,-18.873214285714283,3.5675522648083673,False
FADE_AGAINST,KEEP_TOP_3: UP_SMOOTH+DOWN_SMOOTH+DOWN_CHOPPY,1445,32.196969696969695,21.91750841750842,5.306397306397306,16.611111111111114,-1.0765572390572373,33.87882996632997,False
FADE_AGAINST,KEEP_TOP_2: UP_SMOOTH+DOWN_SMOOTH,1149,25.601604278074866,20.505050505050505,5.306397306397306,15.198653198653199,-3.085900673400673,33.29545454545455,False
FADE_AGAINST,KEEP_TOP_4: UP_SMOOTH+DOWN_SMOOTH+DOWN_CHOPPY+UP_CHOPPY,1803,40.17379679144385,20.247474747474747,5.306397306397306,14.941077441077441,-1.7881734006734016,31.30808080808081,False
FADE_AGAINST,KEEP_UP_SMOOTH,746,16.62210338680927,13.0,5.306397306397306,7.693602693602694,-13.944612794612794,28.56599326599327,False
FADE_AGAINST,KEEP_TOP_1: UP_SMOOTH,746,16.62210338680927,13.0,5.306397306397306,7.693602693602694,-13.944612794612794,28.56599326599327,False
