tier,gate,kept_n_trades,kept_pct_trades,kept_mean_per_day,baseline_mean_per_day,delta_per_day,delta_ci_lo,delta_ci_hi,delta_significant
FADE_AGAINST,KEEP_DOWN_SMOOTH,403,8.979500891265598,7.505050505050505,5.306397306397306,2.198653198653199,-18.99760101010101,22.73728956228957,False
FADE_AGAINST,KEEP_DOWN_CHOPPY,296,6.595365418894831,1.4124579124579124,5.306397306397306,-3.8939393939393936,-27.339646464646464,17.63476430976431,False
FADE_AGAINST,KEEP_UP_CHOPPY,358,7.976827094474153,-1.67003367003367,5.306397306397306,-6.976430976430976,-30.049242424242422,15.337457912457916,False
FADE_AGAINST,KEEP_FLAT_CHOPPY,2073,46.18983957219251,-6.851851851851852,5.306397306397306,-12.15824915824916,-30.634848484848483,5.572937710437713,False
FADE_AGAINST,KEEP_FLAT_SMOOTH,612,13.636363636363637,-8.08922558922559,5.306397306397306,-13.395622895622896,-36.0270202020202,8.516961279461288,False
FADE_CALM,KEEP_TOP_4: UP_SMOOTH+DOWN_SMOOTH+UP_CHOPPY+DOWN_CHOPPY,9880,41.32680804785209,37.68985507246377,-15.215942028985507,52.90579710144928,9.587753623188409,96.19282608695653,True
FADE_CALM,KEEP_TOP_3: UP_SMOOTH+DOWN_SMOOTH+UP_CHOPPY,8267,34.57983017526247,33.821739130434786,-15.215942028985507,49.037681159420295,3.79039855072464,95.1104347826087,True
FADE_CALM,KEEP_TOP_2: UP_SMOOTH+DOWN_SMOOTH,6355,26.582172585435227,25.784057971014494,-15.215942028985507,41.0,-6.495905797101449,87.52811594202899,False
FADE_CALM,KEEP_UP_SMOOTH,3857,16.133350064834566,15.397101449275363,-15.215942028985507,30.61304347826087,-18.767065217391302,78.41768115942031,False
FADE_CALM,KEEP_TOP_1: UP_SMOOTH,3857,16.133350064834566,15.397101449275363,-15.215942028985507,30.61304347826087,-18.767065217391302,78.41768115942031,False
FADE_CALM,KEEP_DOWN_SMOOTH,2498,10.448822520600661,10.38695652173913,-15.215942028985507,25.60289855072464,-24.946050724637683,74.37532608695655,False
FADE_CALM,KEEP_UP_CHOPPY,1912,7.997657589827247,8.03768115942029,-15.215942028985507,23.253623188405797,-28.394311594202897,73.87514492753623,False
FADE_CALM,KEEP_DOWN_CHOPPY,1613,6.746977872589618,3.8681159420289855,-15.215942028985507,19.08405797101449,-31.84047101449275,68.93101449275365,False
FADE_CALM,KEEP_FLAT_SMOOTH,3726,15.585393399422763,-15.091304347826087,-15.215942028985507,0.12463768115942031,-49.94634057971014,48.7984782608696,False
FADE_CALM,KEEP_FLAT_CHOPPY,10301,43.08779855272515,-37.81449275362319,-15.215942028985507,-22.598550724637683,-56.05641304347826,8.202391304347833,False
KILL_SHOT,KEEP_TOP_2: FLAT_SMOOTH+DOWN_SMOOTH,1192,27.140255009107467,4.297805642633229,-0.9670846394984326,5.264890282131661,-9.054114420062696,19.835932601880877,False
KILL_SHOT,KEEP_TOP_3: FLAT_SMOOTH+DOWN_SMOOTH+FLAT_CHOPPY,3035,69.10291438979964,4.178683385579937,-0.9670846394984326,5.14576802507837,-4.552468652037619,15.216614420062697,False
KILL_SHOT,KEEP_TOP_4: FLAT_SMOOTH+DOWN_SMOOTH+FLAT_CHOPPY+DOWN_CHOPPY,3318,75.5464480874317,3.553291536050157,-0.9670846394984326,4.52037617554859,-3.8600705329153597,14.10501567398119,False
KILL_SHOT,KEEP_FLAT_SMOOTH,724,16.484517304189435,2.5893416927899686,-0.9670846394984326,3.5564263322884013,-11.284130094043885,18.856191222570533,False
KILL_SHOT,KEEP_TOP_1: FLAT_SMOOTH,724,16.484517304189435,2.5893416927899686,-0.9670846394984326,3.5564263322884013,-11.284130094043885,18.856191222570533,False
KILL_SHOT,KEEP_DOWN_SMOOTH,468,10.655737704918034,1.70846394984326,-0.9670846394984326,2.675548589341693,-12.177899686520377,17.577155172413796,False
KILL_SHOT,KEEP_FLAT_CHOPPY,1843,41.962659380692166,-0.11912225705329153,-0.9670846394984326,0.8479623824451411,-10.108346394984325,12.55340909090909,False
KILL_SHOT,KEEP_DOWN_CHOPPY,283,6.443533697632058,-0.6253918495297806,-0.9670846394984326,0.34169278996865204,-14.541771159874608,15.537774294670848,False
KILL_SHOT,KEEP_UP_SMOOTH,691,15.733151183970856,-1.0454545454545454,-0.9670846394984326,-0.07836990595611282,-13.981191222570533,14.202311912225705,False
KILL_SHOT,KEEP_UP_CHOPPY,383,8.72040072859745,-3.4749216300940438,-0.9670846394984326,-2.507836990595611,-16.777468652037616,11.794710031347964,False
MTF_BREAKOUT,KEEP_TOP_3: FLAT_CHOPPY+DOWN_SMOOTH+UP_SMOOTH,4198,71.02013195736762,14.309904153354633,6.8690095846645365,7.440894568690097,-0.6933306709265171,15.50479233226837,False
MTF_BREAKOUT,KEEP_TOP_2: FLAT_CHOPPY+DOWN_SMOOTH,3244,54.88073084080528,13.539936102236421,6.8690095846645365,6.670926517571885,-4.031349840255593,17.0926517571885,False
MTF_BREAKOUT,KEEP_TOP_4: FLAT_CHOPPY+DOWN_SMOOTH+UP_SMOOTH+UP_CHOPPY,4618,78.12552867535103,12.450479233226837,6.8690095846645365,5.5814696485623,-0.7397763578274756,11.84365015974441,False
MTF_BREAKOUT,KEEP_FLAT_CHOPPY,2652,44.865504990695314,7.552715654952077,6.8690095846645365,0.6837060702875402,-11.620367412140574,12.821845047923325,False
MTF_BREAKOUT,KEEP_TOP_1: FLAT_CHOPPY,2652,44.865504990695314,7.552715654952077,6.8690095846645365,0.6837060702875402,-11.620367412140574,12.821845047923325,False
MTF_BREAKOUT,KEEP_DOWN_SMOOTH,592,10.015225850109964,5.987220447284345,6.8690095846645365,-0.8817891373801912,-17.56058306709265,16.129552715654953,False
MTF_BREAKOUT,KEEP_UP_SMOOTH,954,16.13940111656234,0.7699680511182109,6.8690095846645365,-6.099041533546326,-23.206829073482425,10.813897763578277,False
MTF_BREAKOUT,KEEP_UP_CHOPPY,420,7.105396717983421,-1.8594249201277955,6.8690095846645365,-8.728434504792332,-25.659824281150158,8.52152555910544,False
MTF_BREAKOUT,KEEP_DOWN_CHOPPY,438,7.40991372018271,-2.3594249201277955,6.8690095846645365,-9.228434504792332,-26.966014376996803,8.429193290734828,False
MTF_BREAKOUT,KEEP_FLAT_SMOOTH,855,14.464557604466249,-3.2220447284345046,6.8690095846645365,-10.091054313099042,-27.778394568690096,7.753833865814702,False
MTF_EXHAUSTION,KEEP_TOP_2: FLAT_CHOPPY+FLAT_SMOOTH,139,60.17316017316017,5.669811320754717,8.547169811320755,-2.8773584905660377,-9.537971698113207,3.399371069182389,False
MTF_EXHAUSTION,KEEP_TOP_3: FLAT_CHOPPY+FLAT_SMOOTH,139,60.17316017316017,5.669811320754717,8.547169811320755,-2.8773584905660377,-9.537971698113207,3.399371069182389,False
MTF_EXHAUSTION,KEEP_TOP_4: FLAT_CHOPPY+FLAT_SMOOTH,139,60.17316017316017,5.669811320754717,8.547169811320755,-2.8773584905660377,-9.537971698113207,3.399371069182389,False
MTF_EXHAUSTION,KEEP_FLAT_CHOPPY,109,47.18614718614719,5.550314465408805,8.547169811320755,-2.99685534591195,-10.597955974842767,4.195361635220127,False
MTF_EXHAUSTION,KEEP_TOP_1: FLAT_CHOPPY,109,47.18614718614719,5.550314465408805,8.547169811320755,-2.99685534591195,-10.597955974842767,4.195361635220127,False
MTF_EXHAUSTION,KEEP_FLAT_SMOOTH,30,12.987012987012987,0.11949685534591195,8.547169811320755,-8.427672955974844,-18.343396226415095,1.3460691823899378,False
RIDE_AGAINST,KEEP_TOP_2: UP_SMOOTH+DOWN_SMOOTH,10429,26.419921973957543,37.88495575221239,-13.193215339233038,51.07817109144543,14.68484513274336,90.47942477876107,True
RIDE_AGAINST,KEEP_TOP_3: UP_SMOOTH+DOWN_SMOOTH+UP_CHOPPY,13659,34.60252317981456,36.51032448377581,-13.193215339233038,49.70353982300885,13.521533923303833,88.1467551622419,True
RIDE_AGAINST,KEEP_TOP_4: UP_SMOOTH+DOWN_SMOOTH+UP_CHOPPY+DOWN_CHOPPY,16323,41.351269189846484,33.95280235988201,-13.193215339233038,47.14601769911505,12.433185840707964,82.845796460177,True
RIDE_AGAINST,KEEP_UP_SMOOTH,6293,15.942139129553631,22.28023598820059,-13.193215339233038,35.47345132743363,-4.56880530973451,77.26327433628319,False
RIDE_AGAINST,KEEP_TOP_1: UP_SMOOTH,6293,15.942139129553631,22.28023598820059,-13.193215339233038,35.47345132743363,-4.56880530973451,77.26327433628319,False
RIDE_AGAINST,KEEP_DOWN_SMOOTH,4136,10.477782844403912,15.604719764011799,-13.193215339233038,28.79793510324484,-16.492625368731563,75.10335545722715,False
RIDE_AGAINST,KEEP_UP_CHOPPY,3230,8.18260120585702,-1.3746312684365782,-13.193215339233038,11.81858407079646,-35.79697640117994,59.735213864306814,False
RIDE_AGAINST,KEEP_DOWN_CHOPPY,2664,6.74874601003192,-2.5575221238938055,-13.193215339233038,10.635693215339233,-37.25656342182891,58.06884218289088,False
RIDE_AGAINST,KEEP_FLAT_SMOOTH,5965,15.111212443633784,-17.08259587020649,-13.193215339233038,-3.889380530973451,-51.07990412979351,41.87617994100295,False
RIDE_AGAINST,KEEP_FLAT_CHOPPY,17186,43.537518366519734,-30.063421828908556,-13.193215339233038,-16.870206489675518,-52.655678466076694,17.98694690265487,False
