tier,regime_2d,n_days,n_trades,sum_pnl,mean_per_day,mean_per_trade,win_rate,ci_lo_per_day,ci_hi_per_day,baseline_per_day
CASCADE,UP_SMOOTH,47,198,-111.0,-2.3617021276595747,-0.5606060606060606,0.5555555555555556,-26.705053191489352,20.21303191489362,5.146341463414634
CASCADE,UP_CHOPPY,22,104,-208.0,-9.454545454545455,-2.0,0.5096153846153846,-56.59261363636363,39.88636363636363,5.146341463414634
CASCADE,DOWN_SMOOTH,31,133,-345.0,-11.129032258064516,-2.593984962406015,0.42105263157894735,-53.29274193548386,28.633064516129046,5.146341463414634
CASCADE,DOWN_CHOPPY,18,76,-93.0,-5.166666666666667,-1.2236842105263157,0.618421052631579,-70.66805555555555,55.565277777777816,5.146341463414634
CASCADE,FLAT_SMOOTH,48,183,-742.5,-15.46875,-4.057377049180328,0.4207650273224044,-33.5,1.3338541666666686,5.146341463414634
CASCADE,FLAT_CHOPPY,121,569,2976.5,24.59917355371901,5.231107205623902,0.5289982425307557,5.9115702479338905,43.68615702479339,5.146341463414634
KILL_SHOT,UP_SMOOTH,52,691,-333.5,-6.413461538461538,-0.48263386396526775,0.5094066570188133,-47.38533653846154,31.531250000000007,-0.9670846394984326
KILL_SHOT,UP_CHOPPY,23,383,-1108.5,-48.19565217391305,-2.8942558746736293,0.4804177545691906,-140.37391304347824,22.67934782608698,-0.9670846394984326
KILL_SHOT,DOWN_SMOOTH,38,468,545.0,14.342105263157896,1.1645299145299146,0.5470085470085471,-20.371381578947357,48.35592105263159,-0.9670846394984326
KILL_SHOT,DOWN_CHOPPY,19,283,-199.5,-10.5,-0.7049469964664311,0.508833922261484,-72.60657894736842,56.132236842105264,-0.9670846394984326
KILL_SHOT,FLAT_SMOOTH,61,724,826.0,13.540983606557377,1.1408839779005524,0.5414364640883977,-5.262295081967213,33.77889344262295,-0.9670846394984326
KILL_SHOT,FLAT_CHOPPY,126,1843,-38.0,-0.30158730158730157,-0.020618556701030927,0.5067824199674443,-26.881349206349203,26.45684523809524,-0.9670846394984326
FREIGHT_TRAIN,UP_SMOOTH,1,8,-690.5,-690.5,-86.3125,0.5,,,60.90909090909091
FREIGHT_TRAIN,UP_CHOPPY,1,12,1104.5,1104.5,92.04166666666667,0.5833333333333334,,,60.90909090909091
FREIGHT_TRAIN,DOWN_SMOOTH,3,3,-235.5,-78.5,-78.5,0.0,,,60.90909090909091
