day,trades,pnl,wr,chained
2026_01_01,1,16.0,100.0,0
2026_01_02,90,-298.5,32.22222222222222,44
2026_01_04,3,12.0,33.33333333333333,1
2026_01_05,92,422.0,46.73913043478261,51
2026_01_06,85,45.0,37.64705882352941,52
2026_01_07,91,26.5,35.16483516483517,48
2026_01_08,113,-17.5,34.51327433628318,46
2026_01_09,106,-130.0,32.075471698113205,61
2026_01_11,1,0.0,0.0,0
2026_01_12,81,-35.5,41.9753086419753,44
2026_01_13,99,-186.0,36.36363636363637,53
2026_01_14,77,-234.5,37.66233766233766,38
2026_01_15,86,-154.0,43.02325581395349,53
2026_01_16,78,339.0,42.30769230769231,42
2026_01_18,5,-4.5,0.0,0
2026_01_19,86,17.5,30.23255813953488,41
2026_01_20,88,-28.0,32.95454545454545,37
2026_01_21,87,-305.5,32.18390804597701,37
2026_01_22,97,111.0,38.144329896907216,53
2026_01_23,93,-21.0,37.634408602150536,47
2026_01_25,8,46.5,37.5,2
2026_01_26,96,-233.5,28.125,48
2026_01_27,88,143.0,44.31818181818182,51
2026_01_28,76,199.5,42.10526315789473,44
2026_01_29,103,-20.0,33.00970873786408,45
2026_01_30,81,197.5,40.74074074074074,45
2026_02_01,4,-22.0,0.0,1
2026_02_02,75,24.0,38.666666666666664,28
2026_02_03,93,303.5,37.634408602150536,43
2026_02_04,82,-439.5,36.58536585365854,39
2026_02_05,103,447.0,32.038834951456316,39
2026_02_06,70,-73.0,34.285714285714285,37
2026_02_08,5,-24.0,0.0,1
2026_02_09,76,166.0,42.10526315789473,39
