day,epochs,trades,pnl_before,pnl_after,improved
2025_08_10,3,2,-24.5,-22.5,True
2025_08_11,5,13,19.0,40.0,True
2025_08_12,2,16,21.0,21.0,False
2025_08_13,4,21,-25.0,4.5,True
2025_08_14,2,17,97.0,97.0,False
2025_08_15,3,10,-57.0,-46.0,True
2025_08_17,0,1,-13.0,-13.0,False
2025_08_18,2,23,-110.0,-110.0,False
2025_08_19,4,16,32.0,85.0,True
2025_08_20,2,17,-47.5,-47.5,False
2025_08_21,4,17,142.5,197.0,True
2025_08_22,3,11,-67.0,-11.0,True
2025_08_24,3,2,-8.5,6.5,True
2025_08_25,2,15,-14.5,-14.5,False
2025_08_26,2,16,120.5,120.5,False
2025_08_27,3,15,36.0,43.0,True
2025_08_28,2,20,81.0,81.0,False
2025_08_29,3,9,16.5,79.5,True
2025_08_31,0,0,0.0,0.0,False
2025_09_01,3,12,-49.5,-16.5,True
2025_09_02,2,17,4.5,4.5,False
2025_09_03,2,24,43.5,43.5,False
2025_09_04,2,18,187.5,187.5,False
2025_09_05,2,13,-35.0,-35.0,False
2025_09_07,2,4,135.0,135.0,False
2025_09_08,2,9,159.5,159.5,False
2025_09_09,2,19,13.0,13.0,False
2025_09_10,3,14,-74.0,-56.0,True
2025_09_11,2,11,-46.5,-46.5,False
2025_09_12,2,13,76.0,76.0,False
2025_09_14,3,2,-19.5,-11.0,True
2025_09_15,2,9,-18.0,-18.0,False
2025_09_16,2,13,10.0,10.0,False
2025_09_17,2,18,1.5,1.5,False
2025_09_18,3,23,-182.5,-104.5,True
2025_09_19,4,17,-24.5,22.5,True
2025_10_01,2,11,103.5,103.5,False
2025_10_02,3,15,-110.5,-92.5,True
2025_10_03,2,17,72.0,72.0,False
2025_10_05,3,2,35.0,58.5,True
2025_10_06,2,19,-6.0,-6.0,False
2025_10_07,3,25,-18.0,8.5,True
2025_10_08,2,18,88.5,88.5,False
2025_10_09,4,17,-5.0,24.0,True
2025_10_10,3,14,62.5,128.0,True
2025_10_12,0,0,0.0,0.0,False
2025_10_13,3,15,-178.0,-163.0,True
2025_10_14,2,11,275.0,275.0,False
2025_10_15,4,13,93.0,107.0,True
2025_10_16,2,13,-102.5,-102.5,False
2025_10_17,2,11,-11.0,-11.0,False
2025_10_19,0,1,10.5,10.5,False
2025_10_20,2,15,3.0,3.0,False
2025_10_21,3,13,92.5,153.5,True
2025_10_22,3,13,132.5,150.0,True
2025_10_23,3,16,27.0,63.5,True
2025_10_24,3,16,-241.0,-219.0,True
2025_10_26,3,2,0.5,4.5,True
2025_10_27,2,20,79.0,79.0,False
2025_10_28,4,13,-172.5,-81.5,True
2025_10_29,3,19,17.0,122.0,True
2025_10_30,2,10,294.5,294.5,False
2025_10_31,3,15,-55.0,-27.0,True
2025_11_02,0,0,0.0,0.0,False
2025_11_03,2,21,3.0,3.0,False
2025_11_04,3,12,23.5,50.5,True
2025_11_05,5,13,117.5,318.5,True
2025_11_06,3,12,103.0,266.0,True
2025_11_07,2,6,316.5,316.5,False
2025_11_09,0,0,0.0,0.0,False
2025_11_10,2,10,-11.5,-11.5,False
2025_11_11,3,7,-88.0,-17.5,True
2025_11_12,3,13,-144.0,-10.5,True
2025_11_13,2,13,153.5,153.5,False
2025_11_14,5,6,-61.0,42.0,True
2025_11_16,0,0,0.0,0.0,False
2025_11_17,2,5,195.0,195.0,False
2025_11_18,3,12,371.0,434.5,True
2025_11_19,3,9,134.5,184.5,True
2025_11_20,2,13,224.5,224.5,False
2025_11_21,3,10,-258.5,-123.0,True
2025_11_23,0,0,0.0,0.0,False
2025_11_24,3,19,334.5,408.5,True
2025_11_25,2,20,39.5,39.5,False
2025_11_26,2,14,63.5,63.5,False
2025_11_27,5,20,66.5,87.0,True
2025_11_28,3,8,-82.0,-64.0,True
2025_11_30,0,1,27.5,27.5,False
2025_12_01,2,20,-10.0,-10.0,False
2025_12_02,2,10,127.0,127.0,False
2025_12_03,3,15,-113.5,-93.0,True
2025_12_04,2,20,38.5,38.5,False
2025_12_05,2,25,83.5,83.5,False
2025_12_07,0,0,0.0,0.0,False
2025_12_08,2,14,-122.5,-122.5,False
2025_12_09,3,21,-42.0,1.0,True
2025_12_10,3,23,99.5,111.5,True
2025_12_11,2,19,820.5,820.5,False
2025_12_12,3,16,117.5,133.5,True
2025_12_14,0,0,0.0,0.0,False
2025_12_15,3,17,144.0,206.5,True
2025_12_16,3,19,-32.5,235.5,True
2025_12_17,3,25,15.5,65.0,True
2025_12_18,2,17,70.0,70.0,False
2025_12_19,3,18,-88.5,-15.5,True
