**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,vol_feature,var_feature,corner,n,dominant_regime,dominant_pct,mean_fwd,win_rate
5m,L2_5m_vol_sigma_w,L1_5m_bar_range,LOW_VOL_HIGH_VAR,859,FLAT_CHOPPY,0.5017462165308498,2.639406286379511,0.4889406286379511
5m,L2_5m_vol_sigma_w,L1_5m_bar_range,HIGH_VOL_LOW_VAR,1119,FLAT_CHOPPY,0.3699731903485255,-3.270107238605898,0.4772117962466488
5m,L2_5m_vol_sigma_w,L1_5m_bar_range,HIGH_VOL_HIGH_VAR,10686,FLAT_CHOPPY,0.4416058394160584,1.3901366273629048,0.5317237507018528
5m,L2_5m_vol_sigma_w,L2_5m_price_sigma_w,LOW_VOL_LOW_VAR,10712,FLAT_CHOPPY,0.3705190440627334,0.33782206870799103,0.5245519044062733
5m,L2_5m_vol_sigma_w,L2_5m_price_sigma_w,LOW_VOL_HIGH_VAR,710,FLAT_CHOPPY,0.504225352112676,6.865492957746479,0.5225352112676056
5m,L2_5m_vol_sigma_w,L2_5m_price_sigma_w,HIGH_VOL_LOW_VAR,970,FLAT_CHOPPY,0.3577319587628866,0.2639175257731959,0.5298969072164949
5m,L2_5m_vol_sigma_w,L2_5m_price_sigma_w,HIGH_VOL_HIGH_VAR,10867,FLAT_CHOPPY,0.4470415017944235,1.3858470599061379,0.5267323088248826
5m,L2_5m_vol_sigma_w,L3_5m_swing_noise_w,LOW_VOL_LOW_VAR,10308,FLAT_CHOPPY,0.36331005044625536,-0.3707314707023671,0.5156189367481567
5m,L2_5m_vol_sigma_w,L3_5m_swing_noise_w,LOW_VOL_HIGH_VAR,912,FLAT_CHOPPY,0.5646929824561403,16.583059210526315,0.5350877192982456
5m,L2_5m_vol_sigma_w,L3_5m_swing_noise_w,HIGH_VOL_LOW_VAR,649,FLAT_CHOPPY,0.35285053929121724,-4.565100154083205,0.4761171032357473
5m,L2_5m_vol_sigma_w,L3_5m_swing_noise_w,HIGH_VOL_HIGH_VAR,10813,FLAT_CHOPPY,0.44927402201054284,1.4221538888375105,0.5290853602145565
5m,L2_5m_vol_velocity_w,L1_5m_bar_range,LOW_VOL_LOW_VAR,4754,FLAT_CHOPPY,0.3582246529238536,0.272665124106016,0.5090450147244425
5m,L2_5m_vol_velocity_w,L1_5m_bar_range,LOW_VOL_HIGH_VAR,5586,FLAT_CHOPPY,0.44575725026852847,2.5939402076620124,0.5392051557465092
5m,L2_5m_vol_velocity_w,L1_5m_bar_range,HIGH_VOL_LOW_VAR,1728,FLAT_CHOPPY,0.37094907407407407,-2.3800636574074074,0.4988425925925926
5m,L2_5m_vol_velocity_w,L1_5m_bar_range,HIGH_VOL_HIGH_VAR,8571,FLAT_CHOPPY,0.4159374635398437,1.6198518259246295,0.5253762688134407
5m,L2_5m_vol_velocity_w,L2_5m_price_sigma_w,LOW_VOL_LOW_VAR,4280,FLAT_CHOPPY,0.3572429906542056,1.0560163551401869,0.5207943925233645
5m,L2_5m_vol_velocity_w,L2_5m_price_sigma_w,LOW_VOL_HIGH_VAR,6221,FLAT_CHOPPY,0.44172962546214434,3.038739752451374,0.534319241279537
5m,L2_5m_vol_velocity_w,L2_5m_price_sigma_w,HIGH_VOL_LOW_VAR,2878,FLAT_CHOPPY,0.34711605281445446,-1.0848679638637944,0.49652536483669213
5m,L2_5m_vol_velocity_w,L2_5m_price_sigma_w,HIGH_VOL_HIGH_VAR,7416,FLAT_CHOPPY,0.4274541531823085,2.200613538295577,0.5249460625674218
5m,L2_5m_vol_velocity_w,L3_5m_swing_noise_w,LOW_VOL_LOW_VAR,2705,FLAT_CHOPPY,0.33826247689463956,0.10425138632162662,0.49574861367837336
5m,L2_5m_vol_velocity_w,L3_5m_swing_noise_w,LOW_VOL_HIGH_VAR,7869,FLAT_CHOPPY,0.434362689032914,2.349440843817512,0.5331045876223154
5m,L2_5m_vol_velocity_w,L3_5m_swing_noise_w,HIGH_VOL_LOW_VAR,4218,FLAT_CHOPPY,0.34684684684684686,0.4177335229966809,0.5113798008534851
5m,L2_5m_vol_velocity_w,L3_5m_swing_noise_w,HIGH_VOL_HIGH_VAR,5745,FLAT_CHOPPY,0.4391644908616188,2.8026544821583985,0.5227154046997389
5m,L2_5m_vol_accel_w,L1_5m_bar_range,LOW_VOL_LOW_VAR,4430,FLAT_CHOPPY,0.36478555304740407,-0.6726297968397291,0.5049661399548533
5m,L2_5m_vol_accel_w,L1_5m_bar_range,LOW_VOL_HIGH_VAR,5936,FLAT_CHOPPY,0.43547843665768193,0.2769962938005391,0.5279649595687331
5m,L2_5m_vol_accel_w,L1_5m_bar_range,HIGH_VOL_LOW_VAR,2585,FLAT_CHOPPY,0.3694390715667311,1.0679883945841393,0.5268858800773695
5m,L2_5m_vol_accel_w,L1_5m_bar_range,HIGH_VOL_HIGH_VAR,7886,FLAT_CHOPPY,0.4196043621607913,1.7505389297489222,0.5251077859497845
5m,L2_5m_vol_accel_w,L2_5m_price_sigma_w,LOW_VOL_LOW_VAR,3479,FLAT_CHOPPY,0.358148893360161,-1.2160103478010922,0.4981316470250072
5m,L2_5m_vol_accel_w,L2_5m_price_sigma_w,LOW_VOL_HIGH_VAR,6978,FLAT_CHOPPY,0.4297793063915162,0.07649039839495557,0.5220693608483806
5m,L2_5m_vol_accel_w,L2_5m_price_sigma_w,HIGH_VOL_LOW_VAR,4044,FLAT_CHOPPY,0.3600395647873393,0.9580242334322453,0.5252225519287834
5m,L2_5m_vol_accel_w,L2_5m_price_sigma_w,HIGH_VOL_HIGH_VAR,6278,FLAT_CHOPPY,0.43469257725390253,3.2142800254858237,0.5307422746097483
5m,L2_5m_vol_accel_w,L3_5m_swing_noise_w,LOW_VOL_LOW_VAR,3527,FLAT_CHOPPY,0.3524241565069464,-0.07059824213212362,0.5049617238446271
5m,L2_5m_vol_accel_w,L3_5m_swing_noise_w,LOW_VOL_HIGH_VAR,6752,FLAT_CHOPPY,0.43083530805687204,0.4452754739336493,0.5216232227488151
5m,L2_5m_vol_accel_w,L3_5m_swing_noise_w,HIGH_VOL_LOW_VAR,3633,FLAT_CHOPPY,0.342691990090834,0.6297825488576934,0.5174786677676851
5m,L2_5m_vol_accel_w,L3_5m_swing_noise_w,HIGH_VOL_HIGH_VAR,6624,FLAT_CHOPPY,0.4353864734299517,2.7551705917874396,0.5303442028985508
15m,L1_15m_vol_velocity_1b,L1_15m_bar_range,LOW_VOL_LOW_VAR,4303,FLAT_CHOPPY,0.3695096444341157,0.8734022774808273,0.5187078782244945
15m,L1_15m_vol_velocity_1b,L1_15m_bar_range,LOW_VOL_HIGH_VAR,6019,FLAT_CHOPPY,0.4497424821398903,2.8630586476158832,0.540122944010633
15m,L1_15m_vol_velocity_1b,L1_15m_bar_range,HIGH_VOL_LOW_VAR,2128,FLAT_CHOPPY,0.34210526315789475,-1.1353383458646618,0.4967105263157895
15m,L1_15m_vol_velocity_1b,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,7934,FLAT_CHOPPY,0.41643559364759264,1.5698260650365516,0.529493319889085
15m,L1_15m_vol_velocity_1b,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,2954,FLAT_CHOPPY,0.3259986459038592,1.6657075152335816,0.54062288422478
15m,L1_15m_vol_velocity_1b,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,7659,FLAT_CHOPPY,0.43843843843843844,1.6271706489097792,0.5298341820080951
15m,L1_15m_vol_velocity_1b,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,4778,FLAT_CHOPPY,0.3470071159480954,0.23901213897028045,0.5140226035998325
15m,L1_15m_vol_velocity_1b,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,5492,FLAT_CHOPPY,0.43572469045884926,1.6439366351056082,0.524217042971595
15m,L1_15m_vol_velocity_1b,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,3265,FLAT_CHOPPY,0.31332312404287904,1.0244257274119448,0.535375191424196
15m,L1_15m_vol_velocity_1b,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,6901,FLAT_CHOPPY,0.4337052601072308,2.2772062019997104,0.5276046949717432
15m,L1_15m_vol_velocity_1b,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,4907,FLAT_CHOPPY,0.33584674954147137,-0.8758406358263705,0.5200733645812106
15m,L1_15m_vol_velocity_1b,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,5403,FLAT_CHOPPY,0.4323523968165834,1.9104664075513604,0.5250786600037016
15m,L1_15m_vol_accel_1b,L1_15m_bar_range,LOW_VOL_LOW_VAR,4690,FLAT_CHOPPY,0.36396588486140724,0.3880597014925373,0.5081023454157783
15m,L1_15m_vol_accel_1b,L1_15m_bar_range,LOW_VOL_HIGH_VAR,5535,FLAT_CHOPPY,0.4480578139114724,1.7032520325203253,0.5324299909665763
15m,L1_15m_vol_accel_1b,L1_15m_bar_range,HIGH_VOL_LOW_VAR,2144,FLAT_CHOPPY,0.3656716417910448,0.28125,0.5237873134328358
15m,L1_15m_vol_accel_1b,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,8194,FLAT_CHOPPY,0.41981938003417135,1.799853551379058,0.5313644129851111
15m,L1_15m_vol_accel_1b,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,4267,FLAT_CHOPPY,0.34356690883524726,1.7029528943051324,0.5343332552144364
15m,L1_15m_vol_accel_1b,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,6098,FLAT_CHOPPY,0.4416202033453591,1.1889553952115448,0.5260741226631682
15m,L1_15m_vol_accel_1b,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,3372,FLAT_CHOPPY,0.34638196915776986,1.3465302491103204,0.5317319098457889
15m,L1_15m_vol_accel_1b,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,6935,FLAT_CHOPPY,0.4298485940879596,2.3941600576784428,0.5315068493150685
15m,L1_15m_vol_accel_1b,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,4456,FLAT_CHOPPY,0.3303411131059246,0.046454219030520646,0.5278276481149012
15m,L1_15m_vol_accel_1b,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,5796,FLAT_CHOPPY,0.4396135265700483,1.160412353347136,0.5212215320910973
15m,L1_15m_vol_accel_1b,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,3641,FLAT_CHOPPY,0.3265586377368855,-0.6857319417742378,0.5287009063444109
15m,L1_15m_vol_accel_1b,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,6582,FLAT_CHOPPY,0.4244910361592221,3.009647523549073,0.5306897599513826
15m,L2_15m_vol_mean_w,L1_15m_bar_range,LOW_VOL_LOW_VAR,9990,FLAT_CHOPPY,0.3796796796796797,0.6409159159159159,0.518918918918919
15m,L2_15m_vol_mean_w,L1_15m_bar_range,LOW_VOL_HIGH_VAR,835,FLAT_CHOPPY,0.5329341317365269,5.308982035928143,0.5664670658682635
15m,L2_15m_vol_mean_w,L1_15m_bar_range,HIGH_VOL_LOW_VAR,1524,FLAT_CHOPPY,0.4120734908136483,2.4821194225721785,0.5308398950131233
15m,L2_15m_vol_mean_w,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,9793,FLAT_CHOPPY,0.43939548657204125,2.8931379556826307,0.5415092412948024
15m,L2_15m_vol_mean_w,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,11347,FLAT_CHOPPY,0.37357891953820394,0.6661452366264211,0.5261302546928703
15m,L2_15m_vol_mean_w,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,486,FLAT_CHOPPY,0.6131687242798354,28.704218106995885,0.5267489711934157
15m,L2_15m_vol_mean_w,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,991,FLAT_SMOOTH,0.31786074672048437,5.734863773965691,0.544904137235116
15m,L2_15m_vol_mean_w,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,10426,FLAT_CHOPPY,0.44321887588720504,2.1151208517168616,0.5354882025704968
15m,L2_15m_vol_mean_w,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,10729,FLAT_CHOPPY,0.37897287724857864,0.5154720850032621,0.5262373007736042
15m,L2_15m_vol_mean_w,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,1166,FLAT_CHOPPY,0.5437392795883362,7.39901372212693,0.5831903945111492
15m,L2_15m_vol_mean_w,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,937,FLAT_SMOOTH,0.5026680896478122,-0.7689434364994664,0.5474919957310566
15m,L2_15m_vol_mean_w,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,9783,FLAT_CHOPPY,0.43861801083512214,1.841510784013084,0.5280588776448942
15m,L2_15m_vol_sigma_w,L1_15m_bar_range,LOW_VOL_LOW_VAR,9531,FLAT_CHOPPY,0.37110481586402266,0.3338579372573707,0.5139020039869898
15m,L2_15m_vol_sigma_w,L1_15m_bar_range,LOW_VOL_HIGH_VAR,822,FLAT_CHOPPY,0.4659367396593674,1.8862530413625305,0.5766423357664233
15m,L2_15m_vol_sigma_w,L1_15m_bar_range,HIGH_VOL_LOW_VAR,2329,FLAT_CHOPPY,0.39974237870330614,1.5484113353370546,0.557750107342207
15m,L2_15m_vol_sigma_w,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,9334,FLAT_CHOPPY,0.4370044996785944,3.552549817870152,0.5460681379901435
15m,L2_15m_vol_sigma_w,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,10834,FLAT_CHOPPY,0.3644083441019014,0.4426804504338195,0.5230755030459664
15m,L2_15m_vol_sigma_w,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,513,FLAT_CHOPPY,0.5360623781676414,27.27485380116959,0.5769980506822612
15m,L2_15m_vol_sigma_w,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,1298,FLAT_CHOPPY,0.3066255778120185,1.525231124807396,0.5493066255778121
15m,L2_15m_vol_sigma_w,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,10167,FLAT_CHOPPY,0.44536244713288087,2.420182944821481,0.5393921510770139
15m,L2_15m_vol_sigma_w,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,10038,FLAT_CHOPPY,0.36292090057780435,-0.06482865112572225,0.5190276947599123
15m,L2_15m_vol_sigma_w,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,1457,FLAT_CHOPPY,0.5216197666437886,1.8327041866849691,0.5442690459849004
15m,L2_15m_vol_sigma_w,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,1266,FLAT_SMOOTH,0.4541864139020537,-2.590047393364929,0.5284360189573459
15m,L2_15m_vol_sigma_w,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,9140,FLAT_CHOPPY,0.44245076586433263,2.549917943107221,0.5301969365426696
15m,L2_15m_vol_velocity_w,L1_15m_bar_range,LOW_VOL_LOW_VAR,5497,FLAT_CHOPPY,0.3598326359832636,0.5316991086046935,0.5335637620520284
15m,L2_15m_vol_velocity_w,L1_15m_bar_range,LOW_VOL_HIGH_VAR,4695,FLAT_CHOPPY,0.44621938232161873,0.6312034078807242,0.5222577209797657
15m,L2_15m_vol_velocity_w,L1_15m_bar_range,HIGH_VOL_LOW_VAR,1064,FLAT_CHOPPY,0.37781954887218044,-1.1017387218045114,0.5075187969924813
15m,L2_15m_vol_velocity_w,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,9454,FLAT_CHOPPY,0.4282843240956209,2.8363920033848107,0.5387137719483817
15m,L2_15m_vol_velocity_w,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,3850,FLAT_CHOPPY,0.30753246753246755,0.7077272727272728,0.5348051948051948
15m,L2_15m_vol_velocity_w,L2_15m_price_sigma_w,LOW_VOL_HIGH_VAR,6172,FLAT_CHOPPY,0.43438107582631236,1.4484364873622813,0.5225210628645496
15m,L2_15m_vol_velocity_w,L2_15m_price_sigma_w,HIGH_VOL_LOW_VAR,2910,FLAT_CHOPPY,0.3422680412371134,0.5913230240549828,0.5333333333333333
