
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
-------------------------------------------------------------------------------------
321        | 1    | 39     |  56.4 |   0.30 | $316.00    | $83.00     | 0.40
341        | 2    | 17     |  64.7 |   0.64 | $102.50    | $11.00     | 0.29
315        | 2    | 71     |  47.9 |   0.28 | $277.00    | $61.50     | 0.45
339        | 2    | 19     |  47.4 |   0.25 | $42.50     | $21.50     | 0.44
295        | 2    | 48     |  52.1 |   0.23 | $228.00    | $68.50     | 0.51
1          | 2    | 177    |  56.5 |   0.23 | $1476.50   | $226.00    | 0.42
366        | 2    | 45     |  46.7 |   0.23 | $86.50     | $35.50     | 0.47
4          | 2    | 106    |  60.4 |   0.19 | $1377.00   | $196.00    | 0.44
331        | 2    | 40     |  42.5 |   0.15 | $81.00     | $40.50     | 0.44
326        | 2    | 142    |  46.5 |   0.14 | $588.50    | $168.00    | 0.51
294        | 2    | 156    |  42.3 |   0.12 | $280.00    | $132.50    | 0.56
320        | 2    | 25     |  44.0 |   0.07 | $38.00     | $110.00    | 0.54
284        | 2    | 78     |  42.3 |   0.04 | $69.00     | $212.00    | 0.56
26         | 3    | 8      |  87.5 |   1.69 | $94.50     | $0.00      | 0.14
307        | 3    | 5      |  60.0 |   0.82 | $121.00    | $5.00      | 0.18
360        | 3    | 2      |  50.0 |   0.62 | $14.50     | $0.00      | 0.24
272        | 3    | 4      |  50.0 |   0.48 | $19.50     | $9.50      | 0.35
277        | 3    | 2      |  50.0 |   0.43 | $6.00      | $0.00      | 0.29
367        | 3    | 2      |  50.0 |   0.37 | $6.00      | $0.00      | 0.31
362        | 3    | 4      |  75.0 |   0.34 | $29.00     | $29.00     | 0.64
280        | 3    | 41     |  36.6 |   0.28 | $674.50    | $98.50     | 0.36
309        | 3    | 5      |  60.0 |   0.20 | $13.00     | $25.50     | 0.59
281        | 3    | 33     |  36.4 |   0.20 | $210.50    | $113.50    | 0.51
312        | 3    | 6      |  33.3 |   0.18 | $73.50     | $111.50    | 0.49
296        | 3    | 227    |  38.8 |   0.16 | $682.50    | $140.50    | 0.50
306        | 3    | 15     |  40.0 |   0.15 | $37.00     | $30.50     | 0.43
343        | 3    | 88     |  37.5 |   0.15 | $153.00    | $75.50     | 0.52
336        | 3    | 13     |  38.5 |   0.13 | $13.50     | $25.50     | 0.52
308        | 3    | 79     |  39.2 |   0.13 | $129.00    | $87.50     | 0.48
300        | 3    | 144    |  37.5 |   0.12 | $246.50    | $89.50     | 0.48
382        | 3    | 27     |  37.0 |   0.12 | $45.00     | $29.50     | 0.43
322        | 3    | 28     |  35.7 |   0.11 | $46.00     | $57.50     | 0.48
348        | 3    | 7      |  42.9 |   0.09 | $5.50      | $18.00     | 0.55
340        | 3    | 28     |  35.7 |   0.08 | $31.50     | $62.50     | 0.52
313        | 3    | 246    |  39.4 |   0.07 | $341.50    | $252.50    | 0.57
350        | 3    | 42     |  35.7 |   0.04 | $37.50     | $117.50    | 0.57
316        | 3    | 2      |  50.0 |   0.03 | $0.50      | $9.50      | 0.64
188        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
55         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
222        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
172        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
143        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
198        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
370        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
212        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
166        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
245        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
129        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
187        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
18         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
246        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
39         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
247        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
160        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
182        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
135        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
33         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
87         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
228        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
64         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
89         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
127        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
138        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
204        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
218        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
389        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
81         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
84         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
90         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
107        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
126        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
130        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
161        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
163        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
167        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
206        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
378        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
388        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
392        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
395        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
34         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
43         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
82         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
92         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
100        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
165        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
178        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
230        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
345        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
32         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
37         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
40         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
47         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
85         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
219        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
236        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
359        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
16         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
20         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
22         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
59         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
70         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
73         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
133        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
153        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
170        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
186        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
193        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
197        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
244        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
249        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
250        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
36         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
54         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
63         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
66         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
67         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
97         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
139        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
213        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
9          | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
27         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
29         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
74         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
76         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
78         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
88         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
93         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
109        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
113        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
120        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
154        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
162        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
221        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
223        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
226        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
235        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
375        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
24         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
57         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
58         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
79         | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
144        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
164        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
196        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
199        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
202        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
220        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
231        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
252        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
351        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
391        | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
