**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,mean_rolling_corr,regime_2d,pair,tf
2025-01-02,-0.5391311688552188,FLAT_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-03,0.2380643825186064,UP_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-05,0.8533882812255955,FLAT_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-06,0.35911410523657544,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-07,-0.6042619670376124,DOWN_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-08,-0.5229790429629235,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-09,-0.2219602492889963,FLAT_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-10,-0.631774950652839,DOWN_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-12,-0.5119771965071347,DOWN_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-13,-0.17784061966966658,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-14,-0.045374535134426956,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-15,0.6373782716025272,UP_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-16,0.2249179913156085,DOWN_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-17,0.058327231682649285,UP_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-19,0.8029888061599523,FLAT_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-20,0.11909636810813518,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-21,-0.2567947480372325,UP_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-22,0.6800667545460863,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-23,-0.0229110406180761,FLAT_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-24,0.05839625429969338,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-26,-0.8773049468071449,DOWN_SMOOTH,price_velocity_w__price_sigma_w,15m
2025-01-27,-0.24541093390112395,FLAT_CHOPPY,price_velocity_w__price_sigma_w,15m
2025-01-28,0.44765161491811906,UP_SMOOTH,price_velocity_w__price_sigma_w,15m
