pnl,duration,entry_ts,exit_ts,direction
32.0,151.0,1708383940.0,1708384695.0,short
-0.5,146.0,1708384775.0,1708385505.0,short
-23.5,147.0,1708385505.0,1708386240.0,long
-17.0,151.0,1708386305.0,1708387060.0,long
-13.0,146.0,1708387180.0,1708387910.0,long
31.5,160.0,1708387910.0,1708388710.0,short
2.0,146.0,1708388710.0,1708389440.0,long
-3.5,175.0,1708389455.0,1708390330.0,short
5.0,173.0,1708390330.0,1708391195.0,long
12.5,146.0,1708391205.0,1708391935.0,long
-14.5,152.0,1708391935.0,1708392695.0,short
-50.0,163.0,1708392700.0,1708393515.0,long
-31.0,148.0,1708393580.0,1708394320.0,long
20.0,150.0,1708394320.0,1708395070.0,short
-9.0,208.0,1708395070.0,1708396110.0,long
-6.0,152.0,1708396205.0,1708396965.0,short
-21.5,157.0,1708397040.0,1708397825.0,long
-7.0,149.0,1708397825.0,1708398570.0,short
-9.5,146.0,1708398570.0,1708399300.0,long
14.0,177.0,1708399325.0,1708400210.0,long
-21.0,146.0,1708400230.0,1708400960.0,long
-14.5,153.0,1708400960.0,1708401725.0,short
20.5,181.0,1708401725.0,1708402630.0,long
20.5,162.0,1708402670.0,1708403480.0,short
-1.5,176.0,1708403515.0,1708404395.0,long
0.0,195.0,1708404395.0,1708405370.0,short
-12.5,150.0,1708405370.0,1708406120.0,long
-6.5,154.0,1708406275.0,1708407045.0,short
1.5,153.0,1708407050.0,1708407815.0,short
11.5,219.0,1708407845.0,1708408940.0,long
17.5,165.0,1708408995.0,1708409820.0,long
-26.0,164.0,1708409840.0,1708410660.0,short
0.0,173.0,1708410665.0,1708411530.0,short
-7.0,176.0,1708411530.0,1708412410.0,long
8.0,162.0,1708412440.0,1708413250.0,long
8.0,151.0,1708413265.0,1708414020.0,long
11.5,149.0,1708414050.0,1708414795.0,short
4.5,155.0,1708414795.0,1708415570.0,long
21.5,161.0,1708415705.0,1708416510.0,short
-112.0,148.0,1708416650.0,1708417390.0,long
-51.0,146.0,1708417480.0,1708418210.0,short
26.0,146.0,1708418210.0,1708418940.0,long
-28.5,168.0,1708418940.0,1708419780.0,short
-3.0,151.0,1708419780.0,1708420535.0,long
40.0,156.0,1708420535.0,1708421315.0,short
0.5,150.0,1708421335.0,1708422085.0,short
2.0,183.0,1708422085.0,1708423000.0,long
72.0,180.0,1708423000.0,1708423900.0,short
-14.5,147.0,1708423900.0,1708424635.0,long
-16.5,150.0,1708424635.0,1708425385.0,short
-0.5,171.0,1708425445.0,1708426300.0,long
37.5,154.0,1708426300.0,1708427070.0,short
32.5,152.0,1708427070.0,1708427830.0,long
-28.5,186.0,1708427900.0,1708428830.0,short
11.0,156.0,1708428830.0,1708429610.0,long
2.5,184.0,1708429625.0,1708430545.0,long
-28.0,156.0,1708430655.0,1708431435.0,short
10.5,177.0,1708431435.0,1708432320.0,long
16.5,170.0,1708432320.0,1708433170.0,short
-21.5,161.0,1708433270.0,1708434075.0,short
0.5,154.0,1708434075.0,1708434845.0,long
14.5,147.0,1708434880.0,1708435615.0,short
30.0,165.0,1708435680.0,1708436505.0,long
20.5,145.0,1708436505.0,1708437230.0,short
-13.0,185.0,1708437645.0,1708438570.0,short
-52.5,148.0,1708438570.0,1708439310.0,long
-152.0,184.0,1708439335.0,1708440255.0,long
25.0,154.0,1708440255.0,1708441025.0,short
-43.5,154.0,1708441025.0,1708441795.0,long
-11.0,146.0,1708441830.0,1708442560.0,long
21.5,236.0,1708442560.0,1708443740.0,short
76.5,146.0,1708443790.0,1708444520.0,long
-53.0,145.0,1708444520.0,1708445245.0,short
-38.5,187.0,1708445260.0,1708446195.0,long
-56.0,189.0,1708446205.0,1708447150.0,long
0.0,153.0,1708447255.0,1708448020.0,short
82.0,154.0,1708448195.0,1708448965.0,short
-22.0,150.0,1708448965.0,1708449715.0,long
-53.5,159.0,1708449715.0,1708450510.0,short
0.5,164.0,1708450510.0,1708451330.0,long
-25.0,156.0,1708451330.0,1708452110.0,short
31.0,145.0,1708452505.0,1708453230.0,long
59.5,163.0,1708453230.0,1708454045.0,short
64.5,178.0,1708454045.0,1708454935.0,long
-35.0,163.0,1708454935.0,1708455750.0,short
-24.5,172.0,1708455780.0,1708456640.0,long
-62.0,148.0,1708456675.0,1708457415.0,short
20.5,157.0,1708457415.0,1708458200.0,long
17.0,163.0,1708458235.0,1708459050.0,long
-36.5,157.0,1708459230.0,1708460015.0,short
-14.0,202.0,1708460050.0,1708461060.0,short
-10.5,145.0,1708461140.0,1708461865.0,long
-30.5,162.0,1708461980.0,1708462790.0,short
-26.0,149.0,1708462790.0,1708463535.0,long
-12.5,165.0,1708463640.0,1708464465.0,short
15.5,149.0,1708464465.0,1708465210.0,long
3.5,156.0,1708465210.0,1708465990.0,short
-14.5,15.0,1708466025.0,1708466100.0,long
-29.5,167.0,1708470060.0,1708470895.0,short
8.5,163.0,1708470895.0,1708471710.0,long
25.0,158.0,1708471710.0,1708472500.0,short
-8.0,163.0,1708472500.0,1708473315.0,long
-4.5,148.0,1708473315.0,1708474055.0,short
-4.5,156.0,1708474055.0,1708474835.0,long
-13.0,154.0,1708474835.0,1708475605.0,short
2.0,162.0,1708475755.0,1708476565.0,short
19.5,199.0,1708476610.0,1708477605.0,short
7.0,165.0,1708477640.0,1708478465.0,short
-13.5,157.0,1708478605.0,1708479390.0,short
-16.0,160.0,1708479520.0,1708480320.0,short
8.5,149.0,1708480320.0,1708481065.0,long
5.0,193.0,1708481245.0,1708482210.0,short
17.0,180.0,1708482350.0,1708483250.0,short
-6.0,173.0,1708483260.0,1708484125.0,long
-10.0,151.0,1708484125.0,1708484880.0,short
-6.0,148.0,1708484935.0,1708485675.0,long
-1.5,166.0,1708485675.0,1708486505.0,short
-10.0,175.0,1708486525.0,1708487400.0,short
-13.0,147.0,1708487485.0,1708488220.0,short
-6.5,148.0,1708488230.0,1708488970.0,short
-9.5,146.0,1708489020.0,1708489750.0,short
-10.5,181.0,1708489750.0,1708490655.0,long
3.0,213.0,1708490665.0,1708491730.0,short
5.0,177.0,1708491870.0,1708492755.0,short
-2.0,170.0,1708492755.0,1708493605.0,long
-20.0,151.0,1708493655.0,1708494410.0,short
-6.5,146.0,1708494410.0,1708495140.0,long
8.0,152.0,1708495150.0,1708495910.0,long
10.5,190.0,1708495910.0,1708496860.0,short
7.0,148.0,1708496860.0,1708497600.0,long
-16.0,170.0,1708497600.0,1708498450.0,short
-17.0,189.0,1708498450.0,1708499395.0,long
-18.5,165.0,1708499395.0,1708500220.0,short
2.5,168.0,1708500220.0,1708501060.0,long
-7.0,166.0,1708501185.0,1708502015.0,short
10.0,151.0,1708502075.0,1708502830.0,short
-69.5,187.0,1708502830.0,1708503765.0,long
-1.0,165.0,1708503765.0,1708504590.0,short
-2.5,151.0,1708504590.0,1708505345.0,long
-1.5,226.0,1708505420.0,1708506550.0,short
-1.0,145.0,1708506585.0,1708507310.0,short
-6.5,163.0,1708507310.0,1708508125.0,long
-6.0,148.0,1708508125.0,1708508865.0,short
-6.5,190.0,1708508865.0,1708509815.0,long
-18.0,163.0,1708509815.0,1708510630.0,short
1.0,182.0,1708510660.0,1708511570.0,long
-13.5,158.0,1708511710.0,1708512500.0,short
0.5,145.0,1708512500.0,1708513225.0,long
35.0,156.0,1708513225.0,1708514005.0,short
0.5,183.0,1708514005.0,1708514920.0,long
-12.0,152.0,1708514920.0,1708515680.0,short
5.0,196.0,1708515715.0,1708516695.0,short
-20.0,167.0,1708516745.0,1708517580.0,long
-29.5,155.0,1708517580.0,1708518355.0,short
-56.0,161.0,1708518355.0,1708519160.0,long
19.5,147.0,1708519160.0,1708519895.0,short
20.5,168.0,1708519895.0,1708520735.0,long
-20.5,152.0,1708520805.0,1708521565.0,long
-25.5,172.0,1708521575.0,1708522435.0,long
-37.5,166.0,1708522515.0,1708523345.0,short
0.5,155.0,1708523365.0,1708524140.0,long
-9.0,160.0,1708524225.0,1708525025.0,long
-7.0,259.0,1708525025.0,1708526320.0,short
-90.0,160.0,1708526320.0,1708527120.0,long
-90.0,150.0,1708527120.0,1708527870.0,short
18.0,159.0,1708527870.0,1708528665.0,long
109.0,146.0,1708528735.0,1708529465.0,short
25.0,154.0,1708529465.0,1708530235.0,long
-20.5,145.0,1708530235.0,1708530960.0,short
-59.5,207.0,1708530975.0,1708532010.0,short
-37.0,167.0,1708532070.0,1708532905.0,long
9.5,199.0,1708532905.0,1708533900.0,short
48.0,159.0,1708533900.0,1708534695.0,long
127.0,163.0,1708534700.0,1708535515.0,short
-16.5,145.0,1708535520.0,1708536245.0,long
-2.5,151.0,1708536270.0,1708537025.0,short
29.5,155.0,1708537025.0,1708537800.0,long
24.0,222.0,1708537800.0,1708538910.0,short
45.5,150.0,1708538910.0,1708539660.0,long
33.5,152.0,1708539660.0,1708540420.0,short
24.5,152.0,1708540420.0,1708541180.0,long
7.5,149.0,1708541300.0,1708542045.0,short
-34.5,166.0,1708542130.0,1708542960.0,short
-81.5,204.0,1708542960.0,1708543980.0,long
54.5,163.0,1708543980.0,1708544795.0,short
51.5,157.0,1708544805.0,1708545590.0,long
-4.0,168.0,1708545675.0,1708546515.0,short
22.0,147.0,1708546515.0,1708547250.0,long
154.5,160.0,1708547315.0,1708548115.0,long
-54.0,149.0,1708548115.0,1708548860.0,short
-28.5,145.0,1708549010.0,1708549735.0,short
-227.5,158.0,1708549780.0,1708550570.0,long
-423.0,160.0,1708550570.0,1708551370.0,short
-76.5,184.0,1708551390.0,1708552310.0,short
21.0,38.0,1708552310.0,1708552500.0,long
-5.0,155.0,1708556485.0,1708557260.0,long
-22.5,170.0,1708557260.0,1708558110.0,short
-35.0,145.0,1708558110.0,1708558835.0,long
-26.0,160.0,1708558835.0,1708559635.0,short
70.0,155.0,1708559765.0,1708560540.0,long
-18.0,180.0,1708560580.0,1708561480.0,short
-4.0,147.0,1708561490.0,1708562225.0,long
-52.5,153.0,1708562225.0,1708562990.0,short
-17.5,153.0,1708563125.0,1708563890.0,long
-26.0,179.0,1708563910.0,1708564805.0,short
-15.5,150.0,1708564855.0,1708565605.0,short
-25.0,156.0,1708565605.0,1708566385.0,long
9.5,180.0,1708566405.0,1708567305.0,short
-10.0,184.0,1708567390.0,1708568310.0,long
-16.0,152.0,1708568310.0,1708569070.0,short
12.5,160.0,1708569070.0,1708569870.0,long
-26.5,168.0,1708569870.0,1708570710.0,short
-2.0,151.0,1708570710.0,1708571465.0,long
-19.5,185.0,1708571595.0,1708572520.0,long
-4.0,177.0,1708572760.0,1708573645.0,long
2.0,168.0,1708573720.0,1708574560.0,short
9.5,152.0,1708574560.0,1708575320.0,long
-3.5,154.0,1708575530.0,1708576300.0,short
-18.5,145.0,1708576375.0,1708577100.0,short
-8.0,179.0,1708577370.0,1708578265.0,long
-8.5,181.0,1708578265.0,1708579170.0,short
-10.5,152.0,1708579170.0,1708579930.0,long
7.0,146.0,1708580025.0,1708580755.0,long
15.5,150.0,1708580755.0,1708581505.0,short
1.5,181.0,1708581505.0,1708582410.0,long
-18.0,160.0,1708582440.0,1708583240.0,short
28.5,154.0,1708583240.0,1708584010.0,long
-28.5,233.0,1708584045.0,1708585210.0,short
-20.5,162.0,1708585210.0,1708586020.0,long
-15.5,150.0,1708586035.0,1708586785.0,long
-18.0,174.0,1708586790.0,1708587660.0,short
22.5,148.0,1708587660.0,1708588400.0,long
-80.5,168.0,1708588485.0,1708589325.0,short
23.5,153.0,1708589405.0,1708590170.0,long
