pnl,duration,entry_ts,exit_ts,direction
-39.5,84.0,1708383870.0,1708384290.0,long
3.0,37.0,1708384290.0,1708384475.0,short
-30.5,247.0,1708384475.0,1708385710.0,long
-1.0,102.0,1708385775.0,1708386285.0,short
-8.0,179.0,1708386285.0,1708387180.0,long
-12.5,82.0,1708387690.0,1708388100.0,short
-13.5,201.0,1708388100.0,1708389105.0,long
-2.0,49.0,1708389105.0,1708389350.0,short
-2.5,35.0,1708389395.0,1708389570.0,long
0.5,163.0,1708389570.0,1708390385.0,short
35.0,349.0,1708390385.0,1708392130.0,long
-7.0,36.0,1708392285.0,1708392465.0,long
-9.5,23.0,1708392540.0,1708392655.0,short
-37.0,93.0,1708392655.0,1708393120.0,long
-71.0,207.0,1708393285.0,1708394320.0,long
3.5,6.0,1708394320.0,1708394350.0,short
13.0,96.0,1708394355.0,1708394835.0,short
0.0,105.0,1708394835.0,1708395360.0,long
-10.5,48.0,1708395800.0,1708396040.0,short
-4.0,33.0,1708396040.0,1708396205.0,long
-8.0,41.0,1708396205.0,1708396410.0,short
-14.0,273.0,1708396410.0,1708397775.0,long
1.0,86.0,1708397775.0,1708398205.0,short
-4.0,105.0,1708398205.0,1708398730.0,long
-15.5,68.0,1708398740.0,1708399080.0,long
-16.5,147.0,1708399080.0,1708399815.0,short
-1.5,37.0,1708400065.0,1708400250.0,short
-5.5,39.0,1708400250.0,1708400445.0,long
-11.0,65.0,1708400530.0,1708400855.0,long
0.0,21.0,1708400855.0,1708400960.0,short
4.5,292.0,1708400960.0,1708402420.0,long
-17.5,75.0,1708402420.0,1708402795.0,short
-22.5,149.0,1708402795.0,1708403540.0,long
-8.5,121.0,1708403540.0,1708404145.0,short
-4.5,261.0,1708404145.0,1708405450.0,long
-0.5,680.0,1708405535.0,1708408935.0,long
-11.5,160.0,1708410500.0,1708411300.0,short
-17.0,182.0,1708411300.0,1708412210.0,long
-6.5,124.0,1708412210.0,1708412830.0,short
-8.0,14.0,1708412830.0,1708412900.0,long
-48.0,232.0,1708415680.0,1708416840.0,long
-16.5,14.0,1708416840.0,1708416910.0,short
-55.0,422.0,1708416910.0,1708419020.0,long
15.0,646.0,1708419020.0,1708422250.0,short
-84.0,845.0,1708422250.0,1708426475.0,long
-11.0,249.0,1708426475.0,1708427720.0,short
15.5,297.0,1708427720.0,1708429205.0,long
59.0,661.0,1708429310.0,1708432615.0,long
-4.5,74.0,1708432615.0,1708432985.0,short
-36.0,112.0,1708432985.0,1708433545.0,long
-9.5,855.0,1708433710.0,1708437985.0,short
-185.5,516.0,1708437985.0,1708440565.0,long
113.5,419.0,1708440565.0,1708442660.0,short
77.0,710.0,1708442660.0,1708446210.0,long
-4.0,1528.0,1708448195.0,1708455835.0,long
3.0,908.0,1708456900.0,1708461440.0,long
-22.0,138.0,1708464445.0,1708465135.0,short
-8.0,38.0,1708465885.0,1708466075.0,long
2.5,5.0,1708466075.0,1708466100.0,short
